Generation: 2 | maxFitness: 0,4668479 | maxFitnessGen: 0,1863816 | maxFitnessGenBuf: 0,4668479
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
17|TOP2|0,216332|-4,03251;-1,417141;1,971465;1,451615;2,293533;2,549692;-1,94233;3,591138;-3,803811;-0,4113913;-1,016703;-3,244573;2,333504;-3,722376;-2,747684;4,646191;2,233092;-0,2591448;-0,639586;0,2409927;-4,50445;0,6237988;-4,994158;-1,359374;-0,5792526;0,4483474;4,009199;-2,213507;4,001869
18|TOP2|0,2107917|-4,277094;-1,504473;1,971465;1,779872;2,236071;2,179106;-1,891401;3,097632;-3,312147;-0,1840873;-1,204982;-2,941936;2,630902;-3,722376;-2,701259;4,646191;2,145379;-0,4230773;-0,639586;0,1854827;-4,50445;0,986594;-4,994158;-1,737222;0,3158946;0,5033177;3,649757;-2,239029;3,433195
19|TOP2|0,209586|-4,229351;-1,480418;2,265435;1,564919;2,236071;2,609887;-1,782956;3,591138;-3,312147;0,2921985;-1,020247;-3,268987;2,702738;-3,584298;-2,747684;4,646191;2,578704;-0,2591448;-1,087375;0,3929133;-4,50445;0,6237988;-4,994158;-1,737222;0,2477651;0,09635401;3,649757;-1,806605;3,819647
20|TOP2|0,203028|-4,219055;-1,417141;1,971465;1,779872;2,236071;2,549692;-2,116878;3,591138;-3,312147;-0,07694262;-1,016703;-3,268987;2,702738;-3,368558;-2,747684;4,646191;2,578704;-0,3495931;-1,12115;0,3929133;-4,50445;0,7345376;-4,994158;-1,737222;-0,1438851;0,5849327;4,148894;-2,031689;3,909812
21|TOP2|0,2019766|-4,277094;-1,093867;1,971465;1,451209;2,236071;2,091205;-1,8824;3,419127;-3,312147;-0,0877552;-1,016703;-2,867346;2,487419;-4,066172;-2,582982;4,525778;2,578704;-0,2874618;-0,639586;0,04695758;-4,50445;0,6237988;-4,994158;-1,834992;-0,1438851;0,498751;3,649757;-2,45492;4,066111
22|TOP2|0,1815597|-4,31532;-1,471782;1,971465;2,208025;2,281143;2,549692;-1,94233;3,322508;-3,312147;-0,0877552;-1,321542;-3,268987;2,702738;-3,722376;-2,747684;4,83021;2,578704;-0,2065018;-0,639586;0,3929133;-4,910888;1,109903;-4,839138;-1,929348;-0,1438851;0,09635401;3,649757;-2,239029;3,819647
23|TOP2|0,1697105|-4,437515;-1,417141;1,971465;1,779872;2,236071;2,637981;-1,94233;3,591138;-3,312147;-0,0877552;-1,093149;-3,268987;3,000208;-3,746627;-2,672002;4,646191;2,578704;-0,2591448;-0,3122785;0,3929133;-4,50445;0,6237988;-4,994158;-1,737222;-0,1438851;0,09635401;3,649757;-2,259084;3,819647
24|TOP2|0,1618246|-4,277094;-1,417141;1,769238;1,703802;2,236071;2,747245;-2,029063;3,591138;-3,553146;-0,0877552;-1,016703;-3,414584;2,702738;-3,743394;-2,448733;4,646191;2,578704;0,003239006;-0,3850071;-0,09289649;-4,280259;0,8080845;-4,994158;-1,737222;0,08382727;-0,1466642;3,756152;-1,994949;3,819647
25|RandomParents|0,160074|-3,077573;2,807231;-0,8819299;-2,6956;-1,858017;-2,521583;3,554413;-3,180673;3,925319;-5,059667;0,1025968;2,106775;-1,110168;4,118965;1,066111;0,7155328;-4,944592;4,391338;3,834381;2,017885;-2,842907;-3,127725;1,5627;-0,09201317;-1,963272;-3,10077;-1,159469;1,647684;-3,258204
26|TOP2|0,1533092|-4,277094;-1,776247;1,901454;1,779872;2,236071;2,549692;-2,392633;3,591138;-3,312147;-0,03484946;-1,016703;-3,268987;2,702738;-3,722376;-2,496559;4,183533;2,511586;0,03678712;-0,8386094;-0,03644696;-4,50445;0,5777346;-4,994158;-1,80024;0,07029714;0,1657506;3,636299;-1,976597;3,995758
27|TOP2|0,1472631|-4,277094;-1,318547;2,243936;2,089012;2,317554;2,66815;-1,94233;3,591138;-3,312147;-0,2438065;-1,008649;-3,173496;2,312522;-3,493;-2,747684;4,410966;2,578704;-0,2591448;-0,7137501;-0,01754931;-4,50445;0,6237988;-4,994158;-1,256867;-0,1438851;0,03740257;3,649757;-1,946473;4,189012
28|TOP2|0,1252958|-4,277094;-1,417141;1,971465;1,893605;2,236071;2,128528;-1,94233;3,591138;-3,382193;-0,2812862;-0,5194677;-3,268987;2,702738;-3,722376;-2,747684;4,646191;3,029596;-0,2748421;-0,2895274;0,1918238;-4,822295;0,9057006;-4,994158;-1,737222;-0,1438851;0,09669036;3,74638;-2,239029;3,819647
29|TOP2|0,1216694|-4,277094;-1,417141;1,971465;1,602004;2,723668;2,778494;-1,94233;3,591138;-3,066175;-0,120606;-1,016703;-3,268987;2,702738;-3,722376;-2,747684;4,646191;2,578704;-0,2591448;-0,639586;0,3929133;-4,50445;1,101521;-5,223899;-1,737222;-0,1438851;0,09635401;3,649757;-2,239029;3,819647
30|TOP2|0,1158723|-4,277094;-1,829914;1,971465;1,779872;2,693622;2,549692;-2,034419;3,591138;-3,070154;-0,0877552;-0,6723872;-3,268987;2,702738;-3,722376;-2,747684;4,926641;2,202915;-0,4377151;-0,639586;-0,02185956;-4,629087;0,6237988;-4,994158;-1,737222;-0,1438851;0,3538985;3,726584;-2,239029;3,819647
31|TOP2|0,1126899|-4,277094;-1,423081;1,971465;1,779872;2,236071;2,817025;-1,94233;3,591138;-3,35376;-0,07751948;-1,064219;-3,268987;2,702738;-3,722376;-2,426826;5,033876;2,24347;-0,2591448;-0,639586;0,5747036;-4,091668;0,1582529;-4,634259;-1,737222;-0,1438851;0,09635401;3,988387;-2,239029;3,793325
32|TOP2|0,1113561|-4,277094;-1,132481;1,971465;1,779872;2,525129;2,549692;-1,652832;3,734481;-3,312147;-0,0877552;-1,016703;-3,268987;2,702738;-3,722376;-2,747684;4,646191;2,922134;0,05777094;-0,7789795;0,3929133;-4,306656;0,710968;-4,994158;-1,991148;-0,1438851;0,09635401;3,649757;-2,208087;3,647274
33|TOP2|0,1100662|-4,291069;-1,417141;1,971465;1,779872;2,678319;2,830646;-1,94233;3,591138;-3,312147;-0,2883502;-0,7972281;-3,268987;2,702738;-3,722376;-2,748881;4,499805;2,369787;-0,5238796;-0,639586;0,1754724;-4,35377;0,255825;-4,994158;-1,702948;-0,1438851;0,2471627;3,649757;-2,239029;3,819647
34|TOP2|0,1078611|-4,277094;-1,140067;1,971465;1,718534;2,236071;2,549692;-1,773999;3,591138;-3,312147;-0,0877552;-1,016703;-3,268987;2,702738;-3,369768;-2,699353;5,122911;2,16125;-0,2591448;-0,9883142;0,3929133;-4,192214;0,6237988;-5,04143;-1,789882;-0,1442985;0,1626495;3,912887;-2,239029;3,824534
35|TOP2|0,09743785|-4,277094;-1,417141;1,971465;1,779872;2,236071;2,549692;-1,971757;3,591138;-2,817509;0,4084066;-1,016703;-3,268987;2,413683;-3,722376;-2,375034;4,646191;2,578704;0,06010827;-0,639586;0,6689901;-4,534897;0,9528891;-4,994158;-1,790417;-0,4728107;0,09635401;3,820682;-2,039201;3,819647
36|TOP2|0,08912591|-4,277094;-1,607219;1,471936;1,779872;2,236071;2,984679;-1,878923;3,327717;-2,925478;0,3178519;-1,016703;-3,268987;2,702738;-3,637945;-3,028852;4,67232;2,578704;-0,5914667;-0,8588678;0,3929133;-4,162094;0,6237988;-4,994158;-1,362774;-0,302995;0,09635401;3,640599;-2,239029;3,518484
37|TOP2|0,08789911|-4,401892;-1,348415;2,266129;1,779872;2,236071;2,549692;-1,972605;3,802066;-3,312147;-0,0877552;-0,7611648;-3,268987;2,702738;-3,722376;-2,747684;4,646191;2,479706;-0,2591448;-0,639586;0,7893096;-4,50445;0,6237988;-4,994158;-1,737222;-0,5958642;0,09635401;3,649757;-2,337379;3,819647
38|TOP2|0,08548845|-4,277094;-1,417141;1,971465;1,779872;2,236071;2,549692;-1,94233;3,377712;-3,312147;-0,0877552;-1,094442;-2,923532;2,974707;-3,779295;-2,747684;4,550601;2,578704;0,125678;-0,639586;0,2724063;-4,983245;0,6237988;-4,858499;-2,090124;-0,5792974;0,3754361;3,262896;-2,239029;3,819647
39|TOP2|0,07817569|-4,277094;-1,417141;1,971465;1,870038;2,512349;2,832177;-2,270964;3,591138;-3,312147;-0,0877552;-1,027247;-3,268987;2,702738;-3,299619;-2,644691;4,167226;2,829066;-0,6619262;-0,639586;0,8320659;-4,50445;0,6237988;-5,149746;-1,635873;-0,4642729;0,09635401;3,649757;-2,1394;3,548254
40|TotallyRandom|0,07600196|0,5267696;-4,416213;-2,101023;3,349891;-1,202105;-1,964223;4,617029;-1,12078;-4,315314;-3,798471;4,911517;-1,726145;-1,714019;-3,850147;-4,990444;-4,12415;3,776634;-2,235394;0,1087718;0,590394;3,51245;-0,3475614;-2,156143;4,982744;0,7857232;4,85141;4,545042;1,219429;-4,414701
41|TOP2|0,07507611|-4,136757;-1,417141;1,971465;1,578081;2,263451;2,888677;-1,94233;4,050344;-3,312147;-0,0877552;-0,6005634;-3,268987;2,376955;-3,251763;-2,747684;4,483193;2,578704;-0,2591448;-0,3603908;0,3929133;-4,48052;0,7331638;-4,994158;-2,053353;0,3469125;-0,2682103;3,649757;-1,752392;3,852026
42|TOP2|0,06515557|-4,277094;-1,417141;1,744153;1,846983;2,602278;2,549692;-1,94233;3,591138;-3,495637;-0,3494383;-1,016703;-3,437856;2,516805;-3,618535;-2,747684;4,646191;2,499135;0,16383;-1,120945;0,8258752;-4,944428;0,4474857;-4,74321;-1,737222;-0,2610302;-0,2539277;3,2738;-2,452298;3,819647
43|TotallyRandom|0,02902612|4,730741;0,08597803;-1,405694;2,307576;-3,78379;-0,6374235;3,273647;2,630497;-4,419922;-3,597136;4,530992;-4,055132;1,4497;-3,351726;4,004304;-3,294285;3,521953;1,579456;-1,267015;3,939195;-0,6235857;0,4153008;3,860827;-0,8816128;1,248944;-1,726771;4,104699;-2,728598;4,195614
44|RandomParents|0,02212653|0,2264146;-1,845751;0,316834;-2,714155;-2,211973;-2,174896;1,684201;-2,311347;-0,03351037;0,4735465;-1,990369;-2,669784;-0,8279724;0,3559942;-3,810596;-0,4003534;-0,8920304;3,76432;3,681966;0,6262059;-4,339671;1,065063;-0,3817778;3,029719;0,4657949;-4,621725;-3,525121;2,817063;-0,4334717
45|TotallyRandom|0,02032794|-3,050858;2,659872;0,3177409;3,729868;2,483679;-0,6471224;-0,8005171;4,665138;-0,0490756;4,443424;-2,549596;-0,8602457;-4,159664;0,48423;-4,89194;3,354411;0,6418185;-4,680167;3,643196;4,182134;-0,8635993;1,876;-2,699747;2,570153;0,1176043;-2,715274;4,551349;-4,701291;1,425607
46|TotallyRandom|0,01848992|-0,1892142;3,059376;1,725054;4,386806;-2,979995;0,831943;2,973679;4,533777;-4,07699;0,891449;1,311805;2,257005;-0,5351334;-4,65819;-3,040167;-2,938193;-2,419944;4,825755;-3,533402;3,793669;-2,197623;4,994848;-2,564544;-1,551365;-0,2987571;-1,93722;3,720707;2,641194;-1,551283
47|RandomParents|0,01685163|-4,362612;-2,641366;3,763454;2,687543;2,642063;-4,494914;5,073056;-5,221049;4,309196;4,647933;-4,427639;-3,56244;-2,100989;4,71148;1,200682;0,2765279;-0,1881104;1,13273;0,5140713;-1,921567;0,06488276;1,441855;4,317074;-4,228795;-0,2370982;-1,131413;4,80963;-0,1366163;2,187863
48|TotallyRandom|0,007447253|2,75703;-2,609129;-0,3285007;1,64208;2,936802;0,9312387;-2,314923;0,7309289;-2,151223;-4,507537;3,159315;-4,809626;-0,9965115;-4,222607;-1,370408;-2,338267;4,177823;-1,336129;-1,527645;-3,32671;-1,304634;3,792619;-2,586594;1,204373;-0,7031088;-4,355721;1,909653;-3,470035;-2,545513
49|RandomParents|0,00742156|1,113005;-4,551248;2,778835;0,8132167;4,779386;2,202547;-4,715755;1,375835;1,660933;4,363617;-4,344211;-3,005646;1,468283;-2,339384;1,757676;1,584054;-4,573565;4,395425;0,05242872;-1,203244;0,2912564;-3,891162;-1,428067;-3,708233;-1,7139;-2,291582;-2,954711;-4,421817;4,085994
50|RandomParents|0,007416265|3,875082;3,971798
