Generation: 33 | maxFitness: 0,4117483 | maxFitnessGen: 0,3620217 | maxFitnessGenBuf: 0,3150249
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,3150249|0,1898876;-1,407524;4,753443;3,3821;-0,1544057;-2,048356;1,127849;1,976289;3,734109;-4,70458;3,011606;0,9020643;-6,413671;-2,584422;1,295577;-0,6958139;4,199425;-2,946599;-1,478733;2,625704;-0,9873672;-3,799483;0,6228111;3,475893;-3,071015;1,927866;3,375833;-1,932149;-2,556902
1|RandomParents|0,3094094|-1,725614;-1,354589;5,806967;2,302863;-0,8808538;-0,9952952;1,621456;2,81854;1,777202;-4,800029;4,222431;-0,836972;-6,898504;-2,19499;-0,2058961;-2,800646;0,4119464;-2,360918;-2,318507;1,674982;2,704058;-2,99559;-0,4605634;2,432262;-1,23579;1,944808;2,284759;0,1527739;-2,699425
2|RandomParents|0,3037985|-1,72613;-2,653392;5,695365;2,924531;-0,3433285;-1,759638;1,496446;3,183311;2,775783;-5,189706;3,912907;-0,9112082;-7,188227;-2,364872;0,3232253;-2,447529;0,7892635;-2,625135;-2,45432;1,585966;2,594838;-2,175158;0,3579259;3,301019;-1,229825;2,12837;2,321293;0,2465717;-3,004877
3|RandomParents|0,3037377|0,2805715;-1,542905;4,753443;2,928321;-0,08890039;-2,192453;1,387072;1,437472;4,19133;-4,41536;2,585514;0,8016353;-5,763363;-2,908954;1,641063;-1,062494;5,169863;-2,262502;-0,4429986;2,395985;-0,5591221;-3,677335;1,196841;3,183246;-2,719077;1,813117;3,697208;-2,150324;-2,941798
4|RandomParents|0,3021227|-0,08685438;-1,154509;5,16419;3,473506;-0,7031675;-2,12981;1,034258;1,285626;4,19133;-5,573768;3,069997;0,3663088;-5,867322;-2,672682;2,137041;-1,475814;3,913695;-2,603333;-0,5092024;3,081337;-0,3877011;-3,834589;1,343386;2,693192;-2,719077;2,569154;3,034491;-1,924243;-2,330989
5|RandomParents|0,2967738|-1,365036;-2,140175;6,249508;2,302863;-0,8808538;-0,9952952;0,9651124;2,629729;1,357674;-4,137719;3,791807;-1,165329;-6,934762;-2,490363;-0,8561726;-2,800646;0,9670126;-3,348938;-2,664137;1,078687;2,704058;-2,575769;0,01273242;2,579473;-1,34594;2,599669;1,873417;0,6016511;-2,602033
6|RandomParents|0,2936806|-0,2374535;-1,177231;4,753443;2,952109;0,01202314;-2,048356;0,6417189;1,591614;3,935729;-4,236246;3,011606;0,8016353;-6,413671;-2,804177;1,743217;-1,000922;4,057114;-3,024692;-1,436582;3,048551;-0,2196834;-4,260799;0,8390714;3,29523;-3,181454;1,492141;3,258838;-1,847744;-2,126368
7|RandomParents|0,2917098|-1,704826;-2,288395;5,431651;2,917235;-0,3433285;-1,295255;1,219011;3,183311;2,695162;-5,085892;3,912907;-0,7392434;-6,727748;-1,980033;0,4836345;-2,081097;0,7892635;-3,457441;-2,074928;1,22712;2,750706;-1,993858;0,09260246;3,263841;-1,859245;1,680854;1,983032;0,2498068;-2,30915
8|RandomParents|0,2872273|-0,003935669;-1,154509;5,16419;3,041315;-0,5454961;-2,06799;1,034258;1,285626;4,19133;-5,200218;3,069997;0,3663088;-5,774503;-2,510522;1,702971;-1,246851;4,119365;-2,364874;-0,9871496;3,400771;-0,3139006;-3,834589;1,343386;2,798766;-2,719077;2,085785;3,034491;-2,150324;-2,816818
9|RandomParents|0,2835875|-0,003935669;-1,154509;5,297919;3,028829;-0,5454961;-2,408847;1,298668;1,285626;4,19133;-5,200218;3,069997;-0,1126556;-5,331204;-2,950719;2,069222;-1,246851;4,037649;-2,5462;-0,9871496;3,540458;-0,04323363;-3,834589;1,104051;2,650634;-2,246041;2,085785;3,034491;-2,245079;-2,614871
10|RandomParents|0,2801198|0,675945;-1,465575;4,357674;3,22694;0,1575488;-1,939604;1,205018;1,373048;4,19133;-4,275077;2,585514;0,8016353;-6,177722;-3,103478;1,172253;-1,24485;4,587644;-2,07064;-1,213476;2,395985;-0,524186;-3,384538;0,9792115;3,522605;-2,358342;1,927866;3,347657;-2,150324;-2,519479
11|RandomParents|0,2723156|-1,42741;-2,000606;5,785416;2,453854;-0,9266497;-1,279695;1,511084;2,792388;2,574717;-4,866088;3,907624;0,02614817;-7,153762;-2,848929;-0,1489307;-3,02131;1,166374;-2,736265;-3,262513;1,809438;2,610632;-1,982559;-0,3942992;2,278634;-1,254911;2,178;2,586097;1,202623;-2,786107
12|RandomParents|0,2608116|-1,526208;-2,079823;5,695365;2,917235;-0,3135471;-1,295255;1,315798;3,183311;2,027703;-4,747896;3,912907;-0,8827485;-7,305225;-1,980033;0,05500333;-2,081097;0,7892635;-3,24968;-2,544213;1,22712;2,750706;-1,999716;-0,1220103;2,454486;-1,419941;1,269673;2,685679;0,513812;-2,761451
13|RandomParents|0,2507731|-2,110123;2,329891;5,906866;-4,44295;0,6766366;-1,28345;-3,759809;0,7143575;-3,472726;-0,8743281;2,853583;1,250282;0,9979508;-0,5414081;-0,7676697;-4,25726;-0,959776;-2,159085;1,998143;-4,171186;1,779286;-2,175777;3,576531;3,304549;-0,4822361;-4,728486;-2,281939;-1,655559;1,818081
14|RandomParents|0,2154906|-0,6653301;-1,954136;4,728485;2,247234;-0,7620861;-0,1795057;0,4775399;2,354184;2,035043;-5,396418;4,950087;-1,60586;-7,531782;-2,882588;-1,153095;-1,128474;2,035768;-5,635305;-1,936419;2,191008;0,884755;-4,146396;1,423347;2,37279;-1,971566;2,812866;1,689777;-0,6861992;-2,655498
15|RandomParents|0,2144673|-0,8598862;-1,596835;5,8258;2,597348;-1,333026;-1,225142;1,612431;3,012286;2,021124;-5,14382;4,35146;-1,049718;-6,189406;-2,124226;0,7767627;-2,278961;1,100521;-2,796584;-2,714565;1,522843;3,138499;-2,006617;-0,3171012;2,467204;-2,021756;2,269125;1,974207;-0,0246993;-2,218286
16|RandomParents|0,1618562|-0,06257299;-1,154509;4,900167;2,884412;-0,5454961;-2,641028;1,034258;1,751968;4,19133;-4,698385;3,2075;0,574266;-5,774503;-2,807782;1,584692;-0,9952586;4,119365;-1,908804;-0,4927467;4,091825;0,1577361;-3,834589;1,483972;2,062905;-3,145886;2,573794;3,085388;-2,527597;-2,651072
17|RandomParents|0,1408703|-1,322155;-2,40556;6,015093;2,223301;-1,115977;-0,6032092;1,409296;3,414461;1,707447;-4,980171;4,151063;-1,097784;-6,769347;-2,271291;-0,04453133;-2,286862;1,818896;-3,384777;-2,679039;1,56716;3,141225;-2,470493;0,01142658;2,560251;-0,7712215;2,594236;2,348028;0,4210471;-3,401088
18|RandomParents|0,1206833|-2,220917;1,340937;5,286074;-4,105612;0,9417322;-1,115633;-4,076241;1,346678;-3,681246;-0,9135976;2,46516;1,092758;1,345964;-1,175974;0,03044596;-4,48441;-0,6758317;-3,403205;2,417486;-3,940002;1,830431;-2,0895;3,165904;4,434012;-0,4555093;-4,801846;-1,845091;-2,198403;2,427592
19|RandomParents|0,1191159|-1,296653;4,786296;0,8387712;0,6067575;3,280963;-2,098748;3,491457;3,45836;-2,081207;3,121738;4,136254;-1,17973;5,013338;-1,285581;4,035813;2,22536;-4,466419;0,9560989;-4,854078;4,476747;2,285282;-2,070064;3,537358;-1,696342;1,459723;-0,9033273;-0,2170043;-4,48771;-0,1495926
20|RandomParents|0,1106634|0,2585237;-1,154509;4,917655;2,970371;-0,5454961;-2,37661;1,034258;1,751968;4,19133;-4,733318;3,2075;0,968762;-5,774503;-2,656714;1,24562;-1,246851;4,119365;-2,057063;-0,9871496;3,623275;-0,2695782;-3,626721;1,483972;2,388549;-2,719077;2,578661;2,801166;-2,592189;-2,46241
21|RandomParents|0,1079113|-1,935515;1,61988;6,335588;-3,858228;0,9124433;-1,087049;-3,604634;1,655207;-3,481017;-1,247075;3,042637;0,9819937;1,345964;-1,254977;-0,371695;-4,601214;-1,327217;-3,178954;3,453295;-3,555637;1,223555;-2,638584;3,914492;4,209746;-0,9561065;-3,89517;-1,444042;-1,796817;2,420729
22|RandomParents|0,1071793|-0,4632789;1,654116;3,554485;-4,669526;-0,335005;-1,702579;-3,330179;3,11398;-3,999448;1,031611;3,775403;2,050643;1,878886;0,9641766;-0,03101182;-5,552476;-1,775533;-2,05896;1,16556;-1,033756;2,067475;-4,024275;3,674796;3,765306;-1,235005;-4,628649;-4,34128;-2,034227;1,270097
23|RandomParents|0,1043111|-0,08174837;-3,198714;5,105451;4,180856;-1,99421;-1,018661;1,796112;2,198912;2,988456;-4,898176;4,42803;-0,3256491;-5,565715;-1,445696;-0,8733797;-2,865546;2,444164;-4,380461;-0,144964;1,858933;0,9502318;-3,983965;0,3508985;2,291989;-2,558992;2,867899;3,701471;-0,9357164;-2,581838
24|TotallyRandom|0,1040294|-0,581706;-4,985023;4,499269;1,209235;-4,470028;4,61918;2,096279;-3,209995;0,6201024;-3,072743;-0,6534238;-2,483584;-1,143046;-1,653251;-2,678132;4,621352;4,075207;0,5282884;-2,299476;-1,169651;4,339414;-4,896337;-2,251548;3,734217;-1,874397;1,767508;-4,457665;-2,970891;-0,4654174
25|RandomParents|0,09292182|-2,269961;4,690063;0,5908591;0,4861751;3,471103;-1,540704;3,234157;3,45836;-2,07691;3,606468;3,960747;-0,4448789;4,582176;-1,744778;3,681235;1,598919;-4,731724;0,3871346;-4,854078;3,844343;1,970273;-1,899175;3,40903;-2,520576;2,209921;-0,478831;0,1437874;-4,056493;-0,5095038
