Generation: 21 | maxFitness: 0,6101888 | maxFitnessGen: 0,2285151 | maxFitnessGenBuf: 0,2263389
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2263389|2,786657;-1,278682;-4,771098;-4,085858;-4,039199;5,499315;-3,746908;-4,133335;-0,003340755;0,6850554;-3,348639;-0,8750006;0,5697919;0,08739674;3,951882;-0,9773309;3,174085;2,635246;1,054592;-1,038329;5,141429;-2,780728;1,786541;2,281917;-1,881229;3,688713;-4,958669;-2,498121;4,317286
1|TOP2|0,2262552|2,780839;-1,629807;-4,970047;-4,085858;-3,95407;5,745481;-3,348225;-4,179139;-0,3418418;0,5538006;-3,440067;-0,5009431;0,5697919;-0,1477717;3,812023;-1,407703;2,761153;2,817958;1,322888;-1,139683;5,361176;-3,078031;1,953834;2,281917;-1,800428;3,688713;-4,788595;-2,973774;4,317286
2|TOP2|0,2229785|2,287737;-1,278682;-4,689521;-4,433592;-3,908649;5,745481;-3,746908;-4,326695;-0,07719216;0,1925674;-3,16093;-0,9552261;0,5697919;-0,1477717;3,6992;-1,226441;2,757605;2,817958;1,054592;-0,6511346;5,361176;-2,903236;1,786541;2,281917;-1,800428;3,688713;-5,049122;-3,288409;4,317286
3|TOP2|0,222954|2,287737;-1,278682;-4,851394;-4,085858;-4,239342;5,745481;-3,746908;-4,354575;-0,1076718;0,1925674;-3,16093;-0,9552261;1,040367;-0,1477717;3,951882;-1,204404;2,761153;2,817958;1,054592;-1,038329;5,361176;-3,019613;1,786541;2,1308;-1,691619;3,688713;-4,666948;-2,973774;3,989942
4|TOP2|0,2229514|2,647224;-1,54089;-4,771098;-4,085858;-3,908649;5,988966;-3,677584;-4,354575;0,1967114;0,1925674;-3,16093;-0,9552261;0,869722;-0,5925449;3,82726;-1,226441;2,542829;2,754714;1,062726;-1,038329;5,361176;-3,486148;1,891038;1,803738;-1,800428;3,742218;-4,294925;-2,815;4,317286
5|TOP2|0,2158667|2,01077;-1,131857;-4,631912;-4,085858;-4,248819;6,195539;-3,746908;-3,931882;0,4118926;0,3496937;-3,16093;-0,9552261;0,5697919;-0,1477717;4,307119;-1,65874;2,761153;2,918756;1,444017;-1,038329;5,062154;-2,730276;1,786541;2,281917;-1,800428;4,034077;-5,066521;-3,033001;4,317286
6|TOP2|0,2156161|2,337103;-1,13956;-4,771098;-4,085858;-4,324594;5,745481;-3,481033;-4,475108;-0,003340755;0,1925674;-3,16093;-1,099307;0,5697919;-0,1477717;3,951882;-1,226441;2,761153;2,817958;1,355659;-1,038329;5,361176;-3,241259;2,035089;2,281917;-2,148557;3,290097;-4,666948;-2,973774;4,685698
7|TOP2|0,2154386|2,287737;-1,278682;-4,771098;-4,073716;-4,209735;5,745481;-3,746908;-4,105571;-0,005075786;-0,1294137;-3,16093;-0,9132968;0,2376181;-0,1477717;4,249692;-1,226441;2,761153;2,399841;1,544032;-1,09289;5,361176;-3,083632;2,077676;2,281917;-1,800428;3,711552;-5,018481;-2,961733;4,528964
