Generation: 30 | maxFitness: 0,6101888 | maxFitnessGen: 0,2480929 | maxFitnessGenBuf: 0,2549421
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
17|TOP2|0,2032176|2,663687;-1,037417;-5,209381;-4,396547;-4,242101;5,466057;-4,42532;-4,841764;0,06314082;0,01577349;-3,82011;-0,5497578;0,7502293;0,1469939;6,169617;-0,1506521;3,519903;2,557212;0,3104089;-2,308126;4,401403;-3,404075;2,552067;2,522342;-1,962888;3,732971;-5,747942;-1,833876;5,087088
18|TOP2|0,201437|2,663687;-1,037417;-4,941382;-4,396547;-3,813421;5,813632;-4,199169;-4,376289;-0,07705092;-0,2351859;-3,701287;-0,5354124;1,199449;-0,1792803;6,096348;-0,5920287;3,519903;2,94048;0,3420939;-1,912052;5,147831;-3,303447;2,359013;2,360698;-2,427544;3,804934;-5,747942;-2,196392;5,087088
19|TOP2|0,199999|2,663687;-0,8028367;-5,241904;-4,396547;-3,813421;5,534549;-4,66391;-4,841764;0,06314082;-0,4117988;-3,779289;-0,3528417;0,720607;-0,1039178;6,096348;-0,2654561;3,519903;2,149508;0,3420939;-1,982223;5,126279;-3,404075;2,359013;1,893587;-2,336786;3,739514;-5,946878;-2,196392;5,503798
20|TOP2|0,1998359|2,663687;-0,7418901;-4,667317;-4,800585;-3,702636;5,699914;-4,231846;-4,841764;-0,02319073;-0,3859295;-3,779289;-0,3203711;0,8328403;0,2511577;6,096348;-0,5920287;3,984596;2,671534;0,5993341;-1,68398;4,650669;-2,981149;2,436521;2,576329;-2,427544;3,804934;-6,161447;-2,455537;5,087088
21|TOP2|0,1977104|2,663687;-0,6559774;-4,759192;-4,700829;-3,813421;5,519984;-4,166624;-5,08968;0,06314082;-0,2351859;-3,471118;-0,5497578;0,7502293;-0,1889298;6,096348;-0,5920287;3,519903;2,785787;0,5721025;-1,912052;4,429088;-3,394908;2,336643;2,363426;-2,427544;3,804934;-5,747942;-2,196392;4,993225
22|TOP2|0,1973872|2,663687;-1,420419;-4,759192;-4,396547;-3,620657;5,319124;-3,925933;-4,841764;0,06314082;-0,2351859;-3,779289;-0,5497578;0,7502293;0,1469939;6,096348;-0,3458189;3,303695;2,973768;0,3420939;-1,912052;4,650669;-3,404075;2,359013;2,044024;-2,624695;3,903248;-5,747942;-1,843458;5,087088
23|TOP2|0,1925349|2,255618;-1,116455;-4,759192;-4,396547;-3,69912;5,784966;-4,42532;-4,841764;0,1898779;-0,2351859;-3,772907;-0,3327685;0,8023554;-0,05063334;6,096348;-0,2715761;3,805108;2,86717;0,2563;-1,912052;4,27891;-3,404075;2,449449;2,363426;-2,420997;3,804934;-5,841763;-1,777041;4,725266
24|TOP2|0,1920755|2,663687;-1,037417;-4,759192;-4,724974;-3,813421;5,287309;-4,42532;-4,841764;0,06314082;-0,1225254;-3,779289;-0,5497578;0,7502293;0,1469939;6,096348;-0,5920287;3,519903;2,557212;0,3420939;-1,912052;4,650669;-3,664842;2,359013;2,363426;-2,427544;3,833438;-5,747942;-2,196392;5,087088
25|TOP2|0,1907967|2,663687;-1,037417;-4,628242;-4,396547;-3,813421;5,667251;-4,764761;-4,841764;0,06314082;-0,5753035;-3,433276;-0,990874;0,7502293;0,1941046;5,690816;-0,5920287;3,519903;2,557212;0,3420939;-1,912052;4,650669;-3,245086;2,337183;2,363426;-2,743816;3,513956;-5,747942;-2,461926;4,785872
26|TOP2|0,1879941|2,663687;-0,5793629;-4,588722;-4,396547;-3,94814;5,534549;-4,42532;-4,442972;0,2190637;-0,1184784;-3,779289;-0,4354892;0,7502293;-0,2554892;6,096348;-1,020084;3,519903;2,557212;0,1625616;-2,347628;5,058402;-3,404075;2,359013;2,363426;-2,687468;3,722616;-5,747942;-2,470707;5,087088
