Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,0818098
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,0818098|-0,210826;-0,663172;0,4322138;0,246004;-0,5145791;0,05180228;0,2946014;-0,3381678;-0,4538087;-0,6297596;0,6894517;0,5320961;0,2316121;-0,7544427;0,02302134;-0,3925279;0,6475046;0,6370597;-0,03365672;0,5086069;-0,005913138;0,7237184;0,626533;0,6490214;-0,357215;-0,650063;-0,1156002;0,9510031;-0,09306753
1|TotallyRandom|0,08176117|-0,4305683;0,3557915;-0,7156911;0,02116215;0,9462128;-0,4182242;-0,1519941;0,9821799;0,0006865263;0,4889211;0,9631314;-0,4038428;-0,7685542;0,001226783;0,4416229;-0,5612605;0,7958996;-0,5819869;-0,4707404;-0,9992898;-0,8521106;-0,02388299;-0,4710711;-0,1801282;0,3184914;0,2524719;-0,2923318;0,221265;-0,0147444
2|TOP2|0,08105571|-0,467167;-0,7367284;0,1072456;-0,5975788;-0,6678698;-0,5600567;0,6888225;0,02925146;0,7127943;0,9480252;-0,9126248;0,02543175;-0,1004366;-0,3984398;-0,7383966;-0,2016858;0,5813694;-0,3250719;-0,318524;-0,5757608;-0,02859604;-0,5022101;-0,6216226;-0,4811999;0,300375;0,5509491;-0,9325781;0,5798738;0,04949558
3|TOP2|0,08099487|-0,3381602;-0,7938879;0,1273023;0,8839431;0,884551;-0,6331902;-0,4581198;0,5060866;0,5312166;-0,9088743;0,05251896;0,7372503;0,5095117;0,2250804;-0,3468443;0,001488566;0,9212697;-0,174117;0,5858507;0,537322;-0,8908758;0,5026538;0,6868408;-0,5681603;0,1591939;-0,4426163;0,06551445;-0,246282;0,05904615
4|TotallyRandom|0,07156039|-0,8790908;-0,5490375;-0,3370334;-0,1139976;-0,6997936;-0,433297;0,5612195;-0,5796309;0,1477889;-0,5104997;-0,1223267;0,2520215;0,06851017;0,1916412;-0,3924292;0,6291506;0,1111318;0,8738322;0,6347439;0,4376247;-0,2435673;0,1253353;-0,2943453;0,413459;-0,1648136;0,1471018;0,3557787;0,8991077;-0,502506
5|TOP2|0,05651896|0,2829847;0,6428359;-0,1670538;0,1171242;0,353357;-0,7940769;0,267797;-0,3873166;-0,6580844;-0,320392;0,06809223;0,3743202;0,5171695;0,2329887;0,1927518;-0,2759131;0,1439074;-0,6995754;-0,8416011;-0,3599042;-0,9559162;-0,6775458;-0,08383214;0,8626094;0,1090001;0,8088784;-0,08279121;-0,02437389;-0,0313338
6|RandomParents|0,05541592|-0,2015275;-0,0654515;0,9531391;0,7378547;0,06484187;-0,3484904;0,2423705;-0,9117026;0,259993;0,6093931;0,9732261;0,9131467;-0,8986754;0,1017457;0,5912695;0,4172854;0,8110862;-0,8883564;-0,8457451;-0,9536231;-0,6609735;0,9697978;-0,7088687;0,2447048;-0,5291629;-0,7619343;0,5606186;0,9918497;0,4309096
