Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,07927645
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,07927645|0,8407133;-0,2909452;-0,3906823;-0,5856113;-0,1305627;-0,4691392;-0,113696;-0,6202526;-0,3444666;-0,4608959;0,6639311;-0,06013954;0,2547877;0,0424515;-0,1794671;0,1229843;-0,7185762;0,7282441;-0,2584518;0,488616;-0,8852229;-0,6284783;0,866955;-0,8066847;0,2163862;0,3984792;
1|TOP2|0,07403751|0,592375;0,3874547;-0,4028932;0,5348988;0,3849635;-0,2135671;-0,5021789;-0,2039775;-0,5273781;0,2380205;-0,09130895;0,9420776;-0,3226095;0,9737043;0,1258646;0,2616992;-0,190173;-0,6288166;0,09340775;0,1646847;-0,0548836;0,09733284;0,8583941;-0,1320702;0,9682646;-0,4543196;
2|TOP2|0,0740203|-0,0729872;0,9546208;-0,869509;0,7438252;-0,9274027;-0,6374769;0,5212488;0,9874656;-0,5250895;-0,9310923;-0,9648159;-0,702662;0,2256559;0,2080814;0,9100704;0,2736592;0,1413378;-0,2447253;-0,05703032;-0,06205952;-0,9765947;0,7585092;0,9947922;-0,07481039;0,8021498;0,4943406;
3|TOP2|0,07038504|0,9265931;-0,5913708;0,9065416;0,9266636;0,1859125;-0,9026747;0,5599489;-0,006413579;0,663779;0,5579565;0,03777659;-0,03976572;-0,4616646;-0,9567323;0,5357299;-0,5078604;-0,9665854;-0,3688852;-0,5112662;0,5066907;0,6496074;0,9007051;0,06569493;0,02340329;-0,3690788;-0,3155564;
4|TOP2|0,06484355|-0,5366247;-0,836828;-0,1132172;-0,08558261;-0,006027579;-0,5902412;0,9768016;0,4704001;0,8312292;-0,07486761;-0,9875963;-0,2804819;-0,5012028;0,5399718;0,5681851;-0,3071743;0,3071468;0,5669272;-0,1595033;0,9309154;0,245766;0,7288015;0,2814769;-0,122002;0,2139715;-0,1914803;
5|TOP2|0,06338318|-0,1605505;-0,8588088;-0,7949762;0,5697634;-0,2440966;0,7213209;-0,8254442;-0,1467711;0,6642137;0,03804958;0,2387849;0,9641683;0,727679;0,9729013;0,4615106;0,8851278;-0,2556142;0,9137197;0,7045238;-0,7639439;0,6535954;0,04692066;0,8825607;-0,1702296;-0,4218496;0,7352419;
6|TOP2|0,06229274|0,5860908;-0,6634352;-0,3261005;0,7354305;-0,4151992;-0,6961312;0,8251379;0,9706922;-0,8820636;-0,2604126;0,9801297;-0,8072524;-0,5878797;-0,413829;0,1418351;-0,6012242;0,9582996;-0,325081;0,256948;-0,9843259;0,8218424;0,9619615;-0,6182048;0,1593519;-0,5940778;-0,1367081;
7|TOP2|0,0593999|0,4411864;-0,4052228;0,8372934;0,8818443;0,2478589;0,02703893;0,5314717;-0,4528252;0,03202426;-0,2462038;0,8248391;0,4719231;-0,6345754;0,2218865;-0,007711768;0,7721124;-0,99243;-0,7069976;-0,1178123;0,921263;0,1917621;-0,7288702;-0,2129036;-0,6545122;-0,00158608;-0,8954306;
