Generation: 697 | maxFitness: 0,2273974 | maxFitnessGen: 0,1507808 | maxFitnessGenBuf: 0,1467811
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,1

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,663496;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,7958661;-0,4118487;-0,2145389;-1,863367;1,364192;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
1|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,9474548;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8927937;1,272187;-0,4474392
2|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
3|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;1,057552;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,8037574;-0,186303;0,328483;-0,03528805;-1,011033;1,272187;-0,4474392
4|TOP2|0,1467811|0,6122932;-1,368071;2,811636;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
5|TOP2|0,1467811|0,6454926;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
6|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,72295;0,8646045;0,5314897;1,03822;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,9169496;1,272187;-0,4474392
7|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
8|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,57021;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4999747;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2018848;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
9|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,484838;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,8826288;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
10|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,969896;0,5314897;0,9349592;-0,2884682;-0,2145389;-1,863367;1,204324;0,7602183;0,2161425;-0,3884832;-0,8596277;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
11|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,415852;-0,4645868;0,9861556;-1,71954;2,613886;0,8646045;0,3837875;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
12|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,783264;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
13|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,743069;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
14|TOP2|0,1467811|0,6353256;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
15|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,233063;0,7335444;0,2161425;-0,2590996;-0,7331539;-0,06699945;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
16|TOP2|0,1467811|0,7036754;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
17|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
18|TOP2|0,1467811|0,738726;-1,368071;2,699385;1,790008;-2,377486;-0,5489875;0,839812;-1,71954;2,613886;0,9795524;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
19|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
20|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,593514;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
21|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2463389;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
22|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5314897;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,2161425;-0,2941769;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
23|TOP2|0,1467811|0,6122932;-1,368071;2,699385;1,693713;-2,377486;-0,5489875;0,9861556;-1,71954;2,613886;0,8646045;0,5058298;0,9349592;-0,4118487;-0,2145389;-1,863367;1,219869;0,7602183;0,3340322;-0,2590996;-0,7331539;-0,186303;0,328483;-0,03528805;-0,8752401;1,272187;-0,4474392
