Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,03582856
N TotallyRandom: 2 | N RandomParents: 0 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,03582856|1,030764;0,6189914;-2,983302;0,8809428;2,691899;-3,390721;-2,436592;-3,791312;0,8243628;-4,959122;-4,804212;-3,8272;0,7529263;2,52334;-4,866649;-2,922831;-2,148425;2,437977;1,222648;-0,08932161;0,3611259;-0,209331;-2,333529;-0,5899863;1,641676;-0,3089972
1|TOP2|0,03484958|1,072839;-3,460979;4,892789;-2,916787;-3,143459;-2,489564;2,143457;-3,459825;-0,7961984;-0,05233097;-0,4965897;2,039182;-4,925528;-1,568162;0,6208067;2,854892;-3,066659;2,697688;1,755894;0,5916519;-3,203487;1,011978;0,8918185;-3,546065;-0,3430576;0,3859763
2|TOP2|0,02575725|-0,1189585;-3,648441;1,49847;3,281835;0,860148;0,5516191;-4,394685;-0,375268;0,2148681;-2,213011;3,873291;2,556938;-2,265918;-1,268623;1,708984;-1,582873;3,210388;4,769687;-1,527377;-0,947135;-0,3648992;-1,721763;-2,105507;-1,300246;-1,697697;0,6231327
3|TOP2|0,01912167|-2,794154;2,482998;-1,50228;4,536887;1,92942;2,168589;-2,079618;-1,014668;0,8629708;2,47766;-0,9885592;2,000965;-0,8108573;3,26675;-3,556978;-4,156782;2,273603;2,646216;-2,869735;-4,634336;-0,1158018;-1,233931;0,8890338;-4,229464;1,44186;0,8810501
4|TOP2|0,01907167|4,598623;-3,206545;1,491548;-0,68085;-4,084926;-4,93842;4,38273;-4,364747;-3,339231;-2,848283;2,794737;-1,009329;-2,644981;-4,547731;-1,909077;-4,772683;-1,790047;-3,7493;2,415944;-1,903015;1,36803;2,983596;-1,941364;-3,982248;0,04578781;4,411878
5|TOP2|0,01904167|-2,083593;-0,3111191;1,903231;-1,836669;-4,149343;4,505769;-2,58793;-2,750474;0,5385108;-4,588618;-2,193255;-0,3680654;-1,944012;-4,599012;0,05303812;-2,006178;-2,866201;-2,413175;4,276871;-0,4766006;-3,156187;1,157012;-2,262693;-4,65021;-0,2286191;3,07091
6|TOP2|0,01902881|-4,216169;-3,467727;-1,758023;0,64923;-3,54109;-2,369141;0,1129503;-2,477741;-1,929221;4,637423;1,50104;-4,295888;1,976126;-3,428088;2,07469;-0,01111794;3,915368;-1,82969;-2,076607;3,190135;4,845885;-4,967018;2,860633;-0,2046723;0,2137036;1,764512
7|TOP2|0,01899046|-2,618387;1,365852;0,4228215;1,382379;-2,873893;2,090352;3,094554;0,6789808;-4,220015;-3,229088;-2,182664;-4,657494;-4,92951;-3,468288;2,697697;-2,306716;4,668474;-3,212777;-2,309904;-2,675829;3,844307;2,044579;1,322813;-1,608928;1,152403;-1,720274
8|TOP2|0,01894359|-4,480052;2,55177;0,4976077;-0,4692559;2,874933;-4,894003;-1,730896;0,4854698;1,96751;-0,3477759;-0,9590502;0,4421215;3,103054;-0,1730471;3,640231;-2,232031;4,760059;0,3676181;3,89941;-0,9773941;1,798985;-1,068805;1,032958;-2,205617;3,238569;-0,8606
9|TOP2|0,01870887|2,783655;-3,320236;-1,934566;-2,356096;-0,3614192;-3,62231;0,8741899;3,494246;4,789133;-0,8061509;-4,648315;-2,153011;2,042925;-0,881515;2,464148;1,333732;3,338908;2,545694;0,2084298;-0,1163845;-2,815775;-3,142391;-2,259763;-1,423242;-3,011805;-0,9969993
10|TOP2|0,01737951|3,962871;-3,621774;-2,33486;-0,1739554;-1,085975;-0,5319362;2,083995;-2,729023;3,826168;2,02487;4,339683;-1,648015;-3,339865;1,291395;-4,124365;-0,8413358;-4,613096;3,295485;1,876979;0,8354955;1,510387;-3,09074;-2,517707;2,152369;2,158657;3,966549
11|TotallyRandom|0,01737652|-4,569822;4,861227;-0,5887108;2,440039;-0,276;4,956703;-2,235097;-3,997109;-3,418002;-0,9147019;2,166489;1,82028;-2,707403;-0,5430369;-0,2322216;-1,682272;3,604435;1,58684;2,453667;-0,7289214;4,519487;0,06205511;0,6215401;-4,222532;2,582003;-1,40004
12|TOP2|0,01736354|1,206784;-1,003398;4,932859;-2,827797;4,679677;-0,8178754;-1,035366;-0,827672;-2,533778;4,21152;0,583487;0,8585353;1,740541;3,294208;2,297059;2,291358;2,85087;4,139947;3,562455;-1,863036;1,960338;-4,870647;-3,200788;0,457428;-2,186913;3,828159
13|TOP2|0,01736269|1,847622;2,322481;4,563768;2,308241;2,900314;2,300495;-4,033679;2,205887;-3,976414;1,269074;1,984743;2,622904;2,155209;-2,361959;2,154746;-4,130503;1,31558;-0,3199787;1,851991;-4,12042;3,211607;-3,962961;2,938493;-3,582917;2,763789;-4,150003
14|TOP2|0,01732532|3,767046;-2,696784;4,521291;-0,2302809;-0,3005509;1,395916;-0,9097953;0,3348751;3,692225;4,976188;3,008809;0,8834128;2,129102;2,282429;4,792228;4,892199;-3,934049;-4,922663;-4,002432;-0,9531159;-4,439161;3,311313;-1,068551;-2,101753;3,107809;3,374043
15|TOP2|0,01732313|1,812168;-4,9699;3,37319;4,95862;-3,47763;1,806473;2,030345;1,872218;2,769747;0,4510517;-2,705913;-4,180741;-1,573403;-3,741235;4,89104;-4,932671;1,755899;-1,141853;4,454961;4,508047;-3,866203;0,3952079;-0,3668265;2,145765;4,745842;1,857567
16|TOP2|0,01731697|-0,9063249;2,189895;3,385315;2,828403;1,992142;3,885356;1,334237;0,04381847;4,323537;-1,522837;2,172103;3,297794;-2,682456;3,772069;-3,48384;3,5034;-3,815763;0,1285405;1,914207;-4,842793;4,603428;-0,9919806;0,8480163;3,722374;1,291942;2,533387
17|TOP2|0,01730141|2,076043;-3,173041;1,628663;4,108715;-0,9378977;3,401814;4,781635;1,44789;4,750262;-1,515851;4,324569;3,505214;3,575874;2,879213;3,07389;0,1500101;0,56742;3,678027;2,990365;-1,965668;-3,524603;-4,670061;4,78631;-3,513011;3,432256;-0,6286521
18|TOP2|0,01728498|3,161497;-2,589125;-4,586922;0,9964995;1,624664;4,601604;-3,174663;-0,5010505;4,223758;0,659359;3,454772;3,674711;1,767339;-0,5378194;-3,180337;-2,130261;0,2352304;0,5458503;1,938725;0,1160054;4,939291;-1,684254;-4,692859;2,124342;1,913183;4,097501
19|TOP2|0,01722179|4,512137;-2,648272;-1,902996;-0,3824134;0,4950614;-0,1472931;-0,06750631;0,0975256;4,42419;1,697038;-0,587482;-3,802949;0,9159799;-2,187558;-4,029076;2,557886;1,950301;2,638733;-3,348623;1,871003;0,8747034;4,15659;2,655076;-1,263402;3,708673;-3,83514
20|TOP2|0,01720113|4,364233;-2,301442;-1,597155;2,582664;-3,052951;-1,069021;1,028405;4,458463;-0,97542;-3,342488;-4,328945;-4,586505;-2,424441;1,854342;2,684498;-4,133427;-4,032495;-2,706605;-1,05669;4,955655;2,78206;-2,687899;-3,080776;4,317636;3,926562;3,043314
21|TOP2|0,01625114|1,910813;-3,289406;3,247436;3,456915;0,8162541;-2,857265;-0,2967663;-1,051741;4,856101;1,890447;-2,220448;-2,672813;-0,8326225;-3,30943;-4,070729;4,040084;2,327577;-0,6397529;3,759217;-2,799035;4,563366;1,801909;-2,31997;-0,69138;-0,1375599;-0,892108
22|TOP2|0,01582179|-2,776633;-2,133282;-0,3517323;-3,978908;0,8524208;3,444041;3,619652;-2,061545;-1,226097;0,5812378;1,961748;-0,0388236;1,359703;1,329603;-2,287236;-1,631167;-4,856753;2,687013;-2,02319;2,944739;2,024521;-0,02850485;-1,475156;0,3013854;0,6261082;-3,552365
23|TOP2|0,01370503|-1,064813;4,877731;0,123127;0,975625;-1,414662;-0,7696729;-1,717368;-0,4254074;3,25235;4,17832;-1,623539;-0,7736354;-4,811863;-0,7392554;1,864989;1,98364;4,635272;3,958214;0,5943279;3,539534;-1,524457;3,809114;-1,813995;0,3239245;-2,393183;2,967553
24|TotallyRandom|0,01361811|1,92791;-2,802596;-2,663201;1,848992;3,457491;-2,050902;-0,37782;-3,550133;4,14024;-1,734943;-0,2583356;1,224497;-1,361033;2,097478;2,316078;3,126603;-0,01704168;-4,527474;0,5362673;3,872461;2,55136;1,626911;-1,040756;-1,579098;-2,701887;3,690298
25|TOP2|0,01346046|-4,282658;3,550855;-2,66391;3,817321;2,588761;-0,05545902;-4,388961;-0,0163393;-2,237783;3,779068;-4,529882;4,951406;1,543947;3,432408;1,719396;-2,062746;-3,991366;-4,585869;1,234409;-0,008491993;-4,011851;-2,644195;-1,011851;4,935442;-1,02472;-4,082113
26|TOP2|0,01327903|0,789289;-4,363203;2,980407;1,596548;-4,390306;3,045436;3,175228;3,851361;2,120245;-3,342588;4,269773;-1,005327;-2,641265;0,003426552;-1,489492;3,507721;-3,302763;2,879329;1,006344;2,192554;-1,916016;2,189866;4,954432;-2,578061;-1,20305;-2,919344
27|TOP2|0,01319011|-3,389156;-1,321257;-2,171402;1,63967;3,15053;-3,796453;3,465401;4,28161;-1,404998;-0,6546884;-2,3016;4,872705;-4,16562;1,997869;-3,89723;3,497444;1,756117;2,100391;4,570566;2,262865;-4,087753;0,8824377;2,542613;-3,222058;-3,070215;-2,893433
28|TOP2|0,01309338|2,883848;4,585585;-2,215467;3,947281;1,101962;1,007885;-1,976994;3,044158;1,725792;-4,327944;-2,091709;3,185299;0,08030844;-3,80866;-2,194808;-2,419543;-4,25229;-3,444326;1,669737;-3,011577;1,011755;3,168715;4,908911;3,580674;-1,356496;1,603256
29|TOP2|0,01304101|1,819708;-4,507359;3,756554;3,493757;-3,751757;3,908636;3,925476;4,563107;2,349925;4,480183;1,353172;2,534743;0,2943544;2,809587;3,234119;2,717405;3,464163;3,17292;-2,357635;-2,614118;-3,197246;4,027515;-0,6221862;-4,124837;-3,265188;-4,379208
