Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1000959
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1000959|-0,9443386;0,5315888;0,9494755;0,5692654;0,6436574;0,2804434;0,6295536;0,2041143;-0,628058;0,7836251;0,4516861;-0,5958807;0,763865;-0,03763974;0,7905607;-0,841152;0,895633;-0,8462691;-0,08373463;-0,9407415;-0,1696588;-0,4677244;0,9381564;0,9149668;-0,491685;-0,9187207;-0,3455721;0,5049617;-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884-0,2534884
1|TOP2|0,09997106|0,1482066;-0,2249883;0,7721846;-0,8864441;-0,05148971;-0,9077587;0,1950186;-0,05768907;-0,4274763;0,1355454;-0,5819485;0,5385985;-0,8529487;0,5388258;-0,007906079;0,8578236;-0,656518;-0,1663498;-0,048895;-0,183005;-0,4517676;0,9392147;-0,6855154;0,008652329;-0,7282226;-0,06126106;0,909656;0,9833372;-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296-0,06512296
2|TOP2|0,09219101|0,9128401;-0,9123397;-0,3047475;-0,1957477;-0,7894182;0,5813766;0,6948912;-0,2233306;0,7098043;-0,6140337;-0,2415367;0,7229366;-0,3194863;0,3267884;-0,1357003;0,6758626;0,1853317;0,8057866;0,4019694;-0,5134916;0,1547581;-0,7989779;-0,6060884;0,3503279;-0,03208292;-0,2770001;0,891629;0,6085141;-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725-0,1156725
3|TOP2|0,09163538|0,7581666;-0,4909946;0,1510683;0,9278476;0,7392988;-0,8436427;0,04637706;-0,5076358;0,8514218;0,1237668;-0,3589665;0,6119337;-0,9993398;-0,1104795;-0,9159946;-0,8604114;-0,09620392;0,1795551;0,5927668;0,6848514;-0,523845;0,9710011;0,6853821;-0,3406702;-0,7233481;-0,1508693;0,4433617;-0,4308194;-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523-0,1513523
4|TOP2|0,0916277|0,9210601;0,9703262;0,2295324;0,04815853;-0,1064779;0,8738472;0,2772574;0,6442299;-0,2925009;0,9726892;0,7739315;0,4447822;0,3146512;-0,5735722;-0,862447;-0,2440933;0,02497327;0,7117324;0,9915371;0,07156599;0,2324606;-0,3733147;0,02244246;0,8226733;-0,4829239;-0,05900037;0,5313725;0,3306489;-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554-0,1657554
5|TOP2|0,09158351|0,5926769;-0,04362524;-0,8638592;0,04715526;-0,09858024;-0,9781797;-0,06995142;0,2511153;0,7335303;0,8702848;-0,5418303;-0,1564409;-0,4081527;0,9780521;-0,3674196;0,4363553;0,9347222;0,1594585;0,3902569;-0,4794711;0,4405441;0,02930629;-0,9078732;-0,3335773;0,3542144;0,4095971;0,3519976;0,6002433;-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516-0,1627516
6|TOP2|0,0903745|0,766382;-0,994719;0,6338017;0,4420094;-0,1655675;-0,3248569;-0,1962544;0,9126198;0,840158;0,1204516;-0,3137447;0,4204995;-0,1050338;-0,9841645;-0,1425942;0,6289132;0,3543868;-0,5400169;0,5930824;0,4015753;-0,4091924;0,3228852;-0,7437716;0,7827117;-0,947108;-0,5396655;0,199634;0,903949;-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453-0,5453453
