Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,08960475
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TotallyRandom|0,08960475|0,8577185;0,8838387;-0,2778095;-0,4306465;-0,1388708;0,9490986;-0,663096;0,5033615;0,3638622;0,04353917;0,626081;0,954704;0,6408341;-0,1342245;-0,566433;0,414191;-0,190004;0,332906;0,3575468;0,6706731;-0,3587161;0,5792837;0,03154719;0,3198137;-0,7429566;-0,09890211;0,4364903;-0,8362348;0,2749285
1|TOP2|0,07937437|-0,1193076;-0,741864;0,8361328;0,02547252;0,04894221;-0,08930266;0,04332411;-0,008731961;-0,3129352;0,2052997;-0,9553163;0,3943531;-0,0340656;-0,09209812;0,4210849;-0,4893037;-0,8762412;-0,08833206;0,9868462;-0,8243876;-0,8382416;-0,5158727;0,1649457;-0,04285991;0,7265081;-0,9996519;0,1283954;-0,4634;0,05782068
2|TOP2|0,0735705|0,5064743;-0,005047202;0,3064623;0,8473001;-0,2206782;-0,5616066;-0,6934359;-0,8834062;-0,3515891;0,8520031;-0,323445;-0,5289252;0,1462389;-0,5335917;-0,5586054;-0,882153;0,6984944;-0,925132;-0,1985596;0,09263074;0,02414477;0,7338092;0,6097507;-0,31187;-0,3177646;0,2465607;0,2174102;-0,523319;-0,2052091
3|TOP2|0,06945069|-0,005699754;-0,555115;-0,6534064;-0,7845638;0,0729152;-0,8644764;-0,8721039;0,7835691;-0,3214141;-0,930943;0,1340064;0,8790677;-0,8772337;0,8350756;-0,7522438;0,3576016;-0,03871095;-0,653476;-0,4936143;-0,877207;0,302787;-0,4141034;-0,3946387;-0,4098784;-0,3478843;0,7579706;0,4881415;0,6711147;0,008100152
4|TOP2|0,05809005|0,8469641;0,5223639;0,7283833;-0,4154776;0,216175;0,5987642;0,09537876;0,6059179;-0,7492471;-0,4608175;-0,4769031;0,4136483;-0,9690716;-0,6736825;-0,7230761;0,4758432;0,5698445;0,5998814;-0,1722218;0,3962409;-0,5663095;-0,02513707;-0,1650101;0,935926;0,1853338;-0,1117939;0,3234818;0,6109784;-0,6506202
5|TOP2|0,05559828|0,9284596;0,4939084;-0,1538023;0,00191915;0,5521653;0,5993586;-0,5051837;0,4000451;-0,2205247;0,8924632;0,2417778;-0,7965479;-0,5395174;-0,9588902;-0,444167;0,280724;-0,4079603;-0,4894246;0,2483243;0,8420019;-0,4780141;0,1231772;-0,2513207;0,8791425;-0,4520828;0,7490997;-0,6825328;-0,1944307;0,240853
6|TotallyRandom|0,0458213|0,9646111;0,5123308;0,491461;0,9856532;-0,4411956;0,5399697;-0,0009537935;0,6924624;-0,7681694;-0,4427289;0,1121274;0,6215653;-0,7880907;0,2368571;-0,6490057;-0,7603595;0,227439;-0,002730966;0,3926794;0,8186493;-0,2433544;-0,1006516;-0,349697;0,6983154;0,5922461;0,9037707;0,8793085;0,4244413;-0,4399437
