Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1019242
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1019242|-0,7307158;0,2768578;0,634258;0,8662534;-0,9808943;0,8035858;-0,5471988;0,03491223;-0,9526069;-0,2981287;-0,4005846;-0,2663506;0,4580939;-0,9498713;0,8081949;-0,2126652;0,05484831;-0,6300197;-0,2455412;0,5629518;0,2123724;-0,3318344;-0,127144;0,00325191;0,4191637;-0,07716429
1|TOP2|0,1018062|-0,2650861;-0,5238407;0,4334526;-0,7169833;0,5748701;-0,613457;-0,9255817;0,8356009;0,1087867;-0,8391168;0,9958715;-0,07368243;-0,8809235;-0,1786469;-0,4546617;-0,4932588;-0,7618456;-0,2380756;0,7496309;-0,8079784;-0,6808956;-0,1429242;-0,457935;0,04715168;-0,5796461;0,06194508
2|TOP2|0,1009243|-0,3073539;0,8699384;0,910677;0,3433594;0,7448008;-0,4568297;-0,5873284;0,5778906;-0,8840976;0,9916735;-0,5820069;0,08560812;-0,8540094;0,1462213;0,01758778;-0,8643494;-0,8908622;-0,7693515;0,4773447;0,1375738;0,05216992;-0,5840001;-0,8605986;-0,2014638;0,2989013;0,04355013
3|TOP2|0,1009024|0,9115956;-0,9593956;-0,8158686;0,4051554;-0,7614367;0,3739447;-0,2698005;0,7600689;-0,9770257;0,227939;0,7222967;-0,1348094;0,0761286;-0,5646546;-0,3027843;0,163551;0,2774372;0,2877836;0,482126;0,4475717;-0,2566749;-0,1950275;0,1792408;-0,1121112;-0,02560151;0,06709683
4|TOP2|0,09245091|-0,5194786;0,2669685;-0,7562118;-0,3821675;-0,4415227;0,4501106;0,7520075;0,02258193;0,525214;-0,7420266;0,01794636;0,2019883;-0,5469992;0,6037011;-0,3885659;-0,3941125;-0,9407737;0,2296885;-0,9945786;-0,2893871;-0,8556993;0,4589159;-0,8935974;0,4204642;-0,1063551;0,174086
5|TotallyRandom|0,08666115|0,03791296;-0,05925262;-0,5346932;-0,7209151;-0,2450815;0,7509458;-0,5774031;-0,1366125;-0,6637778;0,756294;0,8378584;-0,7344515;0,1912926;-0,5174584;0,2758269;0,9341056;0,5318179;-0,1016587;-0,1331714;-0,5385959;-0,5784819;0,6383948;-0,538847;-0,8147428;0,168959;-0,2091619
6|TOP2|0,06524926|-0,7501252;-0,05257523;-0,2782534;-0,943845;-0,9207282;-0,6163642;0,9540603;-0,5891185;-0,1871125;0,1876527;0,009083867;-0,2457169;0,3295974;0,438473;-0,2842034;-0,2723643;-0,1064814;0,09117401;-0,1561984;-0,1783968;-0,5053735;0,880111;0,1568536;0,1792537;0,731354;-0,7226193
7|TOP2|0,04681042|-0,6094296;0,494683;-0,6087496;-0,7366378;-0,7256956;0,5481532;0,9605839;-0,2624153;0,1375252;-0,8745356;-0,750267;0,9800868;-0,6172719;-0,4926172;-0,00373137;-0,9325664;-0,06337559;0,9130251;0,6572905;-0,1112717;-0,4450842;-0,817281;-0,8293943;-0,5667188;-0,1715449;-0,1896769
