Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,07701451
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,07701451|0,02379882;-0,9976001;-0,444218;0,6173737;0,9179387;-0,7753422;-0,6902096;0,08327901;-0,6357181;-0,00806725;0,3317003;0,8382032;0,1991264;0,3720286;0,2872612;-0,9220366;0,5343637;-0,8141007;-0,2743365;0,1665231;0,1590019;0,1349937;0,6005907;0,233687;0,5890265;0,7567401;0,5292487;-0,3894523;-0,4812726
1|TOP2|0,07565011|0,3524325;0,6490309;-0,9667234;-0,9908433;-0,7556536;-0,1746238;0,173005;0,1214222;0,9281974;0,2051758;-0,1749495;0,8428502;-0,5479147;-0,9774187;-0,5866845;0,04685152;-0,4126905;0,4440131;0,09229004;-0,5255125;0,999675;0,5354216;-0,6962171;-0,2659036;-0,7325764;-0,05779111;0,3255367;-0,1678628;0,7007592
2|TOP2|0,05917684|-0,5814629;-0,1176246;-0,01320922;-0,3119065;-0,8979907;0,008709788;0,2064232;0,4175601;-0,3820046;0,1427256;-0,2287205;0,47512;-0,07256019;0,1197668;-0,03076804;0,1313702;0,9974315;0,4457974;0,7607698;0,5426056;-0,5568509;-0,4261485;-0,2007705;0,04760182;0,9442167;-0,0196048;0,5771787;-0,8233604;-0,05043423
3|TOP2|0,04395644|0,7999427;-0,3368875;-0,2904211;0,2389625;0,04071987;-0,4322234;-0,5483885;0,2006196;-0,515301;-0,4334739;-0,2679459;-0,4516991;-0,3887209;0,9694185;-0,7975075;-0,6180716;0,7528913;-0,7933161;-0,9222;-0,8801844;-0,2899605;0,08036792;0,1745011;0,220142;-0,8233674;-0,6983194;0,1816076;0,942493;-0,03725779
4|TOP2|0,04394375|0,8600478;0,3305182;0,3374963;-0,2167143;-0,06832182;-0,331138;0,01927698;-0,2334863;-0,915745;0,4059879;-0,9068313;0,8859413;-0,216271;0,01933873;0,2214421;-0,3505083;-0,8150311;-0,01143634;0,8329012;-0,1984965;-0,7931299;-0,5032904;0,2261463;-0,8919516;-0,03134525;-0,3123523;-0,03386843;0,05169642;0,1544541
5|RandomParents|0,04388234|-0,4184467;0,1897303;0,2699516;0,8170214;-0,4172055;0,196633;0,07205045;0,6304929;0,1347643;0,7100534;-0,4534305;0,9765491;0,3946523;0,3126886;-0,6182597;0,6877351;-0,3443083;0,9309902;-0,3132905;-0,08076942;0,8627207;0,06665719;-0,8896246;0,88552;-0,3419358;-0,548712;0,05598557;0,326817;0,1998426
6|TotallyRandom|0,0433793|-0,8311181;-0,2511526;-0,970639;0,1046571;0,4721882;0,891202;0,9149914;0,6083796;-0,7141931;-0,04773748;-0,6806397;0,3958962;-0,7712326;-0,8614297;0,2984483;0,262582;0,4514367;-0,6997228;0,563107;0,8640788;-0,3711938;0,5468485;-0,486401;0,5437665;0,7964976;-0,6734812;0,08904326;-0,3473552;0,6757324
