Generation: 68 | maxFitness: 0,1620203 | maxFitnessGen: 0,1590621 | maxFitnessGenBuf: 0,1224124
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,758

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1224124|0,4642185;-1,588121;3,173866;1,544478;-1,700681;0,0471063;0,5698816;-1,921971;2,175106;0,7519546;0,5603988;0,9587287;-0,4447398;-0,9208215;-1,444507;1,74636;0,6378971;0,5129782;-0,6280965;-0,6920886;-0,4194155;0,328483;-0,3875906;-0,4130858;1,272511;-0,4474146
1|RandomParents|0,1224124|0,4394089;-1,516866;3,217665;1,536347;-1,650821;0,01756375;0,5698816;-1,822018;2,073411;0,8820435;0,5603988;0,9587287;-0,4447398;-0,9208215;-1,444507;1,773368;0,6150025;0,543396;-0,6280965;-0,7936456;-0,3069303;0,328483;-0,369866;-0,5152318;1,272511;-0,4474146
2|TOP2|0,1223226|0,4840003;-1,650085;3,20889;1,621489;-1,727834;0,1581731;0,6257327;-1,794422;1,976873;0,8715277;0,5645531;0,8509649;-0,4426503;-0,8198544;-1,423784;1,627327;0,5913984;0,4615885;-0,6280965;-0,6768678;-0,4479488;0,3367339;-0,369866;-0,4910352;1,372872;-0,4913004
3|TOP2|0,1221615|0,4394089;-1,516866;3,160609;1,668324;-1,669105;0,1063852;0,5698816;-1,799778;1,97889;0,7708848;0,5122769;0,9587287;-0,461841;-0,9208215;-1,51586;1,855933;0,5404801;0,4042552;-0,5018413;-0,7936456;-0,4062442;0,328483;-0,4390323;-0,5577731;1,272511;-0,4462643
4|TOP2|0,1212107|0,4916835;-1,615846;3,148837;1,478771;-1,746924;-0,0007994585;0,6827188;-1,822018;2,142768;0,8010837;0,420099;0,9567626;-0,3795168;-1,016503;-1,404732;1,66521;0,6221696;0,5468426;-0,7638104;-0,7936456;-0,3069303;0,3132855;-0,369866;-0,5152318;1,272511;-0,4224421
5|TOP2|0,121137|0,3128436;-1,381194;3,343682;1,554519;-1,710875;-0,03351858;0,429968;-1,822018;1,938465;1,00813;0,5936781;0,9587287;-0,3313936;-1,020804;-1,444507;1,713486;0,7511346;0,602021;-0,6280965;-0,8149887;-0,3069303;0,4369985;-0,3643167;-0,4450507;1,141204;-0,5221102
6|TotallyRandom|0,1208388|-0,6473715;0,9635329;0,3532135;0,5668173;0,3118779;-0,4273745;-0,2752258;-0,5150161;-0,1714958;-0,6248362;-0,1826383;0,2404763;0,804996;0,1543931;-0,6818969;0,146989;-0,3862075;-0,004383683;0,1570183;-0,3084134;-0,2774113;-0,8000097;-0,8619494;0,85638;0,4613328;-0,4169365
7|TOP2|0,1208088|0,5742518;-1,570127;3,104552;1,412086;-1,711553;0,06235703;0,5698816;-1,945156;2,154043;0,8781966;0,4713439;1,019509;-0,4525634;-0,9208215;-1,440444;1,887916;0,5654666;0,6702681;-0,5822792;-0,6767586;-0,3430821;0,328483;-0,4055882;-0,4004354;1,29599;-0,4474146
8|TOP2|0,1201283|0,4394089;-1,387911;3,286394;1,506017;-1,571996;0,01976994;0,6823449;-1,822018;2,066715;0,8411969;0,5603988;0,8682314;-0,5269847;-1,002666;-1,575748;1,783566;0,5450388;0,543396;-0,5183979;-0,7174006;-0,3069303;0,4029699;-0,5083479;-0,3960136;1,17345;-0,4908335
9|RandomParents|0,1199399|0,4185511;-1,243234;3,495261;1,736328;-1,572376;-0,003670327;0,3707656;-1,650287;1,729897;1,035664;0,352163;0,9681424;-0,4853252;-0,8505246;-1,479571;2,048556;0,2035322;0,2075748;-0,7545387;-0,9741333;-0,125875;0,4421573;-0,1897762;-0,3881138;0,8725588;-0,4021997
10|TOP2|0,1198809|0,4394089;-1,639222;3,217665;1,667685;-1,712322;0,001602832;0,5210795;-1,822018;2,073411;0,9066576;0,5603988;1,027091;-0,3157064;-1,020528;-1,557219;1,659638;0,6150025;0,4872773;-0,6629841;-0,8870668;-0,1633494;0,328483;-0,369866;-0,602837;1,272511;-0,4328794
11|TOP2|0,1197366|0,3772318;-1,368051;3,144495;1,550002;-1,713306;-0,007976513;0,5361314;-1,809397;2,170687;0,7617361;0,7098417;0,9972253;-0,4447398;-0,9208215;-1,444507;1,769397;0,6477885;0,543396;-0,5903648;-0,8533511;-0,365694;0,3185575;-0,4808831;-0,4727834;1,383449;-0,4523717
12|TOP2|0,1195102|0,4394089;-1,599188;3,328904;1,410754;-1,7167;0,01756375;0,6740226;-1,813375;2,218349;0,8581049;0,5603988;0,8657386;-0,5327184;-0,8069589;-1,386254;1,752742;0,7458842;0,5108065;-0,6471683;-0,8045589;-0,1858083;0,445484;-0,2413195;-0,5580177;1,272511;-0,5684128
13|TOP2|0,1180923|0,4394089;-1,516866;3,276249;1,685304;-1,650821;0,1590662;0,6861303;-1,71207;2,163993;0,8820435;0,7080474;0,8812062;-0,4057483;-0,7772901;-1,465504;1,625647;0,6638187;0,6122477;-0,5956527;-0,7936456;-0,2368448;0,3753325;-0,2499409;-0,4176343;1,272511;-0,4370844
14|TOP2|0,1179371|0,4051729;-1,600032;3,170301;1,470272;-1,650821;0,01756375;0,5698816;-1,822018;2,093526;0,8820435;0,5100743;0,8788077;-0,4447398;-0,8030543;-1,58576;1,773368;0,578731;0,6349631;-0,6280965;-0,7580619;-0,4117096;0,3011256;-0,2507988;-0,5152318;1,272511;-0,3411572
