Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,09939243
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,09939243|-0,006563306;-0,5170944;-0,9351296;0,3728599;-0,4386841;-0,228161;0,001793742;0,8123465;-0,2083179;-0,02750576;0,3780801;-0,9202387;-0,6579165;-0,4872559;0,5320539;0,1938242;-0,02138197;0,7247396;0,1645092;0,4282183;0,7508721;-0,5498142;-0,0690769;0,3853602;0,4936223;0,9749405;
1|TOP2|0,09356971|0,06737959;0,8225474;-0,8006113;-0,777292;0,8228118;-0,247835;0,1208695;0,4245507;-0,03741539;0,754694;0,7773829;-0,1538063;-0,7327027;-0,8547609;0,6630795;0,5438395;-0,2029945;-0,9887166;-0,6257422;0,6118221;0,1799625;0,6738346;0,1845573;0,5695477;-0,8011217;0,6668444;
2|RandomParents|0,09244491|-0,6602435;0,9724059;0,4462015;0,3745503;0,7066538;-0,8782487;-0,4866198;0,8346429;-0,8707941;0,9292574;-0,848639;-0,1572028;0,08563316;-0,6792958;0,8121204;-0,8721483;0,2153724;0,1248192;-0,3693491;-0,932375;0,2892911;-0,2481354;-0,5531178;-0,146258;-0,4111894;-0,5526001;
3|TOP2|0,0921073|-0,288968;0,9984589;0,5058019;0,8861563;-0,5235145;-0,215629;0,7085555;-0,6815186;0,8996575;-0,1785036;0,0682112;-0,291381;0,03673184;0,9110496;-0,3414217;-0,4686972;-0,0296694;0,723757;0,8787491;0,6935086;-0,5097027;-0,6292133;-0,1373738;-0,4748749;0,8190324;-0,1002625;
4|TotallyRandom|0,0916407|-0,4714435;0,7477605;-0,8638282;-0,3188437;0,3762054;-0,09867918;-0,8340852;0,9007633;-0,8305833;-0,02568686;-0,9700346;0,9919982;-0,07013142;0,6982014;0,6209605;-0,2893695;0,8402462;-0,08441532;0,8724139;0,5394506;-0,2659041;-0,8972421;0,4590022;0,2405344;0,2862258;0,8246949;
5|TOP2|0,08595292|0,283097;0,4694619;-0,5629635;0,00693047;0,7322273;0,3223333;0,9469028;0,06289589;-0,1112016;-0,08915699;-0,3389291;0,6239295;0,3155164;0,7645977;0,5473943;0,3723199;0,02932227;0,6523218;0,8139572;0,5316021;-0,1461619;-0,772526;-0,359234;0,8959718;-0,9554822;0,05374753;
6|TOP2|0,06737302|0,9310002;-0,8505187;0,7479625;-0,109517;-0,6145439;9,047985E-05;-0,6264079;-0,5438108;0,1356159;0,06474745;0,7976289;0,683645;0,3431;0,01324451;0,4699282;0,8195775;0,9729605;0,983707;0,9626989;-0,1841916;-0,6782877;-0,9769824;0,9047706;-0,9921134;0,551774;0,8333521;
7|TOP2|0,04418127|0,8339334;0,6293364;-0,1089882;0,2967906;-0,1018833;-0,66079;0,7076683;0,8891358;0,6357884;0,7856028;0,2799647;-0,2121137;-0,9281437;0,08172619;0,04423654;-0,3593556;-0,999578;-0,2170874;-0,008817792;0,6383207;-0,845367;0,5345676;-0,05736434;-0,4494218;-0,4837679;-0,5541303;
