Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1661787
N TotallyRandom: 2 | N RandomParents: 0 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1661787|-0,5315177;-0,5554807;-0,6569247;0,03270161;-0,0737282;-0,5395021;0,4352474;0,6288497;-0,6081815;-0,3147243;0,7358732;-0,05551612;0,5337243;-0,4316083;0,3684539;-0,9151843;-0,09992802;-0,7416983;-0,761322;0,7762787;-0,07189524;0,8543177;0,222479;0,7058861;0,1888462;-0,3349627
1|TotallyRandom|0,164851|0,397218;0,5542061;-0,3056468;0,9882579;0,418571;0,6085188;0,07342756;0,03249991;0,2948749;0,8987463;0,5474529;-0,8572366;-0,9842787;0,3526649;0,3133976;0,2548654;0,1552998;-0,8530478;0,2660551;-0,3856355;-0,8374214;-0,63362;0,3227703;0,9905386;0,7401683;-0,9813902
2|TOP2|0,1527787|-0,6775997;0,348377;0,2947149;0,3321416;-0,5648699;0,575526;0,6743848;0,2938542;-0,9905975;-0,5341213;-0,0494808;-0,3685681;0,2273976;0,3877313;-0,5253332;-0,6692753;0,3050871;-0,1579477;0,940203;0,3057029;-0,2862974;0,9201922;0,1113564;0,1950315;0,6662383;-0,7559936
3|TOP2|0,1401961|-0,8297138;-0,5196996;-0,1563457;-0,7355118;0,6788123;0,6111362;-0,07750022;0,8794646;0,5634062;-0,5273426;0,9066806;-0,6435349;0,4952802;-0,3132428;-0,4407262;0,5261934;0,6213977;-0,4084438;0,1095682;0,8752248;0,4828381;0,5593266;0,1384562;0,5866654;-0,4536918;0,8832099
4|TOP2|0,1299265|0,6506824;-0,8250289;0,01393569;0,764941;0,2377607;0,199596;0,4163396;0,5029178;0,6589656;-0,09456265;0,2112492;0,989959;0,3814625;0,166164;-0,5463548;-0,5555291;0,09345973;-0,7016451;0,5642064;0,4979734;0,08120668;-0,8707356;-0,6831236;-0,3982111;-0,2608601;0,1311251
5|TOP2|0,07444204|-0,1115142;0,168533;-0,4400655;-0,2786008;0,6600921;0,1238037;0,7892489;-0,6854649;-0,7156403;-0,9789171;-0,07442343;0,8457024;0,3902361;-0,8578596;-0,2688934;-0,4719764;-0,4027642;0,3141133;-0,2962812;-0,232149;-0,7865822;-0,4828073;-0,1271178;0,9948318;-0,7514777;0,618928
6|TOP2|0,06565675|0,6187079;-0,6130912;-0,6601634;0,6603789;-0,3165284;-0,5269089;0,1305109;0,05947459;0,725395;0,8442507;0,2355589;0,2591653;-0,8094199;0,8035395;-0,6318152;0,6201923;-0,1287163;0,9904068;0,4613869;0,5237684;-0,1319829;-0,7795079;0,03290427;-0,2932421;0,1748828;-0,2030424
7|TOP2|0,06464369|0,3756902;0,2362376;-0,3861967;0,3579428;0,4376414;-0,5116758;0,5934489;-0,5520418;-0,9934011;-0,3035475;-0,3368772;-0,2733434;-0,4558183;-0,9443707;0,2817011;-0,5720026;-0,775331;0,8911135;-0,7595272;-0,1835142;-0,3407997;0,009099603;-0,5806341;0,2020239;-0,4059595;0,3425646
8|TOP2|0,05964525|0,9156086;0,7959435;0,3144235;-0,7730851;-0,5073097;0,2869205;0,5368295;-0,9078486;-0,2761282;0,4696073;0,1333386;-0,3721825;-0,736815;-0,9192338;-0,253462;0,8729639;-0,8976462;0,2024862;-0,5939808;0,3397469;-0,1301509;-0,7510288;-0,2157789;-0,9313827;-0,6179996;0,3297646
9|TOP2|0,0584744|0,3806634;0,7171001;0,1433498;-0,6824365;-0,2428097;0,5054853;0,7207456;0,09586728;-0,1842865;-0,567749;0,3295846;0,6722085;0,7884576;0,7723644;0,1612676;0,2755699;0,3690355;-0,9882841;0,2646103;0,4528904;-0,3477434;-0,3360699;-0,7587326;-0,9274769;0,4395666;-0,2712835
10|TOP2|0,05820341|-0,3893934;0,1113905;-0,6955249;0,7367342;-0,6442001;0,7300456;0,02220404;-0,09498084;-0,5716238;0,9373841;-0,9614401;-0,8133934;-0,9331083;-0,04002512;0,1256813;-0,8149972;-0,6124816;0,06323349;-0,9633765;-0,5777636;0,3226473;-0,6862173;-0,3539122;-0,8343003;-0,3965613;0,4685943
11|TOP2|0,05568976|-0,9652102;0,4321832;0,3597123;0,5027652;-0,8730183;-0,925343;0,1172451;0,5074785;-0,5404012;-0,9937754;0,6229057;-0,3299962;0,216323;-0,05865943;0,2519433;-0,7917993;-0,6517112;0,7391286;-0,643333;0,2238973;0,7577002;-0,1078154;-0,1994356;0,9983039;0,1529907;0,1353341
12|TOP2|0,055132|-0,1731025;0,7364788;-0,6105912;-0,4092904;-0,9332628;0,7836988;0,2860639;0,2391573;0,2929907;-0,6930695;0,2518236;-0,4238971;0,2070526;0,3528835;0,7925198;0,9932053;-0,7607296;-0,8446696;-0,9820089;-0,1994783;0,4486234;0,1119095;-0,199309;-0,1049315;0,2639222;0,26937
13|TOP2|0,05478078|-0,8896563;0,1030148;-0,7394288;0,5796151;0,23445;-0,3758432;0,290296;0,07187355;-0,07734501;0,8004196;0,631609;0,9773023;-0,3512272;0,8501546;-0,2156285;0,5410216;-0,7804935;-0,6761236;-0,9275048;-0,5055437;-0,2400957;0,8629839;-0,8915591;-0,5187209;0,05881512;0,3756613
14|TOP2|0,05158434|-0,6741233;0,05831826;0,2735986;-0,1531245;-0,46971;-0,02358425;0,2314316;0,3472457;0,2152358;-0,5755408;0,1867656;-0,9429238;0,2484249;-0,4291946;-0,7562914;-0,3039337;0,3576719;-0,3850361;0,214743;0,08860266;-0,9027836;-0,01184428;0,8344104;-0,02259672;-0,867732;0,3497779
15|TOP2|0,04965319|-0,8020663;-0,04613125;0,7503614;-0,8091745;0,6068695;0,8200042;0,5003667;0,9385717;-0,5603797;0,8578076;0,9327135;-0,04861152;-0,3466178;-0,1833185;0,3366341;-0,2990178;0,3137591;-0,3393193;0,530067;0,6301534;-0,3169285;-0,7816272;0,6120968;-0,6301281;-0,8023212;0,07703269
16|TOP2|0,04872517|-0,296189;0,7927802;0,9607246;0,2135009;0,9086266;-0,5363271;0,8263388;-0,2831031;-0,1323839;-0,7520788;-0,7068191;0,1477789;0,9431763;-0,9186034;0,7058461;0,6583993;-0,2275687;0,6789615;-0,9172993;0,5264843;0,4255063;0,3964433;-0,8030381;0,5789888;-0,03629816;0,7020736
17|TOP2|0,0485582|0,1611353;0,1635813;0,5627494;0,475739;0,7290821;0,2317535;-0,1021324;0,4496803;0,4235685;-0,7209752;-0,7312222;-0,6979122;-0,499972;-0,07845867;-0,4436103;0,4480641;0,2564494;-0,7405951;-0,2169157;-0,3885714;-0,8471606;-0,6290741;-0,218805;-0,5989654;0,5789616;0,6559653
18|TOP2|0,0451318|-0,5601192;-0,5765979;-0,7945962;0,04007137;-0,9211051;0,6224084;-0,8011329;-0,5051608;-0,1282717;-0,7794304;0,9676204;0,663655;0,08745325;0,929075;0,3654649;0,07172453;-0,4754604;-0,9514942;0,8581944;0,2363194;-0,3165449;-0,6026616;0,3601861;-0,9653091;0,7751751;-0,8120346
19|TOP2|0,04334255|-0,6306989;-0,2847728;-0,825073;-0,06749189;-0,5389678;-0,2626413;0,09284794;0,5249453;-0,6605387;-0,3167659;0,3427555;-0,07097328;-0,7352321;-0,1595348;-0,3564099;-0,3681761;0,1354398;-0,2091824;-0,595319;-0,5288646;0,4232635;0,2272624;-0,8858223;0,2146262;0,8192527;0,4677326
20|TOP2|0,04246492|-0,3008939;0,08455455;-0,4241213;-0,478196;0,3382413;0,9276514;0,5287178;-0,9220767;0,6373096;0,2581298;0,2581627;0,2591281;0,8823986;-0,3918399;-0,02442873;0,5872965;-0,7972994;0,04334438;-0,4538528;-0,2152182;0,5334165;0,09211481;0,8293943;-0,9545245;0,7031074;0,3005655
21|TOP2|0,04052909|-0,3070031;-0,2755409;-0,8170712;0,8225706;-0,08749139;0,3888676;-0,8047557;0,02812397;-0,4995626;-0,1628498;0,112543;-0,3366495;-0,7854209;0,9572902;-0,7107904;0,8823562;-0,4523247;0,6925881;-0,512898;-0,8631594;-0,5381136;-0,5901475;-0,1009322;-0,1900812;-0,1113731;-0,7077992
22|TOP2|0,04051149|-0,5065928;0,3885917;-0,3025786;-0,2758175;0,04168236;0,5518816;-0,1719862;-0,5676055;-0,3315028;0,388046;-0,4295324;-0,01648104;-0,2551531;0,04183853;-0,1750077;-0,6249506;0,8795371;-0,6683967;0,4616592;0,8671784;0,8553152;0,533942;-0,7493684;0,5907741;0,01144707;-0,7325287
23|TOP2|0,04036827|0,3369693;0,5010138;-0,2293464;-0,2919666;-0,825644;0,8043189;0,558857;0,3221996;0,6970608;0,3343265;0,8263252;0,8952227;0,228223;-0,8516688;0,6401837;-0,3011888;0,9330285;0,8261664;-0,4150726;-0,2396404;0,7952247;0,0952729;-0,3419942;-0,4523586;0,9594209;0,7951035
24|TOP2|0,0401556|-0,9335778;-0,3880934;0,470823;0,4719915;-0,4535874;0,299864;-0,761802;0,3793759;-0,7034111;-0,2067076;-0,4899601;0,7433145;-0,9109926;0,8027515;-0,5594664;0,3149538;0,1346477;-0,4601606;0,7189126;0,5503924;0,3170879;-0,4159058;0,8455415;0,7883694;0,8542438;0,0658704
25|TOP2|0,03993234|-0,1848608;-0,356336;0,9225163;-0,991956;0,3078086;-0,8553228;-0,4518503;0,9126208;0,3968508;0,3362872;-0,2444891;-0,7534568;0,2637951;0,549495;0,2549152;0,9272068;-0,8880491;0,2673409;0,3299551;-0,7460911;0,2710216;-0,3840169;-0,4826542;-0,5193539;-0,6727564;-0,548727
26|TOP2|0,03981562|0,004717469;-0,4882947;0,1526753;-0,09858763;0,3761089;-0,7649505;-0,7344823;-0,05560982;0,9850967;-0,5206022;0,08005106;0,2921698;-0,2138406;-0,3563708;0,02930343;-0,01141226;-0,3744859;0,155948;0,1136531;-0,7635002;-0,9413631;-0,06593168;-0,6587944;0,4743039;-0,9471245;-0,2961105
