Generation: 280 | maxFitness: 0,2273502 | maxFitnessGen: 0,1278113 | maxFitnessGenBuf: 0,1286957
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,1

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1286957|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,7909695;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
1|TOP2|0,1286957|0,4746751;-1,56289;3,26518;1,834853;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,09292675;-0,5152318;1,272511;-0,4474146
2|TOP2|0,1286957|0,4746751;-1,56289;3,26518;1,81847;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,1965518;-0,5152318;1,272511;-0,4474146
3|RandomParents|0,1286956|0,4746751;-1,56289;3,23814;1,713615;-1,733051;0,1687774;0,566829;-1,822018;2,169708;0,8820435;0,8210299;0,8170542;-0,4447398;-0,8259493;-1,304037;1,773368;0,5180947;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
4|RandomParents|0,1286956|0,4746751;-1,56289;3,126277;1,713615;-1,733051;0,05972679;0,566829;-1,897381;2,169708;0,8820435;0,7136593;0,8170542;-0,4447398;-0,8259493;-1,420994;1,773368;0,5180947;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,6615149;1,272511;-0,4474146
5|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,785088;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
6|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;-0,05215921;0,566829;-1,949817;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,6014713;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
7|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
8|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4448233;0,328483;-0,201321;-0,5455304;1,272511;-0,4474146
9|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,597739;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
10|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
11|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,593509;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,08874905;-0,5152318;1,272511;-0,4474146
12|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,760997;0,6262707;0,6495145;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,172666;-0,5152318;1,272511;-0,4474146
13|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,6497505;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
14|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,6675538;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,6500794;1,272511;-0,4474146
15|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,5473474;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
16|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,658243;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,68822;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
17|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,646634;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
18|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,5147953;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
19|TOP2|0,1286956|0,4746751;-1,562844;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,3105886;-0,8259493;-1,555905;1,721961;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
20|TOP2|0,1286956|0,4746751;-1,545056;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,8317347;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
21|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,822018;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,7245536;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,8158005;-0,4349296;0,328483;-0,201321;-0,5020638;1,272511;-0,4474146
22|TOP2|0,1286956|0,4746751;-1,695713;3,26518;1,713615;-1,733051;0,05972679;0,566829;-1,914194;2,169708;0,8820435;0,7150506;0,8170542;-0,4447398;-0,926108;-1,420994;1,835948;0,6262707;0,543396;-0,5957639;-0,7274327;-0,4349296;0,328483;-0,201321;-0,5152318;1,272511;-0,4474146
23|TOP2|0,1286956|0,4746751;-1,56289;3,26518;1,713615;-1,733051;0,07244188;0,566829;-1,822018;2,169708;0,8820435;0,7604473;0,8170542;-0,37276;-0,8259493;-1,420994;1,835948;0,6262707;0,543396;-0,5536619;-0,8158005;-0,4349296;0,328483;-0,125653;-0,5152318;1,272511;-0,4474146
