Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,09435767
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,09435767|0,4551577;-0,9910867;-0,1898242;0,3211901;-0,171724;-0,6074853;0,7799344;0,6178265;-0,9255803;-0,4516553;0,3326206;0,9931619;0,8184779;-0,8032453;-0,7266729;-0,1016258;-0,6647604;-0,7297935;-0,8175414;-0,3169762;0,2762129;-0,8927968;0,02113068;-0,8231742;0,01727521;0,1592804;0,8412054;-0,2758383;0,1326708
1|TOP2|0,08600394|-0,1825768;-0,4767205;0,7015147;-0,585171;-0,3175939;-0,9764912;-0,5292869;-0,07795703;-0,192865;0,57672;-0,3015059;-0,005603671;0,7665975;0,2560403;-0,3945085;-0,1945883;0,05637634;-0,2084917;-0,502321;0,2239541;0,9030755;-0,9485807;-0,8575871;0,6795676;-0,007278323;-0,3973342;-0,8404429;0,7266626;-0,4199528
2|TOP2|0,08152975|-0,6976871;0,4846821;-0,1322271;0,6067021;0,8449247;0,7378352;-0,6384985;0,8755348;-0,9825523;-0,3817476;0,495125;0,8442078;-0,3478357;0,4033215;0,6824591;0,3861577;-0,1429502;-0,06585181;-0,7140625;0,693558;0,8209283;-0,2994429;0,9544137;-0,9598651;-0,126808;0,7894311;-0,7856679;-0,7490427;0,9603722
3|TOP2|0,07017114|-0,924248;0,6250355;-0,2853504;0,9551094;0,9510815;0,2691004;-0,3147947;0,3475775;0,05328691;-0,07296503;-0,5800259;0,7409329;0,4808495;-0,07567775;-0,2332278;0,2128762;0,08430016;-0,9937434;-0,8214407;-0,2609848;0,5337656;0,6108496;-0,8710902;0,3326246;-0,2929844;-0,6101289;0,3272922;0,4769516;0,2644045
4|TOP2|0,04736177|-0,8784328;0,4952223;0,6900015;0,1215852;-0,5057814;0,7183471;-0,5166471;-0,3821243;0,1528672;-0,637697;0,2843783;-0,0433532;0,08827841;-0,6055257;-0,2533973;0,8178542;-0,1206781;-0,602073;0,007170081;0,1505531;0,09986579;0,5640857;0,8312709;0,4781892;0,4854598;-0,2677778;0,3736875;0,9614427;-0,4532367
5|RandomParents|0,04688731|-0,221604;0,728502;0,8017895;0,1158947;0,9672725;0,4396136;0,2851834;-0,7460263;-0,1247014;0,5850809;-0,8787022;0,6076033;-0,3905326;-0,298756;-0,5715735;-0,7389789;0,0181855;-0,08056533;0,2646084;0,4751579;-0,6520259;-0,1676646;-0,5173178;0,04259717;-0,7020748;0,3488996;0,694123;-0,2022065;-0,1059068
6|TOP2|0,04049611|0,01210201;-0,9655335;0,1654025;0,1748215;0,2688451;0,7678413;0,6015615;0,1744961;-0,9983647;-0,6238749;-0,5840089;0,6158698;0,03794444;0,6147788;-0,212525;-0,5080347;-0,876688;0,9342616;-0,05980599;-0,09677041;-0,6066294;-0,05206978;-0,7390769;-0,2987369;0,1214184;0,5062454;-0,2265431;-0,4474908;-0,1508685
