Generation: 1292 | maxFitness: 0,2442866 | maxFitnessGen: 0,1358393 | maxFitnessGenBuf: 0,1540374
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 30 | Min Mutation: 0,727

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1540374|0,8520675;-1,886034;-6,255032;0,2928709;1,641056;-1,15934;1,683352;-3,325227;-2,372662;1,855008;0,4421251;0,1317587;-3,035842;0,5165116;3,388362;0,5763773;2,472814;2,071672;-0,7607289;3,154454;-3,30323;0,3074732;-0,4392282;-1,811042;-2,702385;0,05973727;-2,394526;-0,6598259;-0,02722624
1|TOP2|0,1411476|0,3969495;-1,726529;-6,13483;0,152651;1,283888;-1,43962;1,614326;-3,475019;-2,553745;1,981588;0,4421251;0,2170766;-2,911932;0,7899792;3,326315;0,5763773;2,595254;2,071672;-0,406326;2,724552;-3,001492;0,1816595;-1,072793;-1,858633;-2,636876;0,1796986;-1,732023;-1,143412;-0,02722624
2|TOP2|0,1385521|0,3296466;-1,925249;-6,403202;0,5330497;1,537897;-1,078467;2,413451;-3,445566;-2,526062;2,082162;0,9184935;0,4527137;-3,104363;0,967795;3,031092;0,5763773;2,472814;2,441448;-0,7662753;3,620084;-2,990443;0,1816595;-0,799561;-2,275631;-2,502843;-0,1510125;-2,708959;-0,633665;-0,02722624
3|TOP2|0,1316259|0,6932561;-1,750188;-6,464486;0,2928709;1,283888;-1,078467;2,453823;-3,390402;-2,744797;2,15113;0,8969303;0,425942;-3,160458;0,5594478;3,50183;0,5763773;2,522908;1,640966;-0,2786682;3,298085;-2,957895;0,1816595;-1,015426;-1,79182;-2,529196;-0,192807;-1,847762;-0,7041647;-0,02722624
4|RandomParents|0,1081826|0,4114162;-2,102743;-5,554766;0,5468881;1,10788;-1,200987;1,358687;-2,991969;-2,571593;1,920358;0,1442938;-0,1476455;-3,492081;0,360419;2,534716;0,4485973;2,079053;2,54424;-0,08280432;3,827336;-3,282149;0,1149303;-0,8722981;-1,95525;-2,585816;0,6322201;-2,675404;-0,5418627;0,03591625
5|TOP2|0,0997718|0,6099957;-2,147719;-5,647418;0,7263112;1,739956;-1,078467;1,762697;-3,542101;-2,184329;2,15113;0,202517;0,4542108;-3,646717;0,5089191;3,189337;0,159269;2,472814;2,071672;-0,01047903;2,724161;-3,509447;0,5619113;-0,799561;-1,673758;-3,065402;0,2100232;-2,216898;-0,6598259;-0,02722624
6|TOP2|0,09888821|0,9502392;-2,147719;-6,13483;-0,1662742;1,246832;-0,8251889;1,865951;-3,475019;-2,966792;1,768414;0,8007047;0,077289;-3,160458;0,5594478;3,031092;0,345525;2,515639;2,141138;-0,406326;3,504907;-3,167949;0,1816595;-0,799561;-2,177564;-2,223307;-0,04000604;-2,216898;-0,5300695;-0,02722624
