Generation: 11 | maxFitness: 0,1273262 | maxFitnessGen: 0,1273262 | maxFitnessGenBuf: 0,1291513
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,1291513|1,034427;-0,2116981;-2,456769;0,7824183;-1,489298;-0,6684301;0,637054;0,9073335;-0,5599018;0,7991096;1,651897;1,00279;0,6096243;-1,594773;2,274393;-1,752138;1,913764;2,697601;-0,7687362;-1,212556;0,6122551;-2,057802;-0,5153039;0,7029682;0,833501;1,209292;-0,9523698;-1,317004;0,6731048
1|TOP2|0,1253661|1,034427;-0,4239108;-1,816941;1,223678;-1,489298;-0,6684301;0,9527996;0,06641901;-1,41863;0,7991096;0,9538605;1,00279;0,6096243;-1,316164;2,274393;-1,036564;2,611651;2,196797;-0,7035906;-0,7024213;0,6122551;-2,194658;0,2829117;0,7029682;0,727515;0,7248728;-0,9523698;-0,8235366;0,6731048
2|TotallyRandom|0,117934|-0,1535398;-0,3970536;0,1626886;-0,6429021;-0,5697577;0,1319245;0,1422604;0,2010006;-0,1139029;-0,1860403;-0,5848281;0,934541;-0,3449618;0,1711982;0,4610903;0,7924848;-0,1421751;0,1945902;0,3796999;-0,6911666;-0,4056464;0,09213483;-0,04130876;-0,3906957;0,6065714;0,6790226;0,1899925;-0,1654307;-0,03077567
3|TOP2|0,1169305|1,034427;-0,2116981;-2,456769;1,780069;-1,489298;-0,6684301;0,637054;0,3333014;-0,5599018;0,7991096;2,630363;0,2631443;0,9982814;-0,9861741;1,585526;-1,752138;2,131818;2,714058;-1,71133;-1,212556;0,6122551;-1,901117;-1,271826;0,9114503;0,7635317;1,412559;-1,915875;-0,522337;0,06323034
4|TOP2|0,1026929|1,034427;-0,2116981;-2,264662;1,610457;-1,702618;-0,6684301;0,637054;1,464245;-0,5419034;0,7991096;1,651897;1,208678;0,3728586;-1,594773;2,528535;-1,752138;1,913764;2,637223;-1,341348;-1,327533;0,07374501;-2,348159;-0,07644829;0,7029682;1,159266;1,209292;-1,057462;-1,317004;1,079975
5|TOP2|0,09861936|0,7498736;-0,2116981;-2,456769;0,7824183;-2,038704;-1,379627;0,637054;1,645218;0,1720559;1,315333;1,651897;1,00279;-0,04826814;-1,594773;1,490937;-1,752138;2,533626;1,700943;-0,7500173;-1,212556;0,6122551;-2,057802;-0,41123;1,022554;0,7767882;0,2536136;-0,9523698;-0,6961558;0,3580851
6|TOP2|0,09826137|1,034427;-0,1545469;-2,016939;1,014523;-1,772012;-0,6684301;1,332366;0,9073335;-0,5599018;0,7991096;1,651897;1,00279;0,3326498;-1,594773;3,258122;-2,047515;1,913764;2,813217;-0,7687362;-1,212556;0,3482782;-2,677962;-0,5153039;0,7029682;0,833501;1,883792;-1,688361;-0,4918616;0,1797728
7|TOP2|0,09687339|1,034427;-0,2116981;-2,456769;0,7824183;-1,489298;-1,617615;0,5011114;1,665707;-1,24092;0,7991096;1,10734;1,04863;0,9254178;-0,8359654;1,388233;-2,588436;2,760739;2,729585;-0,7687362;-2,182365;0,6122551;-2,057802;-1,372396;0,7029682;1,070647;1,461761;-0,9523698;-1,569871;0,6731048
