Generation: 1000 | maxFitness: 0,2442866 | maxFitnessGen: 0,1483498 | maxFitnessGenBuf: 0,1358465
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 30 | Min Mutation: 0,727

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1358465|0,684062;-2,102743;-5,132775;0,08798018;0,839206;-1,065451;1,11537;-2,767502;-2,72647;1,920358;0,1442938;-0,1476455;-3,425086;0,7485888;2,534716;0,4485973;2,630877;2,959654;-0,3332939;3,756652;-3,276111;0,1149303;-0,4923238;-2,572887;-2,534176;0,25573;-2,675404;-0,5418627;-0,04262318
1|RandomParents|0,1304026|0,4114162;-1,818275;-5,554766;0,6666198;1,10788;-1,083329;1,358687;-2,991969;-2,60832;2,011041;0,1442938;-0,1476455;-3,26646;0,3411644;2,943602;0,6978676;2,322371;2,54424;0,3734967;3,525044;-3,630394;-0,5543113;-0,6613933;-1,95525;-2,585816;0,7238102;-3,112408;-0,1987686;0,03591625
2|TOP2|0,1304026|1,1227;-1,98451;-5,500717;0,2484816;0,6370505;-1,200987;1,11537;-2,767502;-3,119287;1,920358;-0,08100407;-0,1476455;-3,537477;0,590575;2,184886;0,9388752;2,394021;2,211462;0,01955318;3,827336;-3,282149;-0,1847042;-0,9372296;-2,296328;-2,469469;0,7143298;-2,675404;-0,5874131;0,03591625
3|TOP2|0,1304026|0,684062;-2,102743;-5,339888;0,2484816;1,10788;-1,028913;1,11537;-3,08707;-2,820036;2,31262;0,5766116;0,1161653;-4,289251;0,7485888;2,598109;0,5248705;2,559879;2,916983;-0,8042157;3,457137;-3,282149;-0,1892276;-0,4923238;-2,488535;-2,058964;0,7143298;-2,675404;-0,5418627;0,03591625
4|RandomParents|0,1188574|0,7367185;-2,085652;-5,661705;0,9135058;1,10788;-1,122111;1,404366;-3,278735;-2,996699;1,757505;0,3668262;-0,02452835;-3,162945;0,1178878;2,993327;0,2602283;2,030586;2,244001;-0,0565139;3,827336;-2,812551;0,2488809;-0,9831395;-1,95525;-2,485334;0,6322201;-1,953941;-0,5418627;-0,2127341
5|TOP2|0,1172963|0,7670969;-2,102743;-5,166205;0,2484816;1,10788;-1,200987;1,11537;-2,767502;-2,929252;1,450072;0,2225523;-0,5734637;-3,906263;0,7810848;2,534716;0,4485973;2,087345;2,719624;-0,5286848;3,827336;-3,282149;0,1149303;-0,9708971;-2,148645;-2,110124;0,7143298;-2,675404;-0,5418627;0,03591625
6|TOP2|0,1172963|0,684062;-2,269264;-5,535159;0,2484816;1,205631;-1,639612;1,11537;-2,767502;-2,98525;1,775132;0,5758601;-0,1476455;-3,906263;0,7485888;2,534716;0,4485973;2,158305;2,54424;-0,3332939;3,827336;-3,282149;0,1149303;-0,4923238;-2,451706;-2,407531;0,7143298;-2,754815;-0,08315611;0,03591625
