Generation: 1392 | maxFitness: 0,2442866 | maxFitnessGen: 0,1488005 | maxFitnessGenBuf: 0,1165651
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 30 | Min Mutation: 0,727

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1165651|-1,416605;-0,4134126;0,2162268;-0,9218095;0,1614579;0,5539547;-0,3719764;-0,01829254;0,8894414;0,1821812;1,248685;-1,064648;-0,2140028;0,28286;0,7935958;-1,087571;0,3616966;0,6881555;-0,01563981;0,7229772;-1,045737;0,7903742;-0,5897388;-0,07528057;-0,1260808;-0,5709057;0,4506512;0,4562867;0,4067829
1|RandomParents|0,1046859|0,4114162;-2,102743;-5,554766;0,5468881;1,10788;-1,200987;1,358687;-2,991969;-2,571593;1,920358;0,1442938;-0,1476455;-3,492081;0,360419;2,534716;0,4485973;2,079053;2,54424;-0,08280432;3,827336;-3,282149;0,1149303;-0,8722981;-1,95525;-2,585816;0,6322201;-2,675404;-0,5418627;0,03591625
2|TotallyRandom|0,1004783|0,0164088;0,6039922;-0,2920271;0,1905504;0,05765712;0,4668355;0,9943702;0,01398742;0,1410879;0,3222663;-0,03212798;0,8677254;-0,4537379;-0,1739231;0,08509552;0,7254586;-0,1329447;0,357605;0,3487866;0,2960715;0,06192362;-0,4496723;-0,8995938;0,9013531;-0,8241377;-0,2767352;0,9795303;0,6544201;-0,4381572
3|TOP2|0,09879278|-1,538865;0,04036328;0,02020481;-0,8915307;0,1614579;0,6864498;-0,1304782;-0,3511062;1,355768;-0,2164288;1,127553;-1,231708;0,243602;0,5845643;0,3181901;-0,7505076;0,273735;0,4786902;0,3385812;0,4459399;-0,7933994;0,5902706;-0,5897388;0,2150525;0,06688586;-0,4369716;0,0457792;0,1072238;0,3285678
4|TOP2|0,08108757|-1,790394;0,04036328;0,3783726;-1,134043;-0,1222959;0,2873083;-0,2770461;0,4245362;1,066318;0,3059166;1,336593;-1,398937;0,2105487;0,04586111;0,7547011;-0,3029643;0,101237;0,3090243;0,4861123;0,3260642;-0,4073479;0,5370531;-0,5709137;-0,07528057;0,4947852;-0,5596979;0,331827;0,979543;0,2268212
5|TOP2|0,07424319|-1,586302;-0,04127035;-0,3444228;-0,70382;0,1614579;0,4571702;-0,2926126;0,02994627;1,003973;0,1517208;0,8422195;-1,398937;0,5081609;0,5725345;0,3181901;-1,042007;0,2323878;0,3199883;0,1475369;0,4459399;-0,9314942;0,506793;-0,3462526;-0,07528057;0,06688586;-0,5237359;-0,1174423;0,4883779;0,4067829
6|TOP2|0,07351956|-1,714227;-0,07163796;-0,08968797;-0,70382;0,2639409;0,2918387;-0,1563035;0,3160865;0,8894414;0,3445098;1,073244;-1,792544;0,09317148;0,2371959;0,1643414;-0,6085415;0,05425496;-0,004936367;-0,1217683;0,6925455;-0,5021079;0,6117597;-0,5897388;0,3338983;-0,0939925;-0,7379797;0,331827;0,6179956;0,4067829
