Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,08448106
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,08448106|0,6285686;0,186648;-0,4041909;0,8238337;-0,5457582;-0,06226838;0,4050116;0,9298351;0,3345399;0,9549496;-0,2608846;0,8199544;-0,251315;0,04645646;0,8778603;-0,006403327;-0,8318548;0,8177423;-0,1724318;-0,4943007;0,6122551;-0,7585678;-0,1519674;-0,1563207;-0,09595764;0,7583418;-0,2045127;-0,472494;0,09255683
1|TotallyRandom|0,08229481|0,5797639;-0,6365757;0,9641676;-0,5054488;0,4262366;-0,09868801;-0,215072;0,736799;0,4690559;0,8155313;-0,7591009;-0,3293222;0,6006138;-0,8311455;0,4267606;0,9674177;0,3151018;0,8315899;0,7636523;0,7399974;-0,4459075;-0,3623954;0,8873556;0,6870484;0,7304513;-0,3608116;-0,5066283;0,8173237;-0,1380118
2|TOP2|0,08070253|-0,8361189;0,974288;0,5827279;-0,05535281;0,5917234;-0,5561142;-0,02385867;-0,5577765;0,59202;-0,1192998;0,863081;0,4069767;0,4790809;-0,04880202;-0,5330014;0,4504687;0,7479353;0,9674973;-0,3330115;-0,8864641;-0,5646424;0,7888246;0,6809914;-0,04938161;0,6420739;0,2468935;-0,6159365;0,7019629;0,3232944
3|TotallyRandom|0,07761183|-0,9078305;-0,2925531;0,8892252;-0,7523088;0,5049591;-0,9320893;0,8213749;0,9162247;-0,69258;0,9142034;0,8449624;-0,6235445;0,6735811;0,9478416;-0,7316608;-0,7650337;0,008713365;-0,0932337;-0,7924049;-0,1157564;0,1886822;-0,9619319;-0,2144259;0,07592666;-0,5034649;0,5880499;0,5771959;0,6941159;0,1670254
4|TOP2|0,07699813|-0,3090829;-0,2619056;0,8109021;-0,8883567;0,4762666;-0,2344154;-0,5130057;0,1057483;-0,4100314;0,6071362;-0,283373;-0,8014014;-0,4413415;0,01687706;-0,6764569;-0,1032759;0,8681622;0,3278732;-0,210301;0,09762061;0,8734202;-0,2727035;0,7795856;-0,2260662;0,4548566;-0,1449679;-0,6803734;-0,5463014;0,2719121
5|TOP2|0,06505154|-0,844804;0,7415144;0,822978;0,5305438;0,7375937;0,3413434;-0,8988087;-0,8040035;-0,4183675;0,5617156;-0,07648289;-0,6689966;0,6361167;0,6148162;-0,2172099;-0,6064885;0,9547324;0,5734794;0,06941998;0,2717676;-0,7806435;-0,4162031;0,8922436;0,03976929;-0,5903454;-0,8425927;0,5151126;-0,07138455;-0,6147914
6|TOP2|0,04389524|0,2617972;-0,6896007;0,7874482;-0,6457796;-0,8525391;-0,9182889;0,004373193;-0,7031868;0,8090591;0,6508307;0,1830541;0,3427002;-0,01256692;-0,7285624;0,1385742;0,6405687;0,4094205;-0,7585857;-0,7402866;0,193719;0,01218116;0,8497369;-0,09048116;0,9513462;-0,03594339;-0,1141685;0,2546248;0,7302349;-0,7576823
