Generation: 933 | maxFitness: 0,2442866 | maxFitnessGen: 0,133276 | maxFitnessGenBuf: 0,1377633
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 30 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1377633|0,2837853;-2,020061;-6,245815;0,9008499;1,212368;-2,211051;1,462361;-3,161869;-3,747989;2,140825;-0,1804596;0,6273509;-4,367604;0,6367986;2,23362;0,4845764;1,857251;1,386726;0,04592036;4,070361;-3,188194;0,08116266;-1,399295;-1,856266;-2,819752;0,3709757;-2,731532;-0,7851798;-0,04624249
1|TOP2|0,1377633|-0,04019627;-2,149269;-5,863332;0,9008499;0,8959167;-2,211051;1,462361;-2,78375;-3,669731;2,004748;-0,06339662;0,3229065;-4,324744;1,001165;2,23362;0,4845764;1,857251;1,722506;-0,08280432;4,070361;-3,629545;0,08116266;-1,399295;-1,910393;-2,449658;0,3709757;-2,359094;-0,7851798;-0,04624249
2|TOP2|0,1377633|0,1710629;-2,348236;-5,863332;0,9658022;1,212368;-2,211051;1,462361;-3,637839;-3,669731;2,063319;-0,4943845;0,282237;-3,84831;0,1786439;2,132446;0,4845764;1,857251;1,878163;-0,2140898;4,432783;-3,486658;0,08116266;-1,399295;-2,351511;-2,176443;0,3709757;-2,359094;-0,7851798;-0,04624249
3|TOP2|0,1377633|0,4114162;-2,020061;-5,452098;0,9008499;0,8487628;-1,928437;1,462361;-3,125699;-3,669731;2,458867;-0,1804596;0,4648422;-4,324744;0,5018544;2,551283;0,4845764;1,857251;1,570426;-0,08280432;4,070361;-3,209785;0,08116266;-1,399295;-1,910393;-2,457916;0,3709757;-2,359094;-0,7851798;-0,04624249
4|TOP2|0,1377633|0,5474724;-2,020061;-5,520897;1,333601;1,477461;-2,333074;1,462361;-3,412316;-3,718942;2,231184;-0,1804596;0,3229065;-4,324744;0,3673562;2,23362;0,8739802;1,857251;1,722506;-0,2878163;4,070361;-3,52969;0,08116266;-1,399295;-1,910393;-2,900283;0,3709757;-2,359094;-0,7777241;-0,04624249
5|TOP2|0,1366572|0,4114162;-1,820379;-5,863332;0,9008499;1,212368;-2,45977;1,406661;-2,881943;-3,669731;2,274381;-0,1804596;0,2553564;-4,324744;0,4083469;2,247538;0,4656489;1,857251;1,722506;-0,08280432;3,737611;-3,209785;0,08116266;-1,399295;-1,910393;-2,768396;0,454994;-2,359094;-0,7851798;-0,04624249
6|TOP2|0,1366516|0,5850027;-2,12588;-5,863332;0,9008499;0,86005;-1,718126;1,462361;-3,618663;-3,501908;1,728799;-0,1804596;0,3229065;-4,445617;0,5872957;2,23362;0,4845764;1,93022;1,356938;0,07831536;3,988461;-3,209785;0,08116266;-1,399295;-1,448407;-1,969095;0,4561704;-2,359094;-0,7851798;-0,04624249
7|TOP2|0,1363103|0,4114162;-2,020061;-5,78896;1,259282;1,212368;-2,211051;1,802484;-3,314682;-3,669731;1,573986;-0,08622424;0,3229065;-4,133563;0,5872957;2,056827;0,2803853;1,857251;1,722506;0,2274079;4,070361;-3,209785;0,1270246;-0,9192086;-2,244512;-2,457916;0,3709757;-2,09707;-0,4802075;-0,04624249
8|TOP2|0,1358144|-0,01221582;-2,020061;-5,863332;0,9008499;1,212368;-2,211051;1,688148;-3,161869;-3,745083;2,004748;-0,1804596;0,3344252;-4,324744;0,5872957;1,781529;0,07175845;2,157245;1,57495;-0,08280432;4,517038;-3,209785;0,08116266;-1,644748;-1,910393;-2,551098;0,7385832;-2,373264;-0,7851798;-0,04624249
9|TOP2|0,1356957|0,4114162;-2,020061;-5,863332;0,9008499;1,212368;-1,903186;1,07572;-3,161869;-3,760249;1,698964;0,1306832;0,4762762;-4,231317;0,2381583;2,044814;0,4845764;1,379008;1,722506;0,07157861;4,070361;-3,209785;0,08116266;-1,399295;-1,966806;-2,589134;0,7497211;-2,359094;-0,7851798;-0,04624249
10|TOP2|0,1252466|0,6993723;-2,394558;-5,863332;1,2224;1,153515;-2,211051;1,462361;-3,161869;-3,558663;2,004748;-0,3315797;0,3229065;-4,060208;0,5872957;2,23362;0,6665794;1,857251;1,474844;-0,08280432;3,71697;-3,209785;0,1961675;-1,19099;-1,910393;-2,275063;0,4235164;-2,768497;-0,7851798;-0,04624249
11|TOP2|0,1199626|0,8162758;-2,020061;-5,863332;0,9008499;1,201537;-2,211051;1,519145;-2,834124;-3,669731;1,701297;-0,6619784;0,06119728;-4,252943;0,5872957;2,661414;0,4845764;1,359956;1,722506;-0,08280432;4,070361;-3,209785;-0,04714999;-1,399295;-1,910393;-2,457916;0,3709757;-1,969571;-0,7851798;-0,04624249
12|TOP2|0,1199626|0,4114162;-2,020061;-5,904916;0,9008499;1,212368;-2,211051;1,462361;-2,778276;-3,669731;1,732628;0,1609634;0,3229065;-4,623071;0,3955798;2,23362;0,3158895;2,03566;1,722506;-0,08280432;3,661459;-3,209785;-0,3368521;-1,399295;-1,910393;-2,457916;0,4348132;-2,359094;-0,8484993;-0,04624249
13|TOP2|0,1199626|0,5431242;-2,028174;-5,863332;1,39579;1,212368;-2,614074;1,754641;-3,475354;-3,713752;1,918106;-0,1804596;0,3229065;-3,965608;0,3140495;2,296141;0,4845764;1,410355;1,722506;-0,08280432;4,070361;-2,809098;-0,1731446;-1,805879;-2,335805;-2,502923;0,6658034;-2,321165;-0,5866188;-0,04624249
14|TOP2|0,1199626|0,4114162;-2,020061;-5,391084;0,9008499;1,499518;-1,969909;1,305631;-3,161869;-3,669731;1,547529;-0,1804596;-0,157558;-4,823814;0,5872957;2,23362;0,05794424;2,326012;1,601113;-0,08280432;4,070361;-3,202541;-0,2968632;-1,399295;-1,910393;-2,45409;0,3709757;-2,359094;-0,7851798;-0,04624249
