Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1011014
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1011014|0,6260841;-0,2535139;-0,5131216;0,1411959;0,8427334;-0,682029;-0,4913315;0,4232425;-0,511518;0,4042427;0,8119938;0,600353;0,98664;-0,7162182;-0,2792822;-0,5522931;0,8335788;0,4673853;0,8940678;-0,1580821;0,5057995;-0,6274993;-0,8169613;0,04918993;-0,5914748;-0,7248333;0,6469517;-0,7335997;0,3467686
1|TotallyRandom|0,08937698|0,5602458;-0,02800953;-0,02600396;-0,2189704;0,392035;-0,5565183;0,9902086;-0,9898908;0,9188104;0,2377688;-0,7736626;-0,5558903;0,9631786;0,3078344;-0,2550203;-0,3638011;-0,2000839;-0,5130551;-0,09453762;-0,4208993;-0,2271379;0,5399055;0,7251437;-0,242473;-0,4718119;0,3880069;0,7104242;0,2216398;-0,682915
2|TOP2|0,08665168|0,2502207;0,2021106;-0,7824411;0,4673857;0,1915931;-0,4822439;0,5673327;-0,1892594;-0,5624859;0,8260517;0,2594487;-0,09517992;0,4310732;-0,6243184;0,4998083;-0,9278519;-0,5458233;-0,6089973;0,8964593;0,9875326;-0,1296729;-0,03088963;-0,7906866;0,0934366;-0,532865;0,7574024;-0,1200453;-0,5777895;0,02272356
3|TOP2|0,08123823|-0,2585293;-0,1588258;0,9996068;-0,6375911;-0,6270797;0,7386017;-0,7569625;-0,3627402;-0,9108644;0,3322458;0,4160158;-0,8100233;-0,3873338;-0,6436718;-0,8257484;0,09752977;-0,1542691;0,9579668;-0,1788815;0,2876277;0,2843156;0,233353;-0,04149091;-0,2511991;-0,2234513;0,6143706;0,7896376;0,06486547;-0,008302569
4|TOP2|0,0749748|-0,3538009;0,972363;0,3707416;0,8260121;0,7962363;-0,9875274;-0,01219928;-0,6056261;-0,9370053;0,4124286;-0,6548154;0,2776785;-0,5981066;-0,3970042;0,4953935;-0,7257497;-0,1347145;-0,3239011;-0,9823341;-0,4640609;0,301512;0,3657121;-0,8950315;0,9511712;-0,2776438;-0,09294927;-0,3500766;0,176093;-0,1198453
5|TOP2|0,07384755|-0,01963675;0,4248826;0,4044144;-0,7578447;-0,2856339;-0,6022396;0,4106886;0,4704585;0,1962324;-0,06215274;0,8947845;-0,9098949;-0,3317555;-0,2782451;0,477257;0,06406343;-0,2949845;-0,6720905;0,4104099;0,972517;-0,2965556;-0,2582909;0,4235308;0,3859675;0,9639571;-0,09048688;0,6708724;-0,4566048;-0,1811515
6|TOP2|0,03486826|-0,4285091;0,3705578;0,02967823;-0,5925965;-0,159588;-0,6801739;-0,4352676;0,400748;0,2532148;0,8249414;-0,07979882;-0,55164;0,4425623;0,0267123;0,7232876;-0,4227387;0,7995377;-0,6048987;0,4356048;-0,2265896;0,2460467;0,5739915;0,1481134;0,7892654;0,1070536;-0,09755027;-0,6814649;0,7031693;-0,229575
