Generation: 340 | maxFitness: 0,1495605 | maxFitnessGen: 0,1464654 | maxFitnessGenBuf: 0,1182817
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,1182817|1,318324;0,409839;-2,176432;-0,5363634;1,323903;-1,055622;3,499728;-1,317455;-0,1354355;2,147415;0,1406599;-1,968447;0,2486202;1,680671;1,026707;0,916369;0,1040852;1,246412;-2,918405;2,745904;-1,292854;0,2663532;-2,834055;1,028679;-3,439509;-0,4282163;1,821263;0,1915112;0,02725928
1|RandomParents|0,1146449|1,140529;0,2719774;-1,78792;-0,976593;1,71422;-1,072312;3,459816;-1,304109;0,6356498;1,92241;-0,02819762;-2,756546;-0,5791423;1,257638;1,026707;1,193927;-0,3087395;1,005367;-2,837812;2,649566;-1,257982;0,2663532;-2,834055;0,9014942;-3,656925;-0,6885604;1,942338;0,1915112;0,02725928
2|TOP2|0,1135101|1,318324;0,7703698;-2,372254;-0,2810366;1,523708;-1,055622;3,332486;-1,317455;-0,3206792;2,147415;-0,1165692;-1,968447;0,2486202;1,680671;1,026707;0,4904024;0,2074556;1,124135;-2,725476;2,745904;-1,583109;0,2663532;-2,419348;1,341242;-3,439509;-0,226619;1,821263;0,1915112;-0,2019822
3|TOP2|0,1044998|1,258907;0,3840021;-2,2033;-0,6313237;1,323903;-1,055622;3,927879;-1,317455;-0,1354355;2,147415;0,1406599;-1,770065;0,5545456;2,164668;1,026707;0,821193;0,5733541;1,599251;-3,125291;2,991453;-0,7974988;0,6876084;-2,834055;1,028679;-3,439509;-0,3476417;1,637504;0,1915112;-0,009758243
4|TOP2|0,08369219|1,811139;0,409839;-2,55254;-0,6150448;1,323903;-1,055622;3,499728;-1,804135;-0,1354355;2,233463;0,1406599;-2,353336;-0,09087344;1,680671;1,026707;0,5934264;0,1040852;1,391524;-2,694744;2,745904;-1,121684;0,02721834;-2,834055;1,028679;-3,439509;-0,4282163;1,821263;-0,2550202;0,3411942
5|TOP2|0,08221821|1,318324;0,409839;-1,974027;-0,5363634;1,323903;-1,055622;3,305758;-1,164856;-0,3767918;1,998952;0,1406599;-1,968447;0,3113035;1,680671;1,026707;0,6081228;0,1040852;0,9800179;-2,918405;2,745904;-1,576417;0,2663532;-3,057657;0,8396881;-3,147496;-0,4282163;1,632451;0,1915112;0,02725928
6|TOP2|0,08076725|1,731912;0,409839;-2,094555;-0,5363634;1,323903;-0,6449686;3,096098;-1,15998;0,0261696;2,147415;-0,05902323;-1,968447;-0,1893383;1,680671;0,7886938;0,916369;0,1040852;0,8336164;-2,918405;2,745904;-1,382434;0,2663532;-2,834055;1,208204;-2,998521;-0,4282163;1,821263;0,04015492;0,02725928
7|TOP2|0,07231268|1,318324;0,2468125;-2,411273;-0,1347464;1,323903;-1,055622;3,669708;-1,317455;-0,1354355;2,327012;-0,2995725;-1,968447;0,2486202;1,680671;0,809367;0,916369;0,1040852;1,246412;-2,990058;2,926568;-1,292854;0,02691436;-2,834055;0,5405689;-3,458963;-0,2951062;1,862305;0,1915112;0,02725928
