Generation: 89 | maxFitness: 0,1433826 | maxFitnessGen: 0,120931 | maxFitnessGenBuf: 0,105719
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,105719|0,6580702;-0,6211094;-1,66906;-0,246287;0,4389648;-0,4627026;2,392187;-0,5128955;-0,5173737;0,6232956;1,31376;-0,8115033;-0,4722918;2,008413;-0,05115959;-0,309728;-0,02229792;-0,1282176;-2,808805;1,047077;-1,421363;0,3854283;-0,1508055;0,8897274;-1,618508;-0,2367914;0,3612993;-0,05984652;0,252145
1|TOP2|0,1014565|0,385164;-0,09975196;-2,4112;-0,247865;0,3159898;0,357966;2,384474;-0,5219659;-0,6227411;0,4441337;1,744922;-1,130972;-0,2906426;1,389992;-0,3243366;-0,3033816;-0,8449196;-0,4424133;-3,257635;1,323786;-2,393782;0,432331;0,7220055;0,8509991;-1,277035;-0,6803513;0,2969806;-0,05984652;0,08447969
2|TOP2|0,09961368|0,4956611;-0,2618209;-2,4112;-0,3568651;0,3159898;0,1096426;2,145207;-0,5219659;-0,4989201;0,4441337;1,097916;-1,130972;-0,2906426;1,751229;-0,3243366;0,09691721;-0,8573698;-0,3242427;-3,276766;1,662644;-2,229603;0,432331;0,367084;0,5150937;-1,298985;-0,3675069;0,2969806;-0,05984652;0,08447969
3|TOP2|0,09912874|-0,2378765;0,1033577;-2,4112;0,03023465;0,6267139;-0,2820909;2,145207;-0,5219659;-0,3538447;0,4441337;1,467096;-1,130972;0,1080971;1,751229;-0,1234313;-0,7187498;-0,6319798;-0,4424133;-3,567649;1,258175;-2,393782;0,432331;0,7220055;0,6305143;-1,298985;-0,3657359;0,4785339;-0,05984652;-0,1507151
4|TOP2|0,08432645|0,07724208;-0,2618209;-1,963973;-0,147678;0,6905932;-0,2009791;2,145207;-0,8804473;-0,04758778;0,4441337;1,467096;-1,130972;-0,2906426;2,002119;-0,481516;-0,3767931;-0,8449196;-0,4424133;-3,235835;1,258175;-2,11864;0,432331;0,7220055;0,6305143;-1,298985;-0,3657359;0,1002164;0,3937535;-0,1786789
5|TOP2|0,07833222|-0,07500064;-0,2618209;-2,090372;-0,2603022;0,3159898;-0,2037827;2,145207;-0,5219659;-0,4989201;0,4441337;1,467096;-1,130972;-0,2906426;1,751229;-0,6603329;-0,3767931;-1,078801;-0,4424133;-3,257635;1,258175;-2,464808;0,432331;0,3371758;1,129443;-1,298985;-0,3657359;0,2969806;-0,05984652;0,08447969
6|TOP2|0,07761689|0,07724208;-0,2618209;-2,163318;-0,1613184;0,3159898;-0,2779604;2,145207;-0,7959581;-0,4989201;0,4441337;1,467096;-1,110065;-0,4731741;1,63509;-0,3243366;-0,3664132;-0,8449196;-0,4424133;-3,496834;1,258175;-2,393782;0,7971803;0,7220055;0,6305143;-1,492204;-0,1662805;0,09297398;-0,05984652;0,08447969
7|TOP2|0,07679442|-0,3582775;-0,7483064;-2,256952;0,2514711;0,3159898;-0,2021705;2,145207;-0,5219659;-0,008163124;0,7100418;0,9808887;-0,7043902;0,1469413;1,751229;-0,001410425;-0,06491011;-1,055797;-0,09561905;-3,257635;1,258175;-2,083526;0,6933807;1,170209;0,6305143;-1,266899;-0,3657359;-0,03736344;0,2747936;0,08447969
