Generation: 695 | maxFitness: 0,1801335 | maxFitnessGen: 0,1801335 | maxFitnessGenBuf: 0,1792281
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1792281|-0,2575552;-0,9736099;-4,504261;1,081466;0,5391861;-2,601921;2,444583;-0,5038899;-2,778562;1,387267;0,5544004;-1,197369;-1,368647;1,620342;1,616395;2,570116;1,139356;0,179531;-1,186697;3,160789;-3,996397;0,06942505;-1,639817;-0,9366649;-1,990224;0,4443104;-0,7918988;-0,8078839;0,08215914
1|TOP2|0,1792281|-0,5551195;-0,3829103;-4,504261;1,045189;0,6561955;-2,222174;2,444583;-0,5038899;-3,216972;1,387267;0,3764248;-1,249005;-0,9966282;1,471245;1,616395;2,619625;0,8269948;-0,2893469;-1,186697;3,160789;-4,084058;0,06942505;-1,639817;-1,097704;-1,681506;0,4443104;-0,7918988;-1,060299;0,08215914
2|TOP2|0,1792281|-0,1140621;-0,9005936;-4,504261;1,081466;0,8109778;-2,189746;2,444583;-0,9930643;-2,778562;1,638044;0,8564139;-1,085719;-0,9966282;1,873585;1,471901;2,205291;1,007817;0,02074009;-1,186697;3,160789;-3,595273;0,06942505;-1,639817;-1,27903;-1,681506;0,4443104;-0,6754346;-0,5891722;0,08215914
3|TOP2|0,1792281|-0,7514262;-0,8033605;-4,402023;1,367195;0,6561955;-1,748367;2,852179;-0,5038899;-3,095752;1,387267;0,8394913;-1,085719;-0,9966282;1,873585;1,683954;2,130808;1,250023;0,4631824;-1,186697;2,715177;-3,595273;0,06942505;-1,639817;-0,605298;-1,374174;0,4443104;-0,3954471;-1,060299;0,08215914
4|TOP2|0,1792281|0,1951542;-0,8033605;-4,504261;1,081466;0,6561955;-2,222174;2,444583;-0,5038899;-2,864699;1,638676;0,6638423;-1,085719;-0,946748;1,856176;1,616395;2,266582;1,007817;0,02074009;-1,186697;3,160789;-3,595273;0,06942505;-1,74856;-1,591393;-1,732064;0,4443104;-0,7918988;-0,89192;0,08215914
5|RandomParents|0,1792281|-0,2575552;-0,8033605;-4,504261;1,081466;0,6561955;-2,222174;2,444583;-0,5038899;-2,778562;1,387267;0,5544004;-1,085719;-0,9966282;1,873585;1,616395;2,205291;1,007817;0,02074009;-1,186697;3,160789;-3,595273;0,06942505;-1,639817;-1,097704;-1,681506;0,4443104;-0,7918988;-1,060299;0,08215914
6|TOP2|0,1773716|-0,7152494;-1,067194;-4,91312;1,491817;0,2129756;-2,222174;2,444583;-0,5038899;-2,778562;1,387267;0,9597905;-1,085719;-1,19186;1,712416;1,166873;2,205291;1,007817;0,02074009;-1,130101;2,980027;-3,595273;-0,2823839;-1,160992;-0,7451781;-1,681506;0,4443104;-0,9849597;-1,060299;0,1137007
7|TOP2|0,17345|0,2349524;-0,7110624;-4,504261;1,045793;0,9822562;-2,222174;2,444583;-0,4716285;-2,349299;1,387267;0,8748388;-1,467186;-0,9391377;1,915811;1,902498;2,547483;1,359085;-0,1592388;-1,094573;3,160789;-4,092291;0,06942505;-1,639817;-1,097704;-1,960738;0,5104386;-0,7918988;-1,060299;0,08215914
