Generation: 351 | maxFitness: 0,1549068 | maxFitnessGen: 0,1172966 | maxFitnessGenBuf: 0,1176906
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
16|TOP2|0,03516162|1,882785;-0,3983986;-2,202412;0,1656975;1,121629;-1,055622;2,79629;-1,437342;-0,2248275;1,701193;-0,06405126;-2,186274;-0,2388597;1,884497;0,9285387;0,5682452;0,841959;1,342129;-2,431716;2,775014;-0,4836474;-0,04577039;-3,102641;1,170846;-3,826102;-0,2430575;1,556191;0,1999185;-0,3734676
17|TOP2|0,0349021|1,882785;0,15243;-2,155302;0,1656975;0,8971447;-1,055622;2,799745;-1,028647;0,3641591;1,69361;-0,1575558;-2,186274;0,04066646;1,564414;1,252843;0,09942576;0,5044095;0,9791242;-2,431716;2,766788;-0,7208498;0,2819239;-2,690505;1,170846;-4,215794;-0,06878437;1,556191;0,1999185;-0,354897
18|TOP2|0,03194791|2,378102;-0,02250689;-2,665966;0,1656975;1,331465;-1,055622;3,199056;-1,100699;0,01053397;1,764257;0,2358272;-1,779668;0,04066646;1,564414;1,245106;0,2643352;0,5937188;1,342129;-2,431716;2,66873;-0,7208498;-0,04577039;-3,24508;1,353078;-3,716625;-0,2779405;1,123059;0,4712648;-0,4214199
19|TOP2|0,03139435|1,75173;0,4634957;-2,046041;0,1656975;0,8971447;-1,055622;3,010246;-1,100699;-0,3513503;1,764257;0,2905172;-2,186274;0,2472482;1,564414;0,7637708;0,684142;0,7909879;1,076968;-1,995037;2,66873;-0,3877491;0,436713;-3,087118;1,170846;-3,58438;-0,6600275;1,211757;0,1999185;-0,1208004
20|TOP2|0,03090077|1,882785;0,4736257;-2,202412;0,1656975;0,8971447;-1,033143;2,799745;-1,444781;0,01227663;2,169395;-0,06405126;-2,668559;0,2567728;1,403338;1,393802;0,2643352;0,7594402;1,83887;-2,431716;3,159182;-0,9464272;-0,04577039;-2,744782;1,170846;-3,826102;-0,2779405;1,516089;0,1999185;0,01183208
21|TOP2|0,03069745|1,882785;-0,02250689;-2,007275;0,1656975;0,7995805;-1,055622;2,555267;-0,7160629;0,01053397;1,778615;-0,06405126;-2,186274;0,04066646;1,410072;1,427652;0,2643352;0,7909879;1,759195;-2,159178;2,66873;-0,9541241;-0,381476;-3,102641;1,078889;-3,826102;-0,6662531;1,556191;0,1999185;0,03735348
22|TOP2|0,02972795|1,618333;-0,512727;-2,202412;0,1656975;0,8971447;-1,20221;2,799745;-1,100699;0,01053397;1,674165;0,2722107;-2,186274;0,04066646;2,038413;0,9285387;0,3798501;0,7909879;1,342129;-2,035631;2,66873;-0,4815088;-0,04577039;-3,102641;1,194373;-3,826102;0,1950802;1,739686;0,2785607;-0,5355201
23|RandomParents|0,02955684|2,126927;0,2961853;-3,059634;-0,5841626;0,9794396;-1,055622;3,280437;-1,516581;0,1066636;1,664061;-0,3275431;-2,445758;0,04066646;1,251416;0,9285387;0,2643352;0,7909879;0,970493;-2,510355;3,145561;-1,102781;-0,4760356;-3,134801;1,238618;-3,826102;-0,2757173;1,556191;0,1999185;0,05028399
24|TOP2|0,02944596|1,882785;-0,02250689;-2,332348;-0,06519558;1,015126;-1,42187;2,975072;-1,100699;-0,4236617;1,764257;-0,06405126;-2,159685;-0,04518741;1,564414;1,300713;0,7611121;0,7909879;1,342129;-2,027716;2,66873;-0,7208498;-0,04577039;-3,111674;0,8848231;-3,832715;-0,2779405;1,538893;-0,09853078;-0,1208004
25|TotallyRandom|0,02897302|-0,3381783;-0,8445697;-0,1285318;-0,1661044;0,135502;-0,1285311;-0,5972424;-0,977577;0,231917;-0,7386477;0,8667712;-0,9783835;0,8071072;0,7082355;-0,9156351;0,1320902;-0,681973;-0,1484631;-0,1571165;-0,005195022;0,1021136;-0,9636502;-0,7325964;0,4192095;-0,269941;-0,7171638;-0,8969481;0,1184646;0,3041362
