Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,07983693
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TotallyRandom|0,07983693|0,3151405;0,5137663;0,7440088;-0,5834584;-0,2178527;0,154579;0,5338871;0,031762;0,1859332;0,461081;0,508235;0,3207292;-0,624299;0,6343083;0,2821347;0,5377462;-0,9980381;0,2928383;-0,1363555;0,9286935;-0,5846455;-0,8078613;-0,2553686;-0,8915524;0,85584;-0,6183326;-0,3323528;-0,1828045;0,03348172
1|TOP2|0,07415702|0,5033648;-0,1196266;-0,7697461;-0,2629417;0,55972;-0,4955913;-0,3767163;-0,2782239;-0,8731978;-0,4226583;-0,7528408;0,5119579;0,504184;-0,2914184;0,8632681;0,8549569;-0,9085231;-0,1445774;0,6928318;-0,7999165;0,4755606;-0,7471159;-0,5669854;0,9504263;0,5857391;0,3311796;-0,7019153;0,6121542;-0,8847461
2|RandomParents|0,06434181|0,6838379;0,4414391;0,6513295;-0,5549431;-0,1538085;0,8123825;0,1600541;0,1739126;0,2901835;0,960582;0,1116503;0,07053721;-0,4267434;-0,1233732;-0,3296896;0,8355379;0,5149941;0,08432376;-0,4632801;-0,4529687;0,1530589;-0,790081;0,6320996;-0,01859605;-0,607573;0,7852252;0,9296973;0,96294;-0,5524099
3|TOP2|0,04506604|-0,1470536;0,02726829;0,2869813;-0,3347167;-0,6268826;0,7375324;-0,1950356;-0,02239048;0,7618942;0,9740295;-0,6519365;-0,09113872;0,6673923;-0,288011;-0,9824748;-0,06366384;0,3752565;-0,04120553;-0,4678239;-0,5259445;-0,7159338;-0,531744;-0,2173265;0,5090275;-0,3440987;0,7924442;-0,6000488;0,7427063;-0,2580408
4|TOP2|0,04389041|0,2649927;-0,5727334;-0,5526192;-0,3358511;-0,3732857;0,7326047;-0,2411388;-0,1087583;0,2079211;-0,1211189;-0,8749297;-0,650732;-0,3371314;0,7833025;0,7743626;-0,1922437;0,01643145;0,01746833;-0,9076519;0,9807785;-0,6797147;-0,582067;0,6403947;-0,5191278;-0,7405856;-0,209319;0,199807;-0,3525075;0,003437161
5|TOP2|0,03777396|0,8291597;-0,7267261;0,0293802;0,7572169;-0,1560212;0,7973199;0,5591404;0,4738834;-0,4695066;0,2415847;-0,08186758;0,08923709;-0,1264628;0,518429;0,7692432;-0,6343091;-0,6348777;0,3608677;0,3432462;-0,8294356;-0,3125638;0,7986073;0,7762408;0,0007857084;0,1913682;-0,7694941;0,3166072;-0,7846909;0,2765817
6|TOP2|0,03426297|-0,6850414;-0,2014936;0,4523909;0,267919;0,7359374;0,2759123;-0,1913358;0,1965977;-0,5248733;0,3986296;0,6288254;-0,8862858;-0,1028355;0,6858966;0,6051681;-0,9561989;-0,1899153;0,4149491;0,3032188;0,7086003;0,5093868;-0,4495386;0,5520344;-0,5373025;0,2519529;0,8164356;0,8711605;-0,2314192;-0,4736499
7|TOP2|0,0325015|0,8446736;0,2183186;-0,4730185;-0,1693364;0,3080675;0,2749092;-0,07347333;0,242072;0,1171414;0,07857645;0,5939491;0,6698198;0,9004583;0,26842;-0,003195167;-0,2678145;-0,3462564;0,673342;0,1074899;-0,445927;-0,7446194;-0,3633434;0,3781092;-0,4834739;-0,248155;0,8730478;-0,332954;-0,7335773;-0,001438498
