Generation: 699 | maxFitness: 0,1801335 | maxFitnessGen: 0,1793261 | maxFitnessGenBuf: 0,1784129
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1784129|-0,1581623;-0,9561752;-5,223354;1,053539;0,5391861;-1,817586;1,854323;-0,7958296;-2,817611;1,562577;0,4233296;-1,332041;-2,303034;1,527134;1,501535;2,284209;1,158154;0,346826;-1,363025;3,858403;-4,086968;0,173241;-1,780228;-0,4576584;-2,52882;0,4443104;-0,5491076;-0,8078839;0,0361102
1|TOP2|0,1783994|-0,1581623;-0,8471659;-5,176518;1,053539;1,013698;-1,853224;2,089023;-0,8492023;-2,493307;1,534598;0,4233296;-1,238018;-2,032793;1,040158;1,501535;1,804921;1,325836;0,7922953;-1,440276;3,35843;-4,311931;0,06942505;-1,639817;-0,596952;-2,172457;0,4443104;-0,8957281;-0,8078839;0,08215914
2|TOP2|0,1783994|0,141713;-0,8936878;-5,50616;1,093833;0,2541898;-2,288986;2,207083;-0,881642;-2,679285;1,562577;0,4929971;-1,238018;-2,032793;1,582901;1,501535;2,211069;1,158154;0,346826;-1,186697;3,809434;-4,054673;0,06942505;-1,381438;-0,4992303;-2,544521;0,4443104;-0,1008564;-0,8078839;0,08215914
3|TOP2|0,1783994|-0,1581623;-0,8936878;-5,048638;1,053539;0,1609535;-2,288986;1,854323;-0,881642;-3,149445;1,732578;0,4233296;-0,9085217;-2,032793;1,490319;1,157594;2,284209;1,191528;0,346826;-1,32696;4,251098;-4,086968;0,06942505;-1,639817;-0,8231043;-2,172457;0,4443104;-0,7509862;-0,8078839;0,08215914
4|TOP2|0,1783994|-0,1581623;-0,7219519;-5,575764;1,053539;0,07922995;-2,288986;2,160969;-1,34774;-2,582925;1,562577;0,4233296;-1,203059;-2,032793;1,305936;1,501535;2,284209;1,158154;0,7339232;-1,622486;4,098212;-4,086968;0,06942505;-1,639817;-0,8384959;-1,975329;0,4443104;-0,268648;-1,055638;0,08215914
5|TOP2|0,1783994|0,2070249;-0,8936878;-5,176518;1,053539;0,5391861;-1,82258;2,124793;-0,9534836;-2,679285;1,562577;0,4233296;-1,238018;-2,349866;1,051623;1,501535;1,933431;1,140507;0,1852508;-1,417147;3,858403;-4,436461;0,06942505;-1,979492;-0,716459;-2,172457;0,4443104;-0,5491076;-1,193737;0,08215914
6|TOP2|0,1783994|-0,1581623;-0,8936878;-5,183654;1,053539;0,5391861;-2,288986;1,854323;-0,4854934;-2,679285;1,562577;0,07150567;-1,0215;-1,637686;1,490319;1,501535;2,284209;1,158154;0,346826;-1,47965;3,374839;-4,086968;0,06942505;-1,639817;-0,8185313;-2,214166;0,4443104;-1,007117;-1,077608;0,08215914
7|RandomParents|0,1783994|-0,2575552;-0,9736099;-4,504261;1,081466;0,5391861;-2,601921;2,444583;-0,5038899;-2,778562;1,387267;0,5544004;-1,197369;-1,368647;1,620342;1,616395;2,570116;1,139356;0,179531;-1,186697;3,160789;-3,996397;0,06942505;-1,639817;-0,9366649;-1,990224;0,4443104;-0,7918988;-0,8078839;0,08215914
