Generation: 1255 | maxFitness: 0,2442866 | maxFitnessGen: 0,1459914 | maxFitnessGenBuf: 0,1461952
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 30 | Min Mutation: 0,727

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,1461952|1,862006;-2,386399;-3,983735;0,972376;1,72581;-0,06060432;2,102952;-5,013295;1,678002;-0,6805339;2,056812;0,8278364;-4,40787;0,5965335;3,187507;1,071659;3,448075;2,531134;2,975902;7,069329;-3,040205;-2,452863;-1,847692;-1,219463;-0,04988191;3,063501;-2,121651;-1,948247;0,1204912
1|TOP2|0,1461952|1,667192;-2,755627;-4,136756;1,621228;1,368957;-0,7565429;2,353118;-4,683782;1,519133;-1,113678;2,080729;-0,04839918;-3,787935;-0,1302453;2,236811;0,6945066;3,417779;2,203419;3,163808;6,729272;-2,912432;-1,672309;-1,291749;-0,7269896;0,399386;2,529125;-1,848266;-1,098924;0,1204912
2|TOP2|0,1461952|1,761866;-2,743117;-3,617193;1,674283;1,883815;-1,213508;2,202809;-3,948328;0,9553543;-0,5022448;1,969244;0,005867511;-3,948452;-0,04990979;3,165206;1,400656;3,43568;2,722494;2,875994;6,490972;-2,563586;-1,734057;-0,7975397;-1,274824;0,7777401;2,529125;-1,62917;-1,835665;0,1204912
3|TOP2|0,1461952|1,761866;-2,729733;-4,289919;2,084123;1,16625;-1,328377;2,202809;-4,012883;1,10914;-0,8342817;2,046371;-0,3496878;-3,656225;-0,01328494;2,548324;1,054067;3,061607;2,486106;2,998058;6,729233;-2,912432;-1,843028;-1,291749;-1,144352;-0,01896459;2,157168;-2,202173;-1,290756;0,1204912
4|TOP2|0,1461951|1,99012;-2,870075;-4,02765;1,779149;1,603688;-1,213508;1,779875;-3,954913;1,087998;-0,8342817;2,090742;0,2534429;-3,787935;-0,2228338;2,64334;0,5270648;3,263637;2,337841;3,518435;6,754653;-2,781767;-1,583614;-1,552744;-0,4347805;0,200218;2,529125;-1,430157;-1,872182;0,1204912
5|TOP2|0,1461951|1,761866;-2,743117;-3,94147;1,85711;1,8783;-0,8479116;2,202809;-4,387997;1,181349;-0,8342817;1,613403;-0,4457027;-3,939048;0,4597702;3,077836;0,9476006;3,193475;2,620912;3,574596;6,490972;-2,912432;-1,843028;-1,064094;-0,6318182;0,8714761;2,529125;-1,943521;-2,090329;0,1204912
6|TOP2|0,1461951|2,065534;-2,743117;-3,686981;1,931852;2,073413;-1,125462;1,966874;-4,392533;0,9064878;-0,8342817;1,921586;0,1690959;-3,315845;-0,3090955;2,975163;0,9476006;2,772869;2,176743;3,061522;6,703099;-3,230181;-1,466878;-1,291749;-0,5362405;0,7001968;2,369112;-1,652932;-1,597568;0,1204912
