Generation: 19 | maxFitness: 1,960886 | maxFitnessGen: 1,779118 | maxFitnessGenBuf: 1,738856
N TotallyRandom: 10 | N RandomParents: 10 | N Top2: 10 | Min Mutation: 0,5

Index: 14 | Name: car 11 | Brain Type: TotallyRandom | Fitness: 0,4107586 | BrainData : 2,781802;2,98763;-0,8534698;-0,686316;3,385152;4,639496;-4,067201;-0,3243093;-2,864194;-0,3312583;-0,3016825;0,9145837;4,266468;-2,498874;1,493782;1,286914;2,566714;-4,649606;-1,151116;-4,412765;3,670042;-3,045287;-4,886254;-3,787247;0,9227676;-1,544726
Index: 15 | Name: car 30 | Brain Type: RandomParents | Fitness: 0,4103368 | BrainData : -1,707932;-1,953111;-0,6896992;1,828277;2,256577;3,996053;2,155077;-0,32057;-1,561903;2,296977;-3,585428;1,25077;2,715814;1,373546;-3,288786;2,990361;-2,92547;-3,616754;-1,623175;-3,854854;-0,8277636;-0,5822296;-3,32007;-1,518378;0,05725908;2,115893
Index: 16 | Name: car 14 | Brain Type: TotallyRandom | Fitness: 0,372163 | BrainData : 2,959676;1,356277;-0,005164623;0,5943723;1,414173;-3,735065;-4,283214;1,998891;4,444714;-4,50783;1,833797;-0,6846018;4,015944;4,745852;-4,201002;-3,288468;2,413149;-2,980069;-2,910337;-1,692422;-0,7536001;-3,974968;0,9099598;-4,431915;-4,452071;2,722655
Index: 17 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,357906 | BrainData : -4,714046;-0,531929;-1,309264;3,936614;-4,947651;-3,247486;4,923148;-4,046896;-4,554472;-3,231762;3,359738;-0,2377491;-2,654943;-3,960496;-3,654165;-4,674051;3,664738;-2,119402;-0,8840914;0,1114244;-1,979788;-4,736066;4,002181;-4,470882;1,467006;3,189984
Index: 18 | Name: car 18 | Brain Type: TotallyRandom | Fitness: 0,3562929 | BrainData : 2,315503;-1,990897;4,875418;-3,037805;3,272437;1,340711;3,948551;2,964068;-4,26393;1,144178;1,692952;-1,117796;-4,608614;-4,328011;1,253893;-4,313365;0,767539;3,429367;-4,23222;3,317259;4,389433;-3,11116;4,801358;-1,508968;1,388684;4,800929
Index: 19 | Name: car 13 | Brain Type: TotallyRandom | Fitness: 0,3556567 | BrainData : -3,180372;0,8257036;-0,8146114;0,3599935;-0,9414725;-2,997035;2,787703;-1,62971;4,694974;-4,009648;-4,391153;3,868056;-1,587739;-4,344027;-2,856425;1,520939;4,596054;-0,06728125;4,158901;3,148131;2,584034;1,944258;2,106507;0,8878322;2,7518;-0,5913491
Index: 20 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,3546732 | BrainData : -3,487864;-1,161013;-1,383715;4,609848;3,973826;-0,4424392;-2,616227;-2,304685;1,996805;3,257904;-1,149254;3,555544;1,962789;4,562831;1,042376;-0,4765301;4,60351;1,202618;-4,26832;-2,958454;-2,195886;3,75095;3,277712;0,3968186;4,951099;-0,5911164
Index: 21 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,3546709 | BrainData : -3,49729;-1,181669;-1,383715;4,609848;3,973826;-0,4423706;-2,530251;-2,301619;1,973374;3,250618;-1,1261;3,586509;1,916873;4,612656;1,086848;-0,4851902;4,60351;1,175938;-4,245366;-2,948914;-2,170678;3,766813;3,287127;0,3968186;4,953028;-0,5911164
Index: 22 | Name: car 19 | Brain Type: TotallyRandom | Fitness: 0,3012374 | BrainData : -3,365667;2,321171;1,093921;3,452958;1,95338;4,640834;-3,39671;-3,869323;-1,951141;-0,7010536;2,090623;1,661291;-2,84819;2,736514;-2,6269;-1,525273;-0,6885905;-1,23939;-3,12958;0,391119;2,74627;0,06435108;-0,9068723;-4,588007;-3,597538;4,970274
Index: 23 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,2862451 | BrainData : -3,325345;-2,549695;1,465123;-0,8072842;4,518143;-2,897297;-3,816852;4,307108;3,236102;3,29057;-0,6590433;3,187966;-3,066895;-1,428072;-4,232658;2,591388;1,098651;-0,3172512;-2,32291;-0,3659792;2,377747;-0,301847;-0,03489304;-4,628281;-2,4867;0,7143888
Index: 24 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,2851505 | BrainData : -0,2360873;4,40129;-0,9209328;3,028061;1,768502;-0,9535986;3,759488;-1,02597;2,208436;-4,506947;1,792254;2,742834;-2,350087;4,756923;-3,904616;-2,229479;3,450037;1,452081;2,045223;3,520995;-2,734606;-2,292768;-1,714489;1,91327;-4,731727;3,58824
Index: 25 | Name: car 15 | Brain Type: TotallyRandom | Fitness: 0,2842706 | BrainData : -2,661448;-4,440111;-4,506249;-3,209766;-4,7106;-4,744948;2,971451;-1,174573;3,887032;0,5954809;-1,345916;2,449025;4,04502;-4,259882;-3,616829;-0,4226108;3,471911;-3,326818;1,079194;-1,734366;-4,804015;-1,337358;0,381741;-3,255392;-2,633577;-4,684253
Index: 26 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,2842481 | BrainData : -0,2968096;4,40129;-0,8989501;3,028061;1,768502;-0,8830101;3,759488;-1,009896;2,169258;-4,518445;1,816238;2,724937;-2,384848;4,730473;-3,837242;-2,185588;3,483803;1,40366;2,005973;3,520995;-2,734606;-2,301197;-1,662228;1,956382;-4,745402;3,58824
Index: 27 | Name: car 12 | Brain Type: TotallyRandom | Fitness: 0,2784757 | BrainData : -3,631512;-2,08292;0,7463245;-2,298365;-0,9239631;1,188479;-2,107032;-3,851642;-3,365762;-4,69634;-2,324837;-3,046299;-1,976064;-0,3274517;4,724004;-0,9862609;3,31974;-4,435836;-3,035109;-1,895844;1,463761;-4,538045;0,9459453;1,165065;-2,958508;-1,025758
Index: 28 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,2775124 | BrainData : -0,5531306;1,641131;4,645658;-1,500893;4,74616;4,74831;-4,021564;1,800447;1,53492;-1,940318;3,322499;-1,938169;3,421255;2,784312;-4,748921;1,477703;-0,1047449;-1,460858;0,06446075;-1,625578;4,201361;-4,542914;-0,6073494;0,05342913;-3,875996;4,025678
Index: 29 | Name: car 17 | Brain Type: TotallyRandom | Fitness: 0,270987 | BrainData : 1,381404;-4,218365;2,896462;2,942185;2,313914;-4,852437;2,842939;1,490416;3,548836;-1,848838;-0,2614145;2,993197;0,2961154;4,642255;2,14529;-2,481392;-1,710715;1,872526;-3,463097;-4,29368;1,600664;-4,76025;2,706259;-2,809696;-4,67034;-3,128652
Index: 30 | Name: car 16 | Brain Type: TotallyRandom | Fitness: 0,2698668 | Bra
