Generation: 69 | maxFitness: 1,978992 | maxFitnessGen: 1,682395 | maxFitnessGenBuf: 1,519669
N TotallyRandom: 10 | N RandomParents: 10 | N Top2: 10 | Min Mutation: 0,5

Index: 14 | Name: car 2 | Brain Type: RandomParents | Fitness: 0,9388444 | BrainData : 1,716829;2,744815;3,364918;-2,590946;-2,299429;0,894576;-1,122081;-4,873586;-3,132534;1,363876;-3,376832;2,63814;-1,924749;2,916145;4,024907;-2,436456;-3,562049;0,5822721;-1,34507;-2,78053;-1,25059;0,1800002;1,220284;5,002271;-0,5734475;3,797246
Index: 15 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,8795266 | BrainData : 1,667646;2,722229;3,285779;-2,597906;-2,379375;0,8494344;-1,191478;-4,91123;-3,151175;1,328123;-3,31914;2,648623;-1,872832;2,985936;3,96625;-2,415037;-3,616707;0,5854955;-1,341377;-2,848779;-1,257529;0,2533908;1,249313;4,959546;-0,5545599;3,752558
Index: 16 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,8677165 | BrainData : 1,717381;2,712658;3,334284;-2,583567;-2,331407;0,8394229;-1,130498;-4,876453;-3,143739;1,290482;-3,31914;2,607845;-1,955452;2,986434;3,963867;-2,459229;-3,585989;0,629068;-1,331669;-2,835033;-1,228336;0,2365738;1,214674;4,930746;-0,6068593;3,750499
Index: 17 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,73976 | BrainData : 1,652497;2,729195;3,388485;-2,528254;-2,384;0,8989504;-1,141845;-4,853508;-3,178283;1,287829;-3,316647;2,612946;-1,885131;2,985936;3,999837;-2,492704;-3,543068;0,5796261;-1,33842;-2,84547;-1,228671;0,2506863;1,260575;4,929131;-0,5453421;3,761535
Index: 18 | Name: car 17 | Brain Type: TotallyRandom | Fitness: 0,5741658 | BrainData : 1,900764;-2,587519;2,524693;-2,879366;4,406387;3,878021;-0,0381856;-4,844465;0,1985474;3,729786;-1,745625;1,908501;-3,729338;3,971527;-2,613816;-1,443866;-3,106318;-1,360983;-3,040403;3,902246;-0,1811199;-3,960352;-4,770226;-0,3539805;-0,8912187;-0,3389783
Index: 19 | Name: car 16 | Brain Type: TotallyRandom | Fitness: 0,3131216 | BrainData : -2,624899;-2,932508;4,346762;-0,7526736;-2,868682;1,599341;-4,382282;0,4482608;0,3271656;0,4334087;1,588739;1,901886;-1,721038;-4,658649;1,265396;4,819165;4,637924;0,2145247;2,860585;-1,549811;-2,485444;-2,220831;-4,439129;1,185768;3,894346;0,0468545
Index: 20 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,3125633 | BrainData : 0,4730172;2,097276;2,501843;2,251457;-0,6446452;-0,9984403;1,653554;-1,188241;-2,369937;-3,198133;3,954324;-3,37768;2,905556;-3,620425;0,5531425;4,561548;-2,832766;-1,123188;-2,50852;-0,7594137;3,252202;2,511487;1,354474;-2,516366;1,402849;-4,363697
Index: 21 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,3085261 | BrainData : 1,616175;3,378489;0,4007534;3,569168;2,147409;0,4511538;-4,306353;-1,027949;-2,212695;-1,988055;-3,989261;3,401211;4,841578;4,651507;-1,661458;-2,884941;-4,085327;-1,034091;-3,541213;4,267954;-0,5804974;-0,6214647;-3,757597;2,867124;1,58692;2,22661
Index: 22 | Name: car 15 | Brain Type: TotallyRandom | Fitness: 0,3067644 | BrainData : 0,819294;1,114451;-4,852325;3,808281;-2,798695;-1,110783;-1,11635;2,815467;4,749311;-2,452052;-2,901719;-1,529996;-0,9158225;-4,290439;0,1350741;-2,131385;-3,463353;2,062486;-3,959142;4,054183;2,655283;1,608324;-3,228681;-2,677523;2,779438;-1,153553
Index: 23 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,3062143 | BrainData : -1,92871;-0,1445203;3,753673;-0,3056927;-2,976782;-4,650869;-3,821765;-3,50045;3,030852;3,025672;-3,060318;-0,1728029;1,281345;-4,267388;3,370211;1,184165;-0,8861966;0,1950736;-0,3931971;-2,149268;0,209866;-4,794184;1,65364;1,062775;4,387155;-1,000511
Index: 24 | Name: car 14 | Brain Type: TotallyRandom | Fitness: 0,2821214 | BrainData : -0,7667212;-0,9438663;4,349847;-2,586316;2,599356;-4,146208;2,885447;-0,5529017;-2,523712;-1,39756;-2,969083;1,22598;-4,825543;-1,879334;-4,441414;3,841226;1,921723;-2,143283;-3,06983;-1,656166;-3,412531;3,888925;1,040568;2,897011;2,86135;1,081008
Index: 25 | Name: car 11 | Brain Type: TotallyRandom | Fitness: 0,2817827 | BrainData : 4,010421;-2,35822;-3,267567;2,13133;-1,904524;3,763227;-1,476753;-4,153561;-1,890947;0,7009048;0,02305937;-3,588594;-4,091004;0,5662937;1,099532;-2,710196;0,7696075;-2,303439;2,591766;4,084003;3,889203;-1,302948;-0,6784077;4,081842;3,224164;2,244505
Index: 26 | Name: car 13 | Brain Type: TotallyRandom | Fitness: 0,2755908 | BrainData : -0,8585243;0,9119148;4,654936;-4,487053;4,958677;-1,001305;0,7599907;-2,714177;-2,836298;2,948289;-0,4659324;-3,861499;4,470699;4,666586;0,6278677;-1,357689;-3,37964;1,254111;-4,918222;3,453188;-3,592086;-0,9189577;3,300367;-4,357742;-0,8347588;0,3345842
Index: 27 | Name: car 18 | Brain Type: TotallyRandom | Fitness: 0,2207181 | BrainData : -0,6149216;3,016602;0,9322615;-4,433035;-1,486905;0,8581324;-4,798356;-3,409117;-0,5509858;0,1486702;-1,640496;-2,578636;2,158988;2,434486;-1,484811;-3,11625;0,8368154;-3,701705;2,374718;-3,63582;3,257045;4,03306;-4,325365;-1,455052;-2,067476;0,7600503
Index: 28 | Name: car 19 | Brain Type: TotallyRandom | Fitness: 0,2164069 | BrainData : 0,4615898;-2,222627;0,9931951;4,020833;-2,276318;-4,656488;0,1934152;1,582773;3,000556;-1,031217;-2,882052;-4,91407;-1,226406;2,614011;1,455668;-1,606812;4,016588;3,591323;-4,157248;-0,929256;-4,371123;2,357183;4,760524;-0,3957539;-4,08482;2,098042
Index: 29 | Name: car 30 | Brain Type: RandomParents | Fitness: 0,2149359 | BrainData : 3,984913;-2,76718;2,944031;-2,70502;4,808759;2,375891;2,816988;1,226564;-4,596508;-0,3656225;-2,724542;1,526334;-2,143263;-3,277935;-2,856721;2,117326;2,745513;-4,774309;-2,721806;3,499217;2,56671;2,557168;4,215631;4,806253;-3,025403;2,796433
Index: 30 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,2148854 | BrainData : 
