Generation: 40 | maxFitness: 1,960886 | maxFitnessGen: 1,682632 | maxFitnessGenBuf: 1,75107
N TotallyRandom: 10 | N RandomParents: 10 | N Top2: 10 | Min Mutation: 0,5

Index: 0 | Name: car 21 | Brain Type: TOP2 | Fitness: 1,75107 | BrainData : 1,662879;2,640908;3,299843;-2,721395;-2,471067;0,8150892;-1,186514;-4,707701;-3,224494;1,33873;-3,520178;2,663249;-1,865998;3,176183;4,141226;-2,453208;-3,508946;0,5950938;-1,219438;-2,781365;-1,31783;0,2388826;1,240739;4,889096;-0,5883425;3,737271
Index: 1 | Name: car 23 | Brain Type: TOP2 | Fitness: 1,750657 | BrainData : 1,662879;2,652424;3,301017;-2,721395;-2,482115;0,8062243;-1,195476;-4,726068;-3,258651;1,33873;-3,560694;2,596212;-1,904277;3,14098;4,141226;-2,495841;-3,481586;0,5950938;-1,272595;-2,776705;-1,31783;0,2098168;1,240739;4,863067;-0,5883425;3,704243
Index: 2 | Name: car 24 | Brain Type: TOP2 | Fitness: 1,749442 | BrainData : 1,688026;2,644713;3,23048;-2,755155;-2,515646;0,7846045;-1,15329;-4,707701;-3,189372;1,346428;-3,520178;2,624732;-1,936188;3,162543;4,123467;-2,495841;-3,492814;0,5960523;-1,269517;-2,746524;-1,31783;0,2162336;1,222207;4,863067;-0,5950103;3,737271
Index: 3 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,748096 | BrainData : 1,627955;2,640908;3,323745;-2,686407;-2,47596;0,8687167;-1,195476;-4,682675;-3,243661;1,33873;-3,520178;2,661985;-1,898521;3,188687;4,141226;-2,495841;-3,482111;0,5950938;-1,229839;-2,776705;-1,35242;0,3068685;1,240739;4,863067;-0,5883425;3,757568
Index: 4 | Name: car 25 | Brain Type: TOP2 | Fitness: 1,717328 | BrainData : 1,662879;2,640908;3,278497;-2,721395;-2,471067;0,8226153;-1,195476;-4,66579;-3,224494;1,33873;-3,520178;2,582081;-1,862329;3,203359;4,159292;-2,495841;-3,468332;0,6450248;-1,229839;-2,805715;-1,317909;0,2589256;1,240739;4,863067;-0,5883425;3,737271
Index: 5 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,694107 | BrainData : 1,645867;2,64262;3,3079;-2,731385;-2,512201;0,8169962;-1,212943;-4,707701;-3,221699;1,33873;-3,558807;2,627781;-1,893636;3,188687;4,213849;-2,481737;-3,479689;0,6037428;-1,211047;-2,780783;-1,239582;0,2589256;1,211001;4,858845;-0,5883425;3,739404
Index: 6 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,685202 | BrainData : 1,673607;2,640908;3,278497;-2,759424;-2,447159;0,7953621;-1,195476;-4,707701;-3,204271;1,314648;-3,520178;2,627781;-1,904277;3,217494;4,164093;-2,495841;-3,468332;0,5950938;-1,18767;-2,79533;-1,31783;0,2580374;1,270876;4,8714;-0,5883425;3,737271
Index: 7 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,671284 | BrainData : 1,662879;2,664007;3,278497;-2,728328;-2,423553;0,8323859;-1,195476;-4,667456;-3,227237;1,33873;-3,520178;2,627781;-1,904277;3,188687;4,141226;-2,495841;-3,487634;0,5950938;-1,229839;-2,776705;-1,31783;0,2589256;1,27192;4,863067;-0,5805383;3,737271
Index: 8 | Name: car 14 | Brain Type: TotallyRandom | Fitness: 1,570249 | BrainData : 1,652161;0,756876;-0,9553714;-4,560602;-1,741814;1,13691;3,823413;-4,24326;-1,729091;3,869257;0,6521111;2,282472;3,224801;0,7675095;0,2865715;-2,00849;-4,327655;-0,9007163;3,824116;2,107806;-3,278595;0,374517;1,129513;0,3856974;0,8813958;-1,609285
Index: 9 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,543442 | BrainData : 1,67403;2,63148;3,278497;-2,721395;-2,471067;0,8323859;-1,195476;-4,749461;-3,235934;1,297698;-3,518933;2,668215;-1,876808;3,144196;4,141226;-2,495841;-3,4467;0,6107644;-1,237662;-2,767044;-1,282712;0,2091347;1,240739;4,832578;-0,5883425;3,760127
Index: 10 | Name: car 22 | Brain Type: TOP2 | Fitness: 1,497257 | BrainData : 1,662879;2,657507;3,300576;-2,721395;-2,484542;0,8323859;-1,190211;-4,713943;-3,254676;1,325204;-3,520178;2,627781;-1,904277;3,188687;4,16498;-2,495841;-3,496202;0,551338;-1,229839;-2,776705;-1,31783;0,2333034;1,240739;4,863067;-0,5688018;3,709794
