Generation: 10 | maxFitness: 0,3362008 | maxFitnessGen: 0,316058 | maxFitnessGenBuf: 0,3176902
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,3176902|-0,6360083;-1,602261;4,503757;3,213434;-1,709609;-2,292664;1,523497;1,766196;3,223995;-4,615129;3,352495;-0,5182724;-4,923826;-2,400655;0,1481444;-1,539915;3,640785;-3,110569;-0,9994463;3,082017;0,3700752;-2,676351;1,604175;3,043467;-1,879707;1,737777;3,254879;-1,930584;-4,213429
1|RandomParents|0,2642001|-0,37796;-1,522822;4,739516;3,672457;-2,051169;-1,62394;2,00333;1,471694;3,792547;-4,600762;4,344803;0,02882126;-4,831689;-1,748027;0,5939957;-0,8704695;3,983036;-3,866351;-0,221647;3,471036;0,3973261;-1,985878;1,719831;3,796826;-3,095666;2,586449;3,056916;-2,599963;-4,349288
2|RandomParents|0,2497614|0,1750634;-1,120549;5,682822;3,727827;-1,270608;-1,476774;2,103336;1,14112;3,764614;-4,255552;3,969763;-0,09229544;-4,420043;-1,637843;1,326906;-0,704636;4,366284;-3,594224;-0,6807304;3,535653;-0,04184538;-2,036944;1,012086;3,658634;-2,620393;2,028371;3,527879;-2,468105;-4,236605
3|RandomParents|0,2439909|-0,6360083;-1,602261;4,782792;2,329718;-1,258045;-1,535909;1,570074;2,23183;3,223995;-4,751732;2,812257;-0,5182724;-5,09552;-2,400655;0,3490997;-1,699595;3,898349;-3,204297;-1,047857;3,082017;0,3700752;-2,893398;1,673137;2,566201;-2,282477;2,093424;3,254879;-1,620275;-4,334153
4|RandomParents|0,2403447|-0,6360083;-2,016325;4,503757;2,823075;-1,258045;-1,856515;1,262321;1,930083;3,670941;-4,491876;2,587384;-0,5182724;-4,923826;-2,512576;0,5373912;-1,893808;3,91653;-3,260087;-1,405468;3,082017;0,3700752;-2,893398;1,748034;3,005216;-2,282477;1,910959;3,254879;-1,849957;-3,583395
5|RandomParents|0,2341623|-0,6360083;-1,602261;4,503757;2,823075;-1,258045;-1,856515;1,589106;2,248344;3,223995;-4,751732;3,063538;-0,5182724;-4,923826;-2,400655;0,5373912;-1,539915;3,640785;-3,13887;-1,033949;3,082017;0,3700752;-2,893398;1,673137;2,866001;-2,282477;2,093424;3,254879;-1,620275;-3,870566
6|RandomParents|0,2283258|-0,8732809;-0,7756402;4,794711;3,559407;-1,557301;-1,759254;1,585201;2,064558;2,949737;-4,363605;1,970535;0,3995224;-4,540149;-2,055169;0,5548694;-1,903312;4,885125;-3,009087;-0,5306752;3,27768;0,1840028;-2,347709;1,753774;4,118191;-3,305455;2,929103;2,903306;-2,265813;-4,661616
7|RandomParents|0,2257595|-1,729092;-1,597392;5,170743;3,99096;-1,094332;-0,9624351;1,857239;1,80742;3,996537;-3,945541;3,310743;-0,2463838;-4,686182;-2,317699;0,6551103;-2,603864;4,298552;-2,211477;-1,091826;2,974082;0,7531527;-1,748089;0,4766179;4,126497;-3,443932;2,369228;2,549282;-1,870783;-3,811436
8|RandomParents|0,2218287|-0,1500284;-1,33381;4,659027;3,515413;-0,873404;-0,8951947;1,917345;1,268507;4,296485;-4,232787;3,015152;0,08742312;-4,244694;-2,668328;0,9446089;-0,5358438;4,688016;-3,268347;-0,6380585;3,50327;1,025795;-1,641525;0,9213593;3,184622;-3,84433;1,988171;3,335147;-1,931262;-4,052604
9|RandomParents|0,2201539|-1,627136;-1,597392;4,517899;3,814156;-1,668005;-0,9644499;1,857239;1,80742;3,996537;-4,644948;3,422693;-0,3980501;-4,369902;-2,708861;0,6416823;-2,716689;3,844842;-2,652053;-0,8441014;3,016509;1,066152;-1,812402;0,6254956;4,126497;-2,949161;2,49624;2,549282;-1,550712;-3,335185
10|RandomParents|0,1929303|-0,3505791;-1,261756;5,187201;3,450072;-2,142914;-1,768156;1,702291;1,675047;3,96762;-3,909367;4,037326;0,02882126;-4,456004;-1,887668;0,88634;-1,871033;4,260186;-3,438005;-0,2474136;3,553629;0,8664614;-1,749518;0,8698775;4,191498;-3,245162;2,73427;2,7445;-2,542372;-4,296156
11|RandomParents|0,1246818|-1,374934;-1,845499;5,789624;2,769777;0,3755612;-1,097877;1,356517;2,069334;1,820254;-5,027669;3,480305;-0,6468056;-4,926446;-3,657894;0,9325408;-1,606565;2,847545;-4,267604;-1,413608;2,880252;1,00798;-2,56682;0,8018066;1,917907;-2,445941;2,688342;3,253244;-1,458577;-3,068443
12|RandomParents|0,122264|-0,5530514;-0,8566475;4,659027;3,515413;-1,258045;-1,139028;1,634218;1,687922;4,296485;-4,67229;2,878916;-0,1457531;-4,638396;-2,856152;0,9446089;-0,8802329;4,77637;-3,268347;-0,9279901;3,50327;0,8506295;-1,852759;0,8785241;3,453302;-3,992983;1,802765;2,972412;-1,680605;-3,884109
13|RandomParents|0,1140584|-0,9722857;-1,673963;5,877894;2,82355;-0,03096798;-1,727325;1,719741;1,346306;2,63118;-5,014568;2,931079;-0,6468056;-4,844281;-3,339597;1,001677;-1,174719;3,537429;-3,703739;-0,6416374;2,590909;1,30814;-2,731524;0,6594911;2,393313;-1,865803;1,877072;2,175242;-2,056556;-3,347814
14|RandomParents|0,1117165|-1,192345;-1,200013;4,228888;2,97432;-1,548611;-0,4915586;2,500446;1,874116;3,88009;-3,578083;3,637421;-0,3207909;-5,325978;-2,499846;0,7841437;-1,091059;5,186552;-3,268347;-0,4020669;3,5971;0,2887435;-1,318447;1,383969;3,44558;-3,578994;2,065027;3,764872;-2,173166;-3,87397
15|RandomParents|0,1087912|-3,166131;2,506562;-2,38515;-4,195761;-0,9350141;3,727621;1,102026;1,070992;-0,8835698;-2,87811;2,413701;2,060412;1,706856;5,352447;1,758135;-1,875647;2,58858;-1,941958;1,587404;-2,918759;-2,811671;-3,617398;0,5573432;-0,6422706;0,3168021;3,790725;-2,372582;2,510422;-4,754623
16|RandomParents|0,1041779|-0,6715016;1,540589;4,00637;-2,953138;3,443145;1,406866;-0,1226353;-5,945639;4,552246;-2,738759;2,52455;-2,915537;-0,01174015;-3,778082;3,439355;1,15116;1,839401;-1,795152;-0,4459893;-1,25141;2,591416;4,151118;-1,380617;-0,6068835;-2,951201;2,367995;-4,071851;-5,138582;-0,5070017
17|RandomParents|0,1038946|-1,04894;-1,673963;5,877894;3,146758;-0,1107597;-1,960466;2,207341;1,657383;2,999128;-4,993966;3,325738;-0,6468056;-4,434836;-3,25058;0,9325408;-1,046665;3,537429;-3,703739;-0,2608048;2,663086;1,040949;-2,731524;0,8179965;2,393313;-2,317433;1,877072;2,466485;-2,056556;-3,105681
18|RandomParents|0,1014318|-3,716096;-2,6641;4,904831;3,406602;4,957113;-0,08636427;-1,44768;-1,044865;-3,57862;-4,416078;1,231272;2,354711;0,05268764;-0,4475446;1,394562;-4,101653;3,231655;-2,384517;-0,377223;-2,880897;-3,177332;-0,4971771;-2,569375;-0,1213486;2,995289;-3,452487;-2,577281;1,814337;-0,3821125
19|RandomParents|0,1004621|-0,1363493;1,219535;4,336851;-2,131921;3,175258;1,015397;-0,0835577;-5,862227;3,757931;-1,845457;3,316453;-3,66207;0,2903143;-3,903119;3,052574;1,020608;1,43351;-1,342303;0,09208438;-1,08398;3,121443;4,479112;-1,391655;-1,041655;-2,815063;2,95424;-4,240294;-5,070222;-1,05533
20|RandomParents|0,09594227|-3,716096;-2,71742;4,550452;3,654005;4,474966;-0,486511;-1,144835;-0,6921939;-3,147079;-3,923192;1,65518;2,354711;0,05268764;-0,430382;1,04474;-4,101653;3,21505;-2,29751;-0,6675923;-2,817641;-3,529824;-0,4971771;-2,327601;-0,1995463;3,216882;-3,452487;-2,953566;2,132246;-0,2611117
21|RandomParents|0,09178978|-1,943506;4,741659;-3,808381;1,513841;-2,590052;2,161235;0,9946986;-3,47819;2,447816;-0,5573845;0,8076112;-2,38085;-5,097256;2,465695;-0,01267478;-3,277493;-3,132541;-0,2208341;0,2196477;-0,1991563;3,224744;-1,080659;0,7205782;2,291904;-2,251347;-2,374088;4,130731;4,654333;-4,481761
22|RandomParents|0,08060963|-1,390928;4,433585;-3,847345;0,8681959;-1,336317;3,213526;1,657308;-4,262348;2,945513;-1,37753;1,549642;-3,105966;-4,485438;2,984585;0,365877;-3,300141;-2,920131;0,1484412;-0,06917584;-0,1661356;4,126966;-0,2471599;-0,1877708;2,92821;-2,003901;-2,47222;3,939994;4,023093;-4,899425
23|RandomParents|0,07334996|-0,6715016;1,789174;3,900955;-3,223169;3,686398;1,069288;0,07031886;-5,945639;4,425103;-2,738759;2,52455;-3,150539;-0,01174015;-3,778082;3,476448;1,15116;1,561359;-1,795152;-0,4459893;-1,215397;2,271025;4,151118;-1,380076;-0,1594623;-2,94656;2,367995;-3,699854;-5,528049;-0,5474808
24|RandomParents|0,04714233|-4,368234;3,684808;2,188273;4,792107;-1,930113;5,316605;-3,349078;-1,040655;0,9864832;-3,680321;-1,337578;3,329276;2,724049;-3,420517;-2,212035;-3,13361;-2,912997;-2,671526;-1,233036;-4,799612;0,4813311;0,2640322;-1,041464;3,23961;5,521247;-3,983176;0,4418221;-4,635756;0,4598703
25|RandomParents|0,04307877|-4,368234;3,914347;2,309378;4,67817;-1,906154;5,473477;-3,602727;-0,6599092;0,6436355;-3,218049;-1,006918;3,341324;2,76404;-3,694472;-2,687257;-3,090048;-3,088233;-2,671526;-1,74113;-4,276504;0,9327892;0,3028506;-1,521572;3,23961;5,454151;-3,983176;0,1123326;-4,816046;-0,2269678
