Generation: 18 | maxFitness: 0,4117483 | maxFitnessGen: 0,2611576 | maxFitnessGenBuf: 0,2494375
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
17|RandomParents|0,09217793|1,167423;-1,378168;-2,464386;2,0715;-0,7135563;-2,270272;2,531508;0,125432;-0,8082969;1,840612;0,1234085;1,270675;-3,332233;-4,090444;4,697826;-2,074698;-5,035256;4,741076;0,3954587;-2,606073;-2,78662;-2,364878;2,219045;3,985429;2,143148;-1,103774;-1,238608;1,117862;-2,313317
18|RandomParents|0,09107017|-0,908676;-2,011003;5,610975;3,081895;-0,1606593;-2,89944;1,721502;3,018446;3,932827;-4,845944;2,341891;-0,2684203;-5,329247;-2,84412;0,9449135;-0,8537476;3,314239;-2,000427;-1,604281;3,394567;0,1760154;-2,428669;1,57262;4,552869;-2,721022;1,719405;3,360087;-0,9318124;-3,710859
19|RandomParents|0,08871392|-0,837326;0,6808369;4,407005;-1,704456;2,779691;1,000473;0,2608068;-6,139565;3,417603;-2,466648;3,619192;-4,8449;0,4527177;-4,809813;3,189783;0,24173;1,16162;-0,5452838;-0,356332;-0,7806383;3,340486;5,068479;-1,53983;-0,6588338;-2,592688;2,031855;-5,065783;-4,368162;-0,7906278
20|RandomParents|0,08813033|0,1994065;-2,116376;5,015099;3,468333;-1,377877;-0,9245886;1,322204;1,560402;4,213084;-3,366937;4,258097;-0,1085683;-4,562036;-2,685527;1,301014;-2,758842;4,489487;-3,821491;-0,7219114;4,222624;1,702801;-1,059124;1,511043;4,253047;-2,996792;2,448168;2,549434;-3,410104;-4,453043
21|RandomParents|0,0878909|-0,8145714;-1,142815;5,278723;2,954163;0,3228727;-0,9887688;1,381962;1,154485;1,71777;-4,992249;4,251125;-1,886046;-4,759184;-2,773568;1,298929;-0,7636896;2,025337;-3,808373;-1,900771;2,526946;0,458173;-2,958107;0,7429185;2,189362;-2,855903;1,828601;2,181474;-1,072556;-2,825995
22|RandomParents|0,08721482|-0,837326;0,3059456;3,896711;-1,66274;2,779691;0,6873391;-0,09779882;-6,473016;3,417603;-2,338295;3,106643;-4,400023;0,1073108;-4,750172;3,402238;0,24173;1,16162;-0,4516825;-0,356332;-0,7806383;3,29519;5,068479;-1,982092;-0,9228619;-2,815063;2,098316;-4,195328;-4,744804;-0,590315
23|RandomParents|0,08653628|-0,6032555;0,432064;4,149199;-2,283951;3,131901;1,125901;-0,2873012;-5,489098;4,094183;-1,840399;2,65754;-3,431446;0,9217752;-4,523532;4,20125;0,6824071;0,8117534;-1,192415;0,1781628;-1,175;3,325135;5,38618;-1,939375;-1,203503;-2,570899;2,034376;-4,590177;-4,243906;-1,399987
24|RandomParents|0,08520055|-0,4674001;0,4289977;4,097881;-2,04604;3,161247;0,8708137;-0,1497803;-6,48672;4,295296;-1,382763;2,792863;-3,886293;0,3975463;-4,705249;3,402238;0,4296099;0,6215166;-0,4875642;0,646848;-0,728368;3,622454;5,130785;-1,660469;-1,544417;-2,018334;1,854968;-4,737724;-4,653934;-1,666771
25|RandomParents|0,08447821|-0,7826185;2,333583;4,445457;-4,058764;0,8195087;-2,114371;-3,391288;0,8699061;-3,834084;-0,4053958;3,561088;0,7485955;1,968731;-0,8265958;-1,0952;-4,250405;-1,445299;-1,527331;2,487318;-2,653732;0,5453542;-3,006855;3,359514;3,751831;-0,9784239;-3,549003;-2,177168;-2,110108;1,893001
26|RandomParents|0,08004749|-0,9787748;2,238115;4,095983;-3,330714;0,3323455;-1,643566;-3,823461;0,576833;-2,684644;-0,05139667;3,075758;0,7485955;1,427385;-1,177117;-1,068088;-4,103484;-1,445299;-1,672094;2,229917;-3,037956;0,9326904;-2,614634;4,243898;4,150719;-0,5112721;-4,55031;-2,046963;-1,662029;1,545183
27|RandomParents|0,07836771|-0,6906854;0,9143391;4,360458;-2,04604;3,131901;0,8718773;-0,3028497;-5,982942;4,49626;-1,382763;2,65754;-3,669265;0,9217752;-4,523532;3,884708;0,4296099;0,7492005;-1,168039;-0,05569549;-0,9823358;3,500146;5,08165;-1,939375;-1,488898;-2,570899;2,15534;-5,398866;-4,174911;-1,399987
28|RandomParents|0,07669542|-0,7826185;2,300731;4,382341;-3,733197;0,9206362;-1,537238;-3,706336;0,8699061;-3,363165;-0,05139667;3,98853;1,047358;1,878131;-0,8265958;-1,0952;-4,493372;-1,042327;-1,527331;1,966525;-2,653732;0,8213068;-3,320336;3,680439;3,751831;-0,7704254;-4,1125;-2,343627;-1,933776;1,587302
29|RandomParents|0,05623465|-4,807174;2,912037;1,95079;4,689094;-1,693409;5,748954;-3,512045;-0,3985716;0,6672122;-3,692083;-1,239983;3,652281;3,36192;-3,756865;-2,581524;-1,788;-2,855767;-2,350481;-1,063401;-5,102918;-0,3826009;0,02723755;-1,640058;2,923874;5,173581;-3,894688;1,09945;-3,679282;0,1345904
30|RandomParents|0,03822836|-3,514267;3,05565;1,742003;5,293424;-1,398005;5,988409;-3,771054;-1,059393;1,111074;-3,570719;-1,605429;3,443837;2,58046;-3,887293;-1,620515;-2,458005;-2,690521;-1,84594;-1,303399;-5,406197;0,2410792;-0,3132185;-1,566681;3,185476;5,193892;-4,325571;1,16228;-3,416751;0,775399
31|RandomParents|0,0314844|-0,7536634;-1,151882;5,239109;3,335379;1,936772;-0,1984663;0,9032036;2,279419;1,966172;-4,610848;3,821242;-1,790243;-6,07569;-4,078028;0,8531215;-0,5113147;4,344218;-4,836152;-1,159814;2,748751;1,09499;-1,970298;0,9972086;1,869875;-1,637928;1,793461;3,105731;-1,98218;-1,893364
32|RandomParents|0,02910877|-0,2203435;-2,419724;5,362182;3,764852;-1,461397;-1,360521;1,685666;1,841303;3,833963;-3,60284;4,020791;0,2545935;-4,57551;-2,685527;1,060122;-2,872214;5,014148;-4,146398;0,09423557;4,30714;0,9337593;-1,493959;1,792236;4,053982;-3,702718;2,711803;2,549434;-3,091873;-4,300335
33|RandomParents|0,02292843|1,124141;-1,551601;-1,828752;2,535457;-0,7541605;-2,279901;2,436775;-0,04047079;-0,7696159;1,47422;-0,04041448;1,222527;-3,725673;-4,579165;4,697826;-1,51972;-4,196968;4,741076;0,4485146;-2,567107;-2,78662;-2,658971;2,718978;3,985429;1,906053;-1,308724;-1,086936;1,051963;-1,96967
34|RandomParents|0,02268131|-0,5717216;-2,237836;5,199316;3,755727;-1,363863;-1,062819;1,225938;0,9150021;3,217119;-3,009562;3,858984;0,05271485;-4,231343;-2,584877;1,239057;-3,300282;5,36332;-3,886321;-0,9987664;3,836353;1,749927;-1,47274;1,040793;3,965469;-3,91256;2,616095;2,195581;-3,43852;-4,553356
35|RandomParents|0,02260638|-0,745344;2,63523;-0,4604949;1,495461;0,4482393;1,467428;0,09884706;-4,175042;-3,283759;-2,249684;0,5998726;5,098038;2,881539;-3,037333;1,435371;0,5789561;-1,817313;2,660626;2,673458;-4,013773;4,07579;-4,389315;3,899531;-3,798384;-4,4171;-2,124626;0,9125953;1,853363;-1,274945
36|TotallyRandom|0,01801328|-2,111969;-2,39582;-2,05755;-1,083093;-4,976295;-0,4634662;-0,1356788;-1,235666;-0,6876369;0,2009587;-4,054596;0,6071119;-4,192958;-4,481346;-2,359144;-4,008892;1,038036;-0,7484918;-1,265568;0,9991975;4,457565;-0,4614263;3,256174;3,358301;-2,448528;1,239757;1,922675;0,4035001;4,40225
37|RandomParents|0,01660936|3,178336;-0,3707453;0,9599715;-2,220025;4,00338;-0,2879514;3,51242;2,694963;2,303422;-1,021555;2,515612;-1,291941;-1,038479;-1,159056;2,015489;-4,503735;4,260266;-0,1141115;0,5175607;-4,268618;3,454649;0,8016699;0,116047;-2,763986;2,925637;1,688504;-3,798543;3,657498;1,865641
38|RandomParents|0,01595545|2,478688;2,291016;-2,370678;4,144765;3,3842;-0,5865445;5,039211;4,355944;2,06165;-0,3009244;2,329533;2,798594;3,678959;-1,311968;1,596681;0,7428524;-0,3083557;-3,859873;-5,480114;3,607052;-3,069154;4,583557;-1,596513;3,429498;0,1175734;2,80616;1,102969;0,07308194;1,932316
39|RandomParents|0,01595043|0,6990169;-4,055813;-1,04318;-4,284843;2,19254;4,132854;3,19687;0,8061085;4,796999;2,896997;3,405579;-3,044937;-3,674797;0,7860661;-0,3779285;0,2716397;-4,260113;2,020789;2,685092;-0,4435076;-1,11837;-2,494053;-5,204027;-2,71785;3,04747;3,920141;4,90821;-0,8763275;-4,890128
40|RandomParents|0,01595036|0,6990169;-4,055813;-1,49157;-4,284843;2,470408;4,231595;3,351207;0,4692099;4,796999;2,507299;3,407947;-3,044937;-3,674797;0,7860661;0,02199447;0,6994822;-4,260113;2,265221;2,685092;-0,2827798;-1,163936;-2,494053;-5,204027;-3,124945;3,667195;3,920141;4,90821;-0,6995594;-4,697234
41|RandomParents|0,01595014|1,17143;-4,02047;-1,569818;-4,32793;1,9735;4,371904;3,19687;0,4195143;4,796999;2,13145;4,378949;-2,770556;-3,920801;0,885164;-0,1082337;0,5434216;-4,436588;2,56199;2,685092;-0,1799219;-1,163936;-2,615827;-5,342758;-3,177691;3,266702;3,599152;5,237746;-0,6877893;-4,417562
42|RandomParents|0,0143286|-4,852858;-3,95245;-4,418379;-4,439851;2,854751;-1,528466;-3,684827;-0,9265323;1,207207;-4,417904;2,217276;-3,063636;-2,917518;-2,428051;3,536254;0,4243903;-4,210739;1,178295;0,7066135;-2,032134;1,760177;3,305231;1,051692;2,341461;-4,40833;-3,282495;-3,914564;4,212854;-3,454014
43|RandomParents|0,01204206|4,608586;1,308042;0,2762396;-2,867156;-4,236223;-0,8614362;-4,001403;2,498722;-4,925358;-3,872411;-3,135002;2,745479;-2,367178;-4,182701;-5,518114;0,07751065;-1,291976;-1,972419;-1,114853;-2,153534;-3,579679;0,5759764;-4,074408;-2,302103;-2,340255;-4,567707;-3,981976;-4,717814;-3,154312
44|RandomParents|0,01203858|4,220578;-1,369761;0,9413008;-2,052377;-4,278995;0,3598056;-3,800924;3,012778;-3,671054;-2,873983;-3,41566;1,581191;-2,361805;-4,388956;-5,018987;-1,413771;-0,3105506;0,2919898;-0,3692769;-1,169024;-4,074871;2,036969;-5,486957;-0,6046715;-2,090349;-4,604077;-4,727206;-3,822965;-3,990048
45|RandomParents|0,0120276|4,50001;-1,138567;0,9413008;-2,079467;-4,278995;0,3598056;-3,6316;2,545335;-3,671054;-2,981961;-3,517093;1,200682;-2,361805;-4,33935;-5,335656;-1,756596;-0,3105506;0,3029586;0,1088547;-1,169024;-4,074871;2,454995;-5,826399;-0,8249017;-2,339149;-4,429774;-5,101133;-3,763554;-3,884962
46|RandomParents|0,01200789|3,51703;0,6853826;0,5864631;-1,157659;-4,318229;-0,5781711;-4,027904;2,039874;-5,30022;-4,207478;-3,182025;2,468807;-2,508753;-3,665693;-3,659664;0,1740987;-0,8799586;-1,909309;-1,118444;-2,456201;-4,087819;1,45947;-3,481518;-1,661426;-1,783602;-4,108852;-3,593275;-4,839631;-3,875527
47|RandomParents|0,01198549|3,974015;-0,04649554;0,6310171;-1,842186;-3,850383;-0,6375127;-4,28487;1,274982;-5,193979;-4,1025;-3,071169;2,048173;-2,72039;-3,771677;-4,388088;0,03075735;-1,256608;-1,935422;-1,235188;-2,421368;-3,966011;1,258292;-3,910608;-1,607635;-1,835654;-3,300624;-4,122978;-4,839631;-4,332008
48|RandomParents|0,01197679|3,974015;0,1679954;0,6310171;-1,400131;-3,850383;-0,9904885;-5,083181;1,274982;-5,530765;-4,1025;-3,225055;2,404396;-2,72039;-3,589256;-4,091023;-0,1079325;-0,8799586;-2,19845;-1,387089;-2,680502;-4,248106;1,290235;-3,890056;-1,877472;-1,951154;-3,300624;-4,122978;-4,839631;-4,083719
49|RandomParents|0,01197209|3,974015;0,2377881;0,5864631;-1,524767;-3,66405;-0,1567271;-4,47554;2,0984;-5,092181;-3,915293;-2,961798;2,508598;-2,372527;-4,262199;-4,30681;0,7156692;-1,051846;-2,184888;-0,9980673;-2,45684;-3,837575;2,078928;-3,935316;-1,456897;-1,951154;-3,575885;-3,63801;-4,815169;-4,028775
50|RandomParents|0,01197159|3,974015;-0,2496369;0,4739597;-0,9700959;-3,673877;0,1673282;-4,224754;2,133335;-5,057308;-4,409677;-2,595676;2,768089;-2,305144;-3,911269;-3,894528;0,4694782;-0,9554753;-2,184888;-1,433706;-3,179148;-3,837575;2,136663;-3,506568;-1,756491;-1,636883;-3,868712;-3,64728;-4,839631;-4,028775
51|RandomParents|0,01196753|4,10085;-0,6132375;1,367382;-1,478025;-3,202981;1,018258;-3,650751;3,373434;-3,091104;-3,559874;-2,119157;0,9898869;-1,848391;-5,018595;-6,382754;0,8508962;0,4693438;1,111492;-0,5315459;-1,222418;-4,726038;2,072175;-4,919596;-1,768138;-2,725992;-4,928137;-3,311054;-2,84258;-3,674662
52|RandomParents|0,01196591|4,184669;-1,763993;1,966142;-1,772939;-3,054927;0,6780248;-3,590112;2,952659;-3,814394;-3,393466;-3,096375;0,5290283;-2,100726;-3,672053;-5,637369;-1,555657;-0,3897862;0,8725885;-1,113757;-1,410442;-3,573712;2,497929;-5,333987;-0,6890763;-2,33693;-3,435742;-4,911366;-3,028227;-3,980628
53|RandomParents|0,01195661|4,514716;-0,2232845;0,9076947;-2,031752;-2,932923;0,8206353;-4,02028;3,102114;-2,986127;-2,403976;-2,575729;1,783046;-1,365136;-4,166174;-6,480248;0,9953673;0,4184905;1,083546;-0,6829987;-2,292917;-4,557175;2,173339;-3,800472;-1,880573;-2,786721;-4,928137;-3,456688;-3,695098;-3,79198
