Generation: 499 | maxFitness: 3,670536 | maxFitnessGen: 2,063953 | maxFitnessGenBuf: 2,010599
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 14 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,837305 | BrainData : 0,6103547;1,219626;4,063228;0,6747793;3,385187;-1,093761;4,209231;0,990513;-0,03249615;-0,899833;-3,547376;-4,220138;3,095651;-2,422123;3,964501;-2,885547;4,897726;0,9551922;-1,233291;-4,491464;-1,413286;0,2063517;-1,478435;1,112888;-2,908049;3,795391
Index: 15 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,818453 | BrainData : 0,6087577;1,312929;4,056341;0,5573043;3,316679;-1,085183;4,184623;1,015168;0,01583233;-0,8978316;-3,503056;-4,211657;2,964185;-2,388619;3,900319;-2,917079;4,96324;0,9641907;-1,242802;-4,493808;-1,342528;0,1947932;-1,479143;1,093699;-2,904469;3,797244
Index: 16 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,770179 | BrainData : 0,6506227;1,261849;4,038183;0,646326;3,421391;-1,093761;4,209231;0,9449655;-0,03249615;-0,8559886;-3,598465;-4,269315;3,04679;-2,393203;3,964501;-2,875426;4,881434;0,9955731;-1,233291;-4,511984;-1,347888;0,224015;-1,478435;1,088061;-2,943306;3,795391
Index: 17 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,766976 | BrainData : 0,6077563;1,261849;4,063228;0,6459702;3,380895;-1,108631;4,21844;0,990513;-0,03249615;-0,8559886;-3,576075;-4,173597;3,053466;-2,422123;3,964501;-2,87533;4,873073;0,9551922;-1,233291;-4,46181;-1,372208;0,2231271;-1,492941;1,088061;-2,943306;3,795391
Index: 18 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,757034 | BrainData : 0,6524463;1,261849;4,063228;0,596513;3,343481;-1,091835;4,232537;0,990513;-0,07596236;-0,8559886;-3,552049;-4,250707;3,033078;-2,415937;3,947675;-2,875426;4,849;0,9551922;-1,254367;-4,468265;-1,353934;0,2063517;-1,440221;1,059893;-2,942564;3,795391
Index: 19 | Name: car 5 | Brain Type: RandomParents | Fitness: 1,757003 | BrainData : 0,6335696;1,260866;3,98306;0,604855;3,369543;-1,010978;4,197252;1,020078;-0,02697812;-0,8978316;-3,538965;-4,196792;2,953394;-2,388619;3,98137;-2,836682;4,935009;0,9784902;-1,242802;-4,442705;-1,30952;0,183152;-1,452366;1,084445;-2,918486;3,768861
Index: 20 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,746567 | BrainData : 0,6686807;1,278713;4,063228;0,646326;3,365131;-1,093761;4,23362;0,9730241;-0,05546825;-0,8559886;-3,549943;-4,220138;3,04679;-2,385662;3,9831;-2,875426;4,872122;0,9551922;-1,233291;-4,483929;-1,372208;0,2063517;-1,47962;1,072203;-2,910274;3,795391
Index: 21 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,743819 | BrainData : 0,6506227;1,236892;4,063228;0,6610715;3,420436;-1,093761;4,209231;0,9688413;0,002813641;-0,8559886;-3,549943;-4,245776;3,04679;-2,422123;3,97931;-2,875426;4,881434;0,9484832;-1,233291;-4,479147;-1,372208;0,2063517;-1,497913;1,046708;-2,943306;3,764396
Index: 22 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,738917 | BrainData : 0,6506227;1,284652;4,063228;0,646326;3,380895;-1,093761;4,230113;0,990513;-0,03249615;-0,863897;-3,549943;-4,182151;3,04679;-2,422123;3,916457;-2,875426;4,881434;0,9551922;-1,193188;-4,484047;-1,349195;0,2063517;-1,478435;1,047573;-2,990106;3,830158
Index: 23 | Name: car 34 | Brain Type: TOP2 | Fitness: 1,718182 | BrainData : 0,6506227;1,261849;4,063228;0,646326;3,380895;-1,093761;4,209231;0,9850508;-0,03934473;-0,897797;-3,516014;-4,220138;3,04679;-2,422123;3,961436;-2,829812;4,852815;0,9551922;-1,239075;-4,443007;-1,372208;0,242209;-1,478435;1,088061;-2,904981;3,812249
