Generation: 958 | maxFitness: 3,670536 | maxFitnessGen: 2,441903 | maxFitnessGenBuf: 2,705136
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 29 | Brain Type: TOP2 | Fitness: 2,705136 | BrainData : -2,413395;0,1616507;-1,991914;-0,02238616;-3,352918;4,274734;-0,01185814;3,407806;2,126107;4,556851;0,9645141;-4,758925;-4,380086;2,169412;-2,324863;-3,640509;-0,3328645;-4,376323;4,491764;-0,5016958;-3,86752;-3,258415;2,254646;-2,285969;-1,860802;4,190764
Index: 1 | Name: car 14 | Brain Type: RandomParents | Fitness: 2,704036 | BrainData : -2,432933;0,2066658;-1,99049;0,05867726;-3,346235;4,259309;0,06947337;3,524134;2,171164;4,577683;0,9227366;-4,660651;-4,416579;2,206653;-2,386425;-3,625093;-0,3058736;-4,472093;4,571802;-0,4284405;-3,931106;-3,215146;2,256322;-2,240399;-1,864294;4,200353
Index: 2 | Name: car 42 | Brain Type: TOP2 | Fitness: 2,703949 | BrainData : -2,413395;0,1693801;-2,022292;0,02222941;-3,352918;4,319149;0,0285192;3,407806;2,126107;4,577683;0,9227366;-4,731819;-4,360827;2,190388;-2,335662;-3,629755;-0,3058736;-4,376323;4,535762;-0,4768098;-3,909126;-3,22103;2,254646;-2,281518;-1,845166;4,153984
Index: 3 | Name: car 34 | Brain Type: TOP2 | Fitness: 2,701213 | BrainData : -2,413395;0,183148;-2,036828;-0,007284496;-3,352918;4,318991;0,04901097;3,402637;2,086254;4,577683;0,9305639;-4,779167;-4,360827;2,169412;-2,334091;-3,677361;-0,2661394;-4,376323;4,485972;-0,4768098;-3,876043;-3,258415;2,254646;-2,310952;-1,847886;4,155227
Index: 4 | Name: car 1 | Brain Type: RandomParents | Fitness: 2,645211 | BrainData : -2,355183;0,1630842;-1,994509;0,07044101;-3,365802;4,255421;0,0287936;3,495043;2,145458;4,577683;0,9090931;-4,667663;-4,398351;2,146949;-2,369744;-3,625093;-0,3058736;-4,450129;4,524184;-0,4401961;-3,965566;-3,210768;2,244506;-2,261966;-1,864294;4,188775
Index: 5 | Name: car 27 | Brain Type: TOP2 | Fitness: 2,639372 | BrainData : -2,444043;0,1993691;-2,022292;-0,009909865;-3,352918;4,318991;-0,005051019;3,419412;2,126107;4,606996;0,9227366;-4,758925;-4,381581;2,121946;-2,314835;-3,640509;-0,3472136;-4,376323;4,487808;-0,4768098;-3,876043;-3,233548;2,254646;-2,281518;-1,827711;4,125449
Index: 6 | Name: car 31 | Brain Type: TOP2 | Fitness: 2,565466 | BrainData : -2,413395;0,183148;-2,040197;0,02222941;-3,401935;4,299127;0,0285192;3,407806;2,126107;4,577683;0,9227366;-4,803494;-4,347702;2,169412;-2,29873;-3,65142;-0,3058736;-4,376323;4,485972;-0,4998526;-3,876043;-3,209959;2,24641;-2,281518;-1,847886;4,172987
Index: 7 | Name: car 49 | Brain Type: TOP2 | Fitness: 2,521136 | BrainData : -2,400828;0,1540606;-2,050609;0,05902819;-3,343252;4,318991;-0,02022954;3,373706;2,089251;4,577683;0,8919962;-4,721056;-4,360827;2,169412;-2,319454;-3,671874;-0,2927305;-4,376323;4,485972;-0,4814074;-3,876043;-3,234038;2,254646;-2,281518;-1,822034;4,139211
Index: 8 | Name: car 48 | Brain Type: TOP2 | Fitness: 2,510692 | BrainData : -2,413395;0,183148;-2,022292;0,02222941;-3,317569;4,282692;0,0285192;3,407806;2,168538;4,577683;0,9227366;-4,758925;-4,404989;2,202242;-2,319454;-3,671556;-0,3095783;-4,397603;4,52545;-0,5065697;-3,893634;-3,258415;2,255392;-2,282797;-1,847886;4,201575
Index: 9 | Name: car 32 | Brain Type: TOP2 | Fitness: 2,506042 | BrainData : -2,431302;0,183148;-2,022292;0,06278898;-3,320366;4,312814;0,03281384;3,435448;2,126107;4,577683;0,9227366;-4,799191;-4,360827;2,169412;-2,319454;-3,640509;-0,2953246;-4,376323;4,485972;-0,4891147;-3,876043;-3,258415;2,254646;-2,281518;-1,847886;4,16792
Index: 10 | Name: car 33 | Brain Type: TOP2 | Fitness: 2,505794 | BrainData : -2,413395;0,1373868;-2,022292;0,02222941;-3,352918;4,33837;0,0285192;3,407806;2,126107;4,585373;0,9503444;-4,709978;-4,360827;2,169412;-2,331591;-3,640509;-0,3058736;-4,376323;4,4599;-0,4768098;-3,876043;-3,231763;2,205987;-2,281518;-1,847886;4,111941
Index: 11 | Name: car 47 | Brain Type: TOP2 | Fitness: 2,464218 | BrainData : -2,413395;0,1960137;-2,022292;0,0669888;-3,352918;4,287503;0,0285192;3,430902;2,128984;4,611423;0,9227366;-4,758925;-4,389236;2,169412;-2,319454;-3,640509;-0,3058736;-4,376323;4,485972;-0,4768098;-3,876043;-3,258415;2,235406;-2,234304;-1,838963;4,153984
