Generation: 150 | maxFitness: 3,670536 | maxFitnessGen: 1,610035 | maxFitnessGenBuf: 1,777733
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 10 | Brain Type: RandomParents | Fitness: 1,777733 | BrainData : 1,136198;1,343176;3,530929;0,3717187;3,118033;-0,445497;4,322629;0,5053965;-0,2545519;-1,27459;-3,785798;-3,998131;3,321514;-2,718567;3,676352;-3,216096;4,772598;1,596091;-1,067873;-4,475154;-0,8911738;0,09543152;-1,256319;1,359389;-2,745297;3,978172
Index: 1 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,777617 | BrainData : 1,028061;1,312373;3,480895;0,3343743;3,114999;-0,4503991;4,27914;0,5598528;-0,2170456;-1,247256;-3,785798;-4,025721;3,321929;-2,762112;3,566139;-3,189355;4,723261;1,594715;-1,105021;-4,475154;-0,8472134;0,06116116;-1,196133;1,359389;-2,775161;3,926318
Index: 2 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,765693 | BrainData : 1,139807;1,273527;3,474229;0,3343743;3,084845;-0,3747982;4,283839;0,5380936;-0,2136668;-1,239929;-3,74089;-4,007084;3,305823;-2,762112;3,598564;-3,209689;4,699203;1,634778;-1,111511;-4,430024;-0,8865836;0,03285885;-1,212999;1,379314;-2,762796;3,897479
Index: 3 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,765152 | BrainData : 1,074467;1,269117;3,49854;0,2983364;3,123952;-0,3857205;4,26168;0,5373808;-0,2392528;-1,207042;-3,785798;-4,047129;3,321929;-2,726609;3,566139;-3,207837;4,751428;1,611103;-1,134573;-4,522193;-0,8472134;0,06116116;-1,177961;1,339472;-2,775161;3,88986
Index: 4 | Name: car 2 | Brain Type: RandomParents | Fitness: 1,746642 | BrainData : 1,193245;1,401496;3,498419;0,3021106;3,123034;-0,3514444;4,239443;0,4940744;-0,2897612;-1,290914;-3,810812;-4,005421;3,345497;-2,812913;3,615995;-3,256088;4,730665;1,563269;-1,081194;-4,447714;-0,8820416;0,1102722;-1,182168;1,338646;-2,761305;4,005332
Index: 5 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,7387 | BrainData : 1,099026;1,312373;3,480895;0,3728261;3,123952;-0,3892121;4,27914;0,5540456;-0,2482965;-1,228739;-3,785798;-4,047129;3,321929;-2,757999;3,571521;-3,221556;4,740952;1,643963;-1,105021;-4,475154;-0,8527994;0,02478277;-1,206177;1,39913;-2,775161;3,926318
Index: 6 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,736055 | BrainData : 1,100784;1,346005;3,480895;0,3721615;3,117479;-0,4219251;4,253936;0,4929031;-0,2599691;-1,263997;-3,761706;-3,954457;3,350957;-2,763188;3,609045;-3,219685;4,737432;1,630717;-1,111511;-4,47758;-0,8472134;0,07012431;-1,167907;1,353366;-2,770231;3,917372
Index: 7 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,719072 | BrainData : 1,074467;1,312373;3,50188;0,3343743;3,170587;-0,4219908;4,27914;0,5439867;-0,2545519;-1,228739;-3,785798;-4,047129;3,321929;-2,803058;3,596914;-3,207837;4,731563;1,608321;-1,105021;-4,475154;-0,8259746;0,06116116;-1,224971;1,359389;-2,775161;3,956455
Index: 8 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,682051 | BrainData : 1,074467;1,312373;3,480895;0,3264002;3,165361;-0,4214852;4,303695;0,5373808;-0,258462;-1,228739;-3,785798;-4,030307;3,367268;-2,789315;3,542289;-3,207837;4,744843;1,601806;-1,060839;-4,505165;-0,8472134;0,04851278;-1,206177;1,359389;-2,775161;3,926318
Index: 9 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,632712 | BrainData : 1,074467;1,312373;3,47132;0,3741171;3,084872;-0,4075829;4,236665;0,5373808;-0,2694248;-1,222352;-3,802854;-4,035843;3,321929;-2,762112;3,566139;-3,229332;4,787483;1,611103;-1,06658;-4,439087;-0,8472134;0,06116116;-1,17065;1,359389;-2,763119;3,968059
Index: 10 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,597909 | BrainData : 1,074467;1,312373;3,480895;0,3343743;3,123952;-0,4075829;4,27914;0,5373808;-0,2545519;-1,233676;-3,789491;-4,047129;3,329959;-2,762112;3,59992;-3,208819;4,74936;1,611103;-1,105021;-4,475154;-0,8472134;0,06116116;-1,229686;1,359389;-2,775161;3,900907
