Generation: 437 | maxFitness: 3,670536 | maxFitnessGen: 1,847217 | maxFitnessGenBuf: 1,943688
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,943688 | BrainData : 0,8657396;1,119554;3,928115;0,5604331;3,311328;-0,7386204;3,963471;0,7155616;0,05274949;-0,8119787;-3,574239;-4,095902;3,093337;-2,841113;3,74341;-3,043171;5,01439;1,333068;-1,251332;-4,466076;-1,137267;0,2411635;-1,614199;1,104062;-2,921721;3,921435
Index: 1 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,941887 | BrainData : 0,8191531;1,146679;3,908461;0,549749;3,28166;-0,7386204;3,977386;0,7182024;0,05274949;-0,8240966;-3,613322;-4,095902;3,093337;-2,841113;3,786746;-3,041841;5,001842;1,333068;-1,256124;-4,51019;-1,149009;0,2242105;-1,569571;1,104062;-2,945594;3,901986
Index: 2 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,941887 | BrainData : 0,8191531;1,152487;3,928115;0,5604331;3,322287;-0,7386204;4,01067;0,7588228;0,06993552;-0,8119787;-3,613322;-4,120873;3,04723;-2,841113;3,74341;-3,041841;5,01975;1,333068;-1,296538;-4,521486;-1,137267;0,2242105;-1,614199;1,104062;-2,945594;3,901986
Index: 3 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,941887 | BrainData : 0,8191531;1,108515;3,928115;0,5604331;3,277098;-0,7386204;4,046918;0,7155616;0,05274949;-0,7966035;-3,628011;-4,095902;3,062564;-2,886201;3,74341;-3,071093;5,041359;1,288482;-1,241629;-4,51019;-1,137267;0,2242105;-1,569617;1,104062;-2,945594;3,901986
Index: 4 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,931739 | BrainData : 0,8057701;1,148245;3,928115;0,5604331;3,322287;-0,7386204;4,01067;0,7319553;0,05274949;-0,8467078;-3,613322;-4,095902;3,093337;-2,841113;3,74341;-3,045487;4,98667;1,333068;-1,212448;-4,51019;-1,183002;0,2242105;-1,658813;1,132679;-2,927691;3,947427
Index: 5 | Name: car 4 | Brain Type: RandomParents | Fitness: 1,93139 | BrainData : 0,844073;1,055557;3,9764;0,5382919;3,347776;-0,6970586;3,973463;0,6736817;0,01735144;-0,7849138;-3,60803;-4,005013;3,069293;-2,847698;3,74341;-3,137243;4,956424;1,31102;-1,295562;-4,51019;-1,180141;0,1841855;-1,572002;1,113389;-3,011655;3,881842
Index: 6 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,854443 | BrainData : 0,7899122;1,146679;3,928115;0,5604331;3,322287;-0,7386204;3,988593;0,693673;0,07739225;-0,8277094;-3,595478;-4,095902;3,093337;-2,792977;3,731147;-3,041292;4,982224;1,333068;-1,202769;-4,497955;-1,137267;0,2127207;-1,654279;1,104062;-2,931126;3,857713
Index: 7 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,853741 | BrainData : 0,8191531;1,142792;3,928115;0,5336139;3,322287;-0,7386204;4,01067;0,7155616;0,05274949;-0,8119787;-3,613322;-4,095902;3,093337;-2,801485;3,74341;-3,041841;5,001842;1,333068;-1,251332;-4,549181;-1,137267;0,2242105;-1,639249;1,104062;-2,964724;3,901986
Index: 8 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,853716 | BrainData : 0,8191531;1,098949;3,939735;0,5604331;3,322287;-0,7386204;4,01067;0,6747239;0,05274949;-0,8119787;-3,613322;-4,095902;3,093337;-2,84336;3,74341;-3,041841;5,001842;1,333068;-1,267714;-4,517347;-1,137267;0,2044769;-1,614199;1,105559;-2,980461;3,901986
Index: 9 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,835475 | BrainData : 0,8416595;1,178669;3,937548;0,5515109;3,322287;-0,7761773;4,035329;0,7230638;0,009949446;-0,8119787;-3,65177;-4,095902;3,068295;-2,857053;3,717324;-3,041841;5,007547;1,333068;-1,251332;-4,51019;-1,102491;0,2242105;-1,614199;1,104062;-2,933578;3,901986
Index: 10 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,832996 | BrainData : -1,517679;3,291668;-4,895549;3,666216;4,364499;-0,246973;1,328424;1,734438;0,2998109;0,4052706;-0,2478547;-2,684859;-4,234201;4,927305;-4,977163;2,389454;0,2426336;2,391622;-1,594535;3,627301;-1,932942;-0,2280836;-4,759332;-4,309015;-2,151613;0,003362682
Index: 11 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,832455 | BrainData : 0,7884848;1,146679;3,928115;0,5604331;3,322287;-0,7453261;4,051896;0,6741018;0,07150086;-0,8419534;-3,613322;-4,085003;3,122995;-2,871516;3,775563;-3,041841;5,002238;1,381535;-1,266485;-4,506237;-1,095904;0,2242105;-1,583962;1,121113;-2,945594;3,922309
Index: 12 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,826626 | BrainData : 0,8191531;1,154906;3,892446;0,5177497;3,322287;-0,7792295;4,012162;0,7352136;0,05274949;-0,8251871;-3,592663;-4,095902;3,093337;-2,841113;3,74341;-3,041841;5,022591;1,370216;-1,229988;-4,51019;-1,137029;0,213892;-1,641544;1,104062;-2,944823;3,901986
