Generation: 813 | maxFitness: 3,670536 | maxFitnessGen: 2,295119 | maxFitnessGenBuf: 2,172822
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 14 | Brain Type: RandomParents | Fitness: 2,172822 | BrainData : -2,264135;0,0792741;-1,903919;0,4153242;-3,398735;4,390481;-0,203274;3,373154;2,037142;4,451262;1,09765;-4,569253;-4,429832;1,940306;-2,628512;-3,706443;-0,5287414;-4,898706;4,619869;-0,1973535;-3,900373;-3,259474;2,077202;-2,537466;-1,995856;4,158602
Index: 1 | Name: car 42 | Brain Type: TOP2 | Fitness: 2,169203 | BrainData : -2,217701;0,0493007;-1,900762;0,3811288;-3,398581;4,430626;-0,1477196;3,394671;2,088306;4,552602;1,117778;-4,656499;-4,466172;1,962583;-2,519743;-3,713486;-0,5721979;-4,892469;4,516062;-0,2453943;-4,003687;-3,300819;1,985302;-2,464317;-2,080556;4,126269
Index: 2 | Name: car 31 | Brain Type: TOP2 | Fitness: 2,164521 | BrainData : -2,223908;0,03585565;-1,890366;0,3811288;-3,433395;4,444862;-0,1649222;3,394671;2,099745;4,550105;1,16593;-4,60291;-4,466172;1,961422;-2,566951;-3,741372;-0,5721979;-4,94095;4,516062;-0,2496579;-3,981733;-3,285302;1,994786;-2,512855;-2,080556;4,141619
Index: 3 | Name: car 13 | Brain Type: RandomParents | Fitness: 2,159575 | BrainData : -2,218595;0,0792741;-1,871103;0,4159123;-3,388346;4,390481;-0,2381513;3,370081;2,095542;4,521302;1,098903;-4,59872;-4,465728;1,91908;-2,578591;-3,710664;-0,5862927;-4,897344;4,674333;-0,2065698;-3,895562;-3,250889;2,048046;-2,537466;-2,023142;4,158602
Index: 4 | Name: car 2 | Brain Type: RandomParents | Fitness: 2,157587 | BrainData : -2,236253;0,07931463;-1,863513;0,4486435;-3,39159;4,395249;-0,2342597;3,374532;2,078191;4,484754;1,06706;-4,593474;-4,398391;1,910196;-2,578591;-3,716744;-0,6461695;-4,890401;4,593831;-0,2148746;-3,914731;-3,248356;1,994575;-2,548376;-2,099863;4,168937
Index: 5 | Name: car 33 | Brain Type: TOP2 | Fitness: 2,156747 | BrainData : -2,217701;0,0493007;-1,890366;0,3811288;-3,439975;4,430626;-0,1840274;3,394671;2,085518;4,550105;1,132379;-4,619719;-4,420496;1,91661;-2,532358;-3,741372;-0,5541524;-4,965397;4,516062;-0,2453943;-3,981733;-3,300819;1,994786;-2,460375;-2,080556;4,126269
Index: 6 | Name: car 44 | Brain Type: TOP2 | Fitness: 2,156747 | BrainData : -2,176875;0,0906225;-1,890366;0,359681;-3,488492;4,434142;-0,1649222;3,393695;2,104409;4,550105;1,125131;-4,619719;-4,466172;1,868159;-2,551352;-3,741372;-0,5721979;-4,969438;4,516062;-0,2119142;-3,967571;-3,300819;1,994786;-2,475116;-2,080556;4,126269
Index: 7 | Name: car 45 | Brain Type: TOP2 | Fitness: 2,156747 | BrainData : -2,217701;0,0493007;-1,890366;0,3992294;-3,403829;4,430626;-0,1487611;3,439524;2,12177;4,550105;1,125131;-4,621192;-4,466172;1,91661;-2,532358;-3,741372;-0,5721979;-4,990111;4,516062;-0,2453943;-3,994466;-3,300819;1,994786;-2,475116;-2,080556;4,126269
Index: 8 | Name: car 38 | Brain Type: TOP2 | Fitness: 2,120509 | BrainData : -2,25208;0,01069325;-1,890366;0,3811288;-3,390702;4,450449;-0,1649222;3,370156;2,104409;4,550105;1,114586;-4,619719;-4,506781;1,91661;-2,548378;-3,779361;-0,5703229;-4,94095;4,502116;-0,2453943;-3,981733;-3,292021;1,994786;-2,492588;-2,08622;4,126269
Index: 9 | Name: car 34 | Brain Type: TOP2 | Fitness: 2,11071 | BrainData : -2,217701;0,06030545;-1,890366;0,3811288;-3,411166;4,407128;-0,1843498;3,394671;2,104409;4,543507;1,15039;-4,650974;-4,466172;1,938978;-2,532358;-3,752071;-0,5721979;-4,925545;4,475577;-0,2495938;-4,015515;-3,300819;1,994786;-2,475116;-2,074926;4,098885
Index: 10 | Name: car 46 | Brain Type: TOP2 | Fitness: 2,098153 | BrainData : -2,176379;0,01257243;-1,873005;0,3811288;-3,439975;4,3994;-0,1649222;3,394671;2,104409;4,564904;1,11939;-4,619719;-4,425665;1,91661;-2,532358;-3,692182;-0,5528228;-4,94095;4,472293;-0,2453943;-4,000393;-3,260152;1,994786;-2,475116;-2,087498;4,126269
