Generation: 452 | maxFitness: 3,670536 | maxFitnessGen: 1,93473 | maxFitnessGenBuf: 1,858575
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 14 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,653096 | BrainData : 0,8660976;1,118841;3,959902;0,7265736;3,3184;-0,8858745;4,026356;0,8133307;0,02177404;-1,006962;-3,503854;-4,194842;3,060789;-2,789634;3,822019;-3,066551;4,946777;1,274238;-1,304656;-4,404784;-1,159483;0,3012044;-1,59064;1,081422;-2,824091;3,921318
Index: 15 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,650258 | BrainData : 0,8591285;1,131623;4,000272;0,7397662;3,3184;-0,8858745;4,034917;0,8202007;0,02177404;-0,9884651;-3,503854;-4,189314;3,023709;-2,816221;3,81277;-3,076328;4,960887;1,274238;-1,304656;-4,488645;-1,205064;0,3084912;-1,560406;1,021619;-2,848449;3,855634
Index: 16 | Name: car 3 | Brain Type: RandomParents | Fitness: 1,601057 | BrainData : 0,8911622;1,067899;3,902787;0,7675746;3,3184;-0,8411817;4,081969;0,8679339;0,01234408;-1,006962;-3,492962;-4,161241;3,046509;-2,759371;3,81277;-3,066551;4,946777;1,282389;-1,346416;-4,452166;-1,182041;0,3081898;-1,59348;1,060337;-2,848449;3,844791
Index: 17 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,592353 | BrainData : 0,8658285;1,106927;3,951216;0,7595022;3,312648;-0,8858745;4,065973;0,8428774;0,006861633;-1,022176;-3,463901;-4,17974;3,060789;-2,798919;3,770856;-3,025754;4,99068;1,274238;-1,304656;-4,444093;-1,173269;0,3084912;-1,59064;1,0163;-2,839827;3,875177
Index: 18 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,59178 | BrainData : 0,9026832;1,14015;3,986001;0,7595022;3,3184;-0,8858745;4,015478;0,8428774;0,02177404;-0,9730139;-3,541791;-4,189314;3,060789;-2,755586;3,81277;-3,066551;4,946777;1,274238;-1,304656;-4,444093;-1,184776;0,2782832;-1,577574;1,059405;-2,870708;3,875177
Index: 19 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,59045 | BrainData : 0,8111359;1,084122;3,953093;0,782644;3,306596;-0,8858745;4,065363;0,8322563;0,02177404;-0,9912267;-3,503854;-4,189314;3,060789;-2,775467;3,826069;-3,087037;4,917789;1,274238;-1,292249;-4,444093;-1,204727;0,3084912;-1,594771;1,017104;-2,848449;3,88423
Index: 20 | Name: car 6 | Brain Type: RandomParents | Fitness: 1,590399 | BrainData : 0,9318532;1,078768;3,924201;0,7395303;3,27679;-0,8309038;4,07159;0,8264834;0,02177404;-1,038771;-3,579236;-4,173718;3,089736;-2,820998;3,756189;-3,066551;4,946777;1,249443;-1,304656;-4,422265;-1,173269;0,2579806;-1,626022;1,087898;-2,848449;3,928359
Index: 21 | Name: car 10 | Brain Type: RandomParents | Fitness: 1,590344 | BrainData : 0,9052435;1,147357;3,966291;0,7184914;3,295628;-0,8835813;4,065045;0,8382097;-0,02463988;-0,9255509;-3,468696;-4,13094;3,060789;-2,844153;3,765699;-3,057064;4,951907;1,268189;-1,304656;-4,499738;-1,148805;0,322118;-1,582044;1,03639;-2,855161;3,97992
Index: 22 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,588762 | BrainData : 0,9081113;1,106927;3,951216;0,771021;3,342489;-0,8683259;4,034917;0,8463303;0,02177404;-1,006962;-3,503854;-4,235088;3,052126;-2,798919;3,81277;-3,066551;4,946777;1,288911;-1,304656;-4,40642;-1,173269;0,2910025;-1,59064;1,060337;-2,80478;3,875177
Index: 23 | Name: car 25 | Brain Type: TOP2 | Fitness: 1,545238 | BrainData : 0,8591285;1,143763;3,951216;0,7375699;3,3184;-0,8948646;4,001847;0,8428774;0,02118066;-1,006962;-3,548224;-4,189314;3,060789;-2,809802;3,793599;-3,066551;4,92068;1,316931;-1,304656;-4,405896;-1,213783;0,3084912;-1,59064;1,075088;-2,848449;3,875177
