Generation: 965 | maxFitness: 3,670536 | maxFitnessGen: 1,830156 | maxFitnessGenBuf: 2,589593
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 8 | Brain Type: RandomParents | Fitness: 2,488195 | BrainData : -2,299263;0,1165067;-1,941362;-0,04173821;-3,334656;4,232046;-0,06159521;3,476472;2,117867;4,502459;1,02468;-4,742798;-4,358304;2,081231;-2,365626;-3,625234;-0,3640985;-4,373391;4,488635;-0,4836248;-3,926925;-3,300238;2,293835;-2,328128;-1,807611;4,167698
Index: 14 | Name: car 33 | Brain Type: TOP2 | Fitness: 2,459305 | BrainData : -2,319311;0,07108659;-1,98861;-0,05840689;-3,354327;4,21526;-0,02209105;3,453428;2,071049;4,508951;1,074191;-4,735421;-4,404095;2,089916;-2,400245;-3,686576;-0,2975004;-4,326262;4,429245;-0,4006876;-3,928358;-3,250377;2,265738;-2,307707;-1,835801;4,188593
Index: 15 | Name: car 3 | Brain Type: RandomParents | Fitness: 2,398114 | BrainData : -2,248229;0,12039;-1,98861;-0,041315;-3,375695;4,201833;-0,07629628;3,453428;2,05862;4,46592;1,049697;-4,715881;-4,38221;2,108898;-2,461636;-3,57408;-0,3505259;-4,330229;4,428418;-0,4397178;-3,928358;-3,252208;2,326074;-2,354629;-1,835801;4,237772
Index: 16 | Name: car 7 | Brain Type: RandomParents | Fitness: 2,396025 | BrainData : -2,29795;0,1572776;-2,026511;-0,0395895;-3,325318;4,201833;-0,08122507;3,424412;2,119466;4,558876;0,9851682;-4,671738;-4,372756;2,131807;-2,401379;-3,637397;-0,3882555;-4,293846;4,459481;-0,3943667;-4,005532;-3,286584;2,330445;-2,261499;-1,825947;4,225214
Index: 17 | Name: car 47 | Brain Type: TOP2 | Fitness: 2,379549 | BrainData : -2,309121;0,09351056;-2,024507;-0,05840689;-3,354327;4,201833;-0,06486576;3,453428;2,15012;4,508951;1,056663;-4,74596;-4,394114;2,040713;-2,429678;-3,653152;-0,2920636;-4,303884;4,429245;-0,3984152;-3,928358;-3,234378;2,288918;-2,307707;-1,789923;4,147679
Index: 18 | Name: car 38 | Brain Type: TOP2 | Fitness: 2,277921 | BrainData : -2,326323;0,02740625;-2,004168;-0,05309151;-3,398227;4,184689;0,005732648;3,419855;2,105344;4,507002;1,028003;-4,74596;-4,394114;2,089916;-2,429678;-3,670542;-0,3328645;-4,291336;4,429245;-0,3541206;-3,928358;-3,238154;2,249083;-2,267306;-1,835801;4,188593
Index: 19 | Name: car 15 | Brain Type: TotallyRandom | Fitness: 2,238563 | BrainData : -0,1423569;-0,9537821;-4,875661;2,396718;4,02257;-1,114641;1,227788;-4,344851;2,944782;2,324189;1,796604;1,454561;-3,810948;0,3340359;-1,523841;1,49074;-4,357538;4,83897;3,136731;1,923529;-3,835411;-1,369122;0,2235441;-4,747939;-1,914011;0,4977469
Index: 20 | Name: car 40 | Brain Type: TOP2 | Fitness: 2,230908 | BrainData : -2,29795;0,08569323;-1,966759;-0,07634728;-3,354327;4,225055;-0,02209105;3,453428;2,105344;4,508951;0,9801295;-4,74596;-4,382233;2,085559;-2,429678;-3,653152;-0,3328645;-4,326262;4,466736;-0,3738903;-3,917744;-3,234378;2,288918;-2,280814;-1,835801;4,162707
Index: 21 | Name: car 1 | Brain Type: RandomParents | Fitness: 2,225736 | BrainData : -2,270918;0,09394106;-1,970606;-0,05383984;-3,342543;4,245461;-0,07263336;3,497131;2,087074;4,427495;1,047725;-4,730891;-4,308815;2,067058;-2,472739;-3,517021;-0,3328645;-4,305443;4,472998;-0,4835432;-3,923004;-3,247584;2,278895;-2,308028;-1,855384;4,188593
Index: 22 | Name: car 34 | Brain Type: TOP2 | Fitness: 2,187878 | BrainData : -2,268767;0,07108659;-1,98861;-0,07077407;-3,332263;4,201833;-0,02209105;3,453428;2,105344;4,508951;1,028003;-4,737247;-4,397402;2,089916;-2,429678;-3,662106;-0,3761236;-4,326262;4,40149;-0,4006876;-3,928358;-3,231701;2,332224;-2,260788;-1,835801;4,203382
Index: 23 | Name: car 37 | Brain Type: TOP2 | Fitness: 2,178255 | BrainData : -2,337349;0,1196428;-2,026958;-0,05840689;-3,392422;4,194732;-0,02209105;3,418203;2,084951;4,493214;1,028003;-4,775394;-4,373807;2,089916;-2,429678;-3,653152;-0,3328645;-4,326262;4,422278;-0,38457;-3,928358;-3,22684;2,288918;-2,307707;-1,84758;4,154075
Index: 24 | Name: car 42 | Brain Type: TOP2 | Fitness: 2,159348 | BrainData : -2,29795;0,07108659;-1,98861;-0,05840689;-3,354327;4,201833;-0,04043312;3,453428;2,057737;4,508951;1,028003;-4,74596;-4,44299;2,06542;-2,444537;-3,697084;-0,3328645;-4,34723;4,429245;-0,4006876;-3,928358;-3,234378;2,288918;-2,307707;-1,860087;4,188593
