Generation: 782 | maxFitness: 3,670536 | maxFitnessGen: 2,221739 | maxFitnessGenBuf: 1,986099
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,986099 | BrainData : -2,202269;0,1779382;-1,735745;0,5922623;-3,506104;4,237021;-0,130488;3,359;2,159572;4,544319;1,302465;-4,559498;-4,408355;1,972043;-2,604319;-3,863067;-0,5101394;-4,984957;4,507898;-0,1098256;-3,944139;-3,136698;2,009983;-2,295698;-2,056143;4,103547
Index: 1 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,98255 | BrainData : -2,202269;0,1779382;-1,701938;0,6213835;-3,553497;4,211665;-0,1675702;3,394325;2,204155;4,582162;1,310923;-4,559498;-4,406556;2,01827;-2,605574;-3,863067;-0,5272651;-4,990793;4,507898;-0,1098256;-3,907615;-3,147702;2,009983;-2,313377;-2,055126;4,132453
Index: 2 | Name: car 25 | Brain Type: TOP2 | Fitness: 1,976884 | BrainData : -2,246845;0,1779382;-1,701938;0,6213835;-3,506104;4,212913;-0,1326896;3,359;2,198878;4,582162;1,316805;-4,559498;-4,390595;2,01827;-2,604319;-3,862649;-0,5166855;-4,984957;4,507898;-0,1098256;-3,89475;-3,134131;2,009819;-2,265203;-2,049585;4,11644
Index: 3 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,973674 | BrainData : -2,191058;0,1779382;-1,701938;0,6213835;-3,475181;4,212913;-0,1326896;3,359;2,204155;4,548866;1,316805;-4,559498;-4,443548;2,01827;-2,61971;-3,904018;-0,5166855;-4,968547;4,507898;-0,1098256;-3,944139;-3,126258;2,009983;-2,282171;-2,044394;4,103547
Index: 4 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,971485 | BrainData : -2,220483;0,1775432;-1,701938;0,6213835;-3,506104;4,212913;-0,1326896;3,326184;2,234396;4,614549;1,316805;-4,559498;-4,384883;2,049944;-2,604319;-3,863067;-0,5244383;-4,984957;4,507898;-0,1098256;-3,962588;-3,084782;2,009983;-2,26018;-2,032582;4,077767
Index: 5 | Name: car 41 | Brain Type: TOP2 | Fitness: 1,96833 | BrainData : -2,202269;0,1779382;-1,714238;0,6435094;-3,485298;4,212913;-0,09143414;3,341487;2,180318;4,582162;1,332439;-4,559498;-4,406556;2,01827;-2,604319;-3,863067;-0,5329772;-4,95597;4,507898;-0,1098256;-3,968254;-3,126258;2,009983;-2,296196;-2,042659;4,0947
Index: 6 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,962381 | BrainData : -2,160736;0,145532;-1,701938;0,6213835;-3,506104;4,256035;-0,1326896;3,359;2,204155;4,582162;1,316805;-4,60128;-4,409415;2,01827;-2,643177;-3,863067;-0,479152;-4,984957;4,532919;-0,1098256;-3,944139;-3,126258;2,009983;-2,296196;-2,049585;4,103547
Index: 7 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,962381 | BrainData : -2,202269;0,1779382;-1,748664;0,6213835;-3,506104;4,191524;-0,1326896;3,359;2,186261;4,582162;1,316805;-4,559498;-4,406556;2,01827;-2,590075;-3,863067;-0,5634046;-4,984957;4,458605;-0,1098256;-3,944139;-3,126258;2,009983;-2,284263;-2,049585;4,103547
Index: 8 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,962381 | BrainData : -2,202269;0,1749978;-1,701938;0,6078655;-3,506104;4,212913;-0,1326896;3,359;2,223169;4,539473;1,295753;-4,533937;-4,406556;2,01827;-2,604319;-3,863067;-0,5166855;-5,027393;4,549243;-0,1098256;-3,944139;-3,126258;2,009983;-2,296196;-2,049585;4,103547
Index: 9 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,935989 | BrainData : -2,173662;0,1779382;-1,734718;0,6607362;-3,499621;4,253417;-0,1326896;3,359;2,250471;4,582162;1,283058;-4,559498;-4,406556;2,01827;-2,604319;-3,908006;-0,4798043;-4,984957;4,466758;-0,1048848;-3,969023;-3,126258;1,99296;-2,296196;-2,049585;4,103547
Index: 10 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,934669 | BrainData : -2,202269;0,1307931;-1,701938;0,5894927;-3,496239;4,228668;-0,1326896;3,359;2,204155;4,582162;1,316805;-4,558194;-4,406556;2,01827;-2,604319;-3,863067;-0,4722985;-4,98946;4,507898;-0,1098256;-3,944139;-3,110549;1,992597;-2,265495;-2,049585;4,103547
