Generation: 263 | maxFitness: 3,670536 | maxFitnessGen: 1,776156 | maxFitnessGenBuf: 1,703758
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,703758 | BrainData : 1,178281;1,105258;3,728483;0,4385835;3,04063;-0,6791331;4,385028;0,5099504;-0,2964429;-1,177506;-3,781602;-4,261188;3,189705;-2,687992;3,813388;-3,242789;4,652107;1,513929;-1,085784;-4,7807;-0,8577623;0,2599095;-1,374069;1,288131;-2,595307;3,990317
Index: 1 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,680451 | BrainData : 1,178281;1,10366;3,728483;0,4969641;2,997391;-0,6401736;4,335302;0,4981688;-0,250511;-1,222941;-3,708183;-4,283329;3,236754;-2,726681;3,813388;-3,242789;4,631752;1,460506;-1,085784;-4,776935;-0,8151349;0,2197059;-1,36518;1,288131;-2,60446;3,940901
Index: 2 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,680441 | BrainData : 1,178281;1,105258;3,728483;0,4342508;2,955021;-0,6401736;4,335302;0,5163693;-0,250511;-1,204983;-3,73265;-4,317434;3,236754;-2,704833;3,813388;-3,22412;4,643608;1,480408;-1,085784;-4,773262;-0,8254575;0,2435147;-1,390514;1,287291;-2,565477;3,941049
Index: 3 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,679342 | BrainData : 1,169317;1,065761;3,728483;0,4470665;2,967943;-0,6401736;4,325736;0,5015148;-0,250511;-1,208685;-3,695074;-4,283329;3,236754;-2,727615;3,819543;-3,242789;4,652107;1,436229;-1,074664;-4,745418;-0,8354369;0,2435147;-1,372547;1,288131;-2,585083;3,940901
Index: 4 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,679215 | BrainData : 1,216344;1,098842;3,728483;0,4943357;3,036342;-0,6401736;4,35421;0,5041877;-0,250511;-1,166304;-3,73265;-4,283329;3,236754;-2,704122;3,860525;-3,236706;4,682932;1,480408;-1,129384;-4,776935;-0,8254575;0,2107394;-1,375687;1,288131;-2,619849;3,940901
Index: 5 | Name: car 11 | Brain Type: RandomParents | Fitness: 1,677447 | BrainData : 1,178281;1,08683;3,722099;0,4470665;3,043128;-0,6175959;4,350003;0,5609921;-0,250511;-1,228191;-3,696413;-4,277232;3,262243;-2,687992;3,801528;-3,288899;4,668928;1,431226;-1,085784;-4,763542;-0,8254575;0,2455018;-1,449562;1,290456;-2,566939;3,949643
Index: 6 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,676303 | BrainData : 1,197404;1,134498;3,728483;0,4470665;2,964598;-0,6155425;4,324837;0,5409742;-0,250511;-1,159332;-3,73265;-4,283329;3,221916;-2,687992;3,813388;-3,262678;4,652107;1,524805;-1,085784;-4,776935;-0,8254575;0,2435147;-1,398425;1,265783;-2,585083;3,90716
Index: 7 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,674525 | BrainData : 1,180373;1,130352;3,780987;0,4264343;3,072144;-0,6175959;4,287975;0,5649245;-0,2746334;-1,177506;-3,73265;-4,261281;3,236754;-2,710862;3,76726;-3,297637;4,738239;1,47357;-1,123958;-4,746007;-0,8254575;0,240366;-1,406586;1,308455;-2,573601;3,989245
Index: 8 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,671264 | BrainData : 1,178281;1,093376;3,728483;0,4470665;2,976767;-0,6401736;4,335302;0,4889991;-0,2692502;-1,177506;-3,73265;-4,283329;3,236754;-2,687992;3,813388;-3,227985;4,652107;1,480408;-1,039479;-4,737999;-0,8086544;0,2418891;-1,430242;1,288131;-2,565032;3,940901
Index: 9 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,669597 | BrainData : 1,160967;1,105258;3,728483;0,4470665;2,997391;-0,6401736;4,335302;0,5163693;-0,235778;-1,148092;-3,73265;-4,326118;3,255248;-2,720086;3,813388;-3,242789;4,652107;1,483639;-1,085784;-4,756854;-0,8254575;0,2435147;-1,410967;1,28223;-2,585083;3,940901
Index: 10 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,667931 | BrainData : 1,178281;1,105258;3,689521;0,4594762;2,985611;-0,6401736;4,323969;0,5163693;-0,2205374;-1,198821;-3,73265;-4,297513;3,198677;-2,708812;3,773546;-3,242789;4,686286;1,529849;-1,07725;-4,818013;-0,8254575;0,2435147;-1,398425;1,283023;-2,585083;3,940901
