Generation: 607 | maxFitness: 3,670536 | maxFitnessGen: 2,020176 | maxFitnessGenBuf: 1,914787
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 14 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,729095 | BrainData : 0,9865053;1,325578;4,191097;0,7209146;3,388012;-1,384594;4,290302;0,846119;0,02426479;-1,040244;-3,549176;-4,373095;3,191594;-2,273883;4,057991;-3,105083;5,053227;0,6242061;-1,361676;-4,547971;-1,33406;0,1250615;-1,270165;1,203638;-2,827712;3,810974
Index: 15 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,723783 | BrainData : 0,9865053;1,277351;4,191097;0,7209146;3,366173;-1,38632;4,290302;0,846119;0,05920116;-1,049247;-3,53099;-4,326885;3,159609;-2,267531;4,060904;-3,13225;5,053227;0,6642143;-1,387846;-4,509763;-1,33406;0,1250615;-1,235088;1,23114;-2,827712;3,891865
Index: 16 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,718174 | BrainData : 1,036411;1,323595;4,191097;0,6903443;3,388012;-1,375636;4,290302;0,8068261;0,01759003;-1,067564;-3,53099;-4,326885;3,135428;-2,267531;4,027254;-3,093891;5,053227;0,5811898;-1,408817;-4,547971;-1,33406;0,152908;-1,281104;1,23114;-2,827712;3,866566
Index: 17 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,701237 | BrainData : 0,9523049;1,29959;4,191097;0,7209146;3,410977;-1,386738;4,280345;0,846119;0,05182443;-1,049247;-3,510287;-4,326885;3,169276;-2,218313;4,05916;-3,105083;5,053227;0,6228462;-1,387846;-4,547971;-1,33406;0,1250615;-1,261428;1,217977;-2,842451;3,844769
Index: 18 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,687335 | BrainData : 1,011073;1,229208;4,130005;0,6849509;3,407583;-1,33673;4,193915;0,7927397;0,005487312;-0,9796365;-3,572903;-4,368389;3,124047;-2,285218;4,010878;-3,163557;5,068693;0,6560734;-1,400084;-4,621966;-1,352276;0,1689323;-1,255424;1,148544;-2,875406;3,871027
Index: 19 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,686841 | BrainData : 1,007929;1,319337;4,191097;0,7209146;3,388012;-1,38632;4,290302;0,8856257;0,03857276;-1,049247;-3,522075;-4,330072;3,159609;-2,272635;4,083553;-3,105083;5,053227;0,6228462;-1,387846;-4,570515;-1,33406;0,07612713;-1,300274;1,254074;-2,827712;3,844769
Index: 20 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,683619 | BrainData : 0,9865053;1,29959;4,212828;0,7209146;3,427705;-1,421486;4,290302;0,8642433;0,03857276;-1,049247;-3,53099;-4,326885;3,159609;-2,267531;4,077047;-3,139622;5,046007;0,6228462;-1,387846;-4,543427;-1,33406;0,1250615;-1,255099;1,192078;-2,827712;3,813184
Index: 21 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,671669 | BrainData : 0,9865053;1,29959;4,225277;0,7136465;3,340549;-1,360551;4,241891;0,846119;0,03857276;-1,049247;-3,523324;-4,35987;3,159609;-2,267531;4,077047;-3,105083;5,084124;0,6228462;-1,424365;-4,547971;-1,33406;0,1250615;-1,233126;1,257248;-2,827712;3,844769
Index: 22 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,58757 | BrainData : 0,9865053;1,29959;4,191097;0,7076706;3,355689;-1,38632;4,290302;0,8464201;0,03857276;-1,049247;-3,53099;-4,326885;3,159609;-2,234234;4,077047;-3,117937;5,053227;0,5757968;-1,387846;-4,547971;-1,286349;0,1618912;-1,254287;1,23114;-2,827712;3,844769
Index: 23 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,488401 | BrainData : 1,019339;1,29959;4,191097;0,6726425;3,413966;-1,389049;4,290302;0,8430118;0,03857276;-1,049247;-3,53099;-4,321669;3,159609;-2,267531;4,077047;-3,105083;5,01379;0,6174538;-1,417305;-4,590339;-1,319137;0,1347662;-1,261428;1,23114;-2,877452;3,826984
Index: 24 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,481465 | BrainData : 0,9865053;1,29959;4,191097;0,688468;3,388012;-1,350991;4,283627;0,846119;0,0437264;-1,049247;-3,571628;-4,326885;3,159609;-2,267531;4,10747;-3,105083;5,026156;0,6086608;-1,381591;-4,56911;-1,33406;0,1250615;-1,261428;1,248878;-2,876006;3,844769
Index: 25 | Name: car 2 | Brain Type: RandomParents | Fitness: 1,377396 | BrainData : 1,033113;1,281095;4,191097;0,7177456;3,382729;-1,392574;4,297638;0,8293933;0,01186558;-1,075982;-3,527202;-4,329897;3,146405;-2,305547;3,998384;-3,17178;5,063836;0,6228462;-1,349081;-4,531063;-1,371642;0,1765338;-1,261428;1,215601;-2,848816;3,851222
Index: 26 | Name: car 41 | Brain Type: TOP2 | Fitness: 1,359063 | BrainData : 0,9865053;1,29959;4,191097;0,7209146;3,388012;-1,358324;4,290302;0,8663873;0,005191714;-1,049247;-3,547268;-4,326885;3,151111;-2,267531;4,114212;-3,105083;5,04209;0,6228462;-1,387846;-4,547971;-1,346081;0,1285806;-1,261428;1,273425;-2,827712;3,844769
Index: 27 | Name: car 34 | Brain Type: TOP2 | Fitness: 1,282745 | BrainData : 0,974475;1,340055;4,22824;0,7209146;3,388012;-1,38632;4,290302;0,846119;0,0787219;-1,003637;-3,483365;-4,326885;3,160668;-2,289546;4,077047;-3,056378;5,053227;0,6448492;-1,387846;-4,502766;-1,360976;0,09099652;-1,261428;1,214849;-2,845001;3,844769
Index: 28 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,272354 | BrainData : 0,9865053;1,29959;4,167855;0,7656026;3,432572;-1,377941;4,290302;0,8121668;0,03857276;-1,049247;-3,53099;-4,326885;3,111974;-2,267531;4,077047;-3,134901;5,053227;0,5994993;-1,349314;-4,593465;-1,33406;0,1446336;-1,261428;1,183759;-2,827712;3,874876
Index: 29 | Name: car 3 | Brain Type: RandomParents | Fitness: 1,172119 | BrainData : 1,059575;1,310096;4,200827;0,766544;3,387716;-1,38632;4,330745;0,8509375;0,06421692;-1,067483;-3,518521;-4,303449;3,130914;-2,217631;4,019804;-3,182688;5,03673;0,6236247;-1,349388;-4,517251;-1,365052;0,1345339;-1,262629;1,28043;-2,812166;3,851222
Index: 30 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,170851 | BrainData : 1,033113;1,277399;4,171003;0,7550499;3,396886;-1,387886;4,303541;0,842737;0,03845981;-1,061191;-3,562398;-4,336238;3,1001;-2,267531;3,981091;-3,126277;5,129043;0,6268652;-1,419024;-4,534245;-1,33406;0,1530975;-1,227805;1,255047;-2,826162;3,851222
Index: 31 | Name: car 14 | Brain Type: RandomParents | Fitness: 1,159406 | BrainData : 1,011073;1,191754;4,153797;0,6636978;3,366877;-1,33673;4,193915;0,8276123;0,07852083;-1,028482;-3,555311;-4,380439;3,141525;-2,285218;4,050079;-3,19853;5,097612;0,6160409;-1,423237;-4,621966;-1,317751;0,1209464;-1,223152;1,175643;-2,875406;3,906482
Index: 32 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,111986 | BrainData : 0,9865053;1,29959;4,191097;0,7209146;3,371421;-1,38632;4,243281;0,846119;0,03857276;-1,049247;-3,571257;-4,326885;3,159609;-2,280166;4,117497;-3,105083;5,053227;0,6228462;-1,409785;-4,549248;-1,298777;0,1250615;-1,261428;1,277855;-2,827712;3,822581
Index: 33 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,9541088 | BrainData : 0,9865053;1,29959;4,176653;0,7683104;3,399647;-1,404981;4,280712;0,8675056;0,03857276;-1,067573;-3,579011;-4,341167;3,11892;-2,267531;4,077047;-3,105083;5,053227;0,6228462;-1,385076;-4,509367;-1,375022;0,1610591;-1,274704;1,235983;-2,870481;3,794805
Index: 34 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,8772885 | BrainData : 1,033113;1,273881;4,18543;0,7550499;3,412821;-1,38632;4,345451;0,8870817;-0,00145006;-1,125537;-3,540596;-4,307861;3,095181;-2,264818;4,027975;-3,181591;4,995154;0,6228462;-1,319285;-4,547971;-1,33406;0,1834031;-1,220511;1,260338;-2,827712;3,82959
Index: 35 | Name: car 11 | Brain Type: RandomParents | Fitness: 0,8452221 | BrainData : 1,042858;1,273881;4,191097;0,7679153;3,423523;-1,38518;4,303541;0,8574731;0,05113582;-1,046844;-3,548709;-4,285013;3,159609;-2,267531;4,045327;-3,141927;5,084724;0,6342534;-1,387846;-4,547971;-1,33406;0,1742513;-1,295133;1,271876;-2,85762;3,851222
Index: 36 | Name: car 23 | Brain Type: TotallyRandom | Fitness: 0,6260267 | BrainData : -3,377818;-4,760047;-0,8792167;-4,083454;-2,422721;-3,562947;3,99518;4,046852;4,222913;4,892761;1,113803;-4,73946;1,823497;-3,676849;-0,8709402;4,542085;-1,275753;-0,8397312;-0,2112312;2,233608;0,8338933;-4,309211;-3,613113;0,2618737;-2,250355;4,400122
Index: 37 | Name: car 21 | Brain Type: TotallyRandom | Fitness: 0,5975668 | BrainData : 3,154435;3,726907;1,107536;0,04159021;2,815987;-4,874648;0,1785164;1,800669;-3,922014;1,492727;2,706485;-1,150927;4,666438;2,190658;1,576505;4,384162;-0,2891355;0,17976;0,430891;4,81653;-2,004144;4,722701;-4,964239;-1,417944;1,391073;1,576791
Index: 38 | Name: car 20 | Brain Type: TotallyRandom | Fitness: 0,5868472 | BrainData : 4,55853;3,913773;-2,069486;-3,572969;4,349232;4,817827;2,54184;-2,54389;2,416863;3,913023;3,70872;-4,910158;2,571237;-1,674109;2,662505;1,838823;-2,925296;-4,365032;-0,5350561;4,266691;0,1491623;3,447619;-3,324833;-4,045279;3,265218;-0,1771812
