Generation: 212 | maxFitness: 3,670536 | maxFitnessGen: 1,74866 | maxFitnessGenBuf: 1,762152
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 41 | Brain Type: TOP2 | Fitness: 1,762152 | BrainData : 1,057588;1,24662;3,759784;0,4993241;3,060234;-0,4132061;4,321534;0,4018816;-0,02827545;-0,9727964;-3,790141;-4,222541;3,371976;-2,489835;3,665066;-3,300883;4,648169;1,587705;-1,2123;-4,672274;-0,9930806;0,06426264;-1,096015;1,38453;-2,671288;3,877929
Index: 1 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,755014 | BrainData : 1,062616;1,279219;3,788157;0,4993241;3,060234;-0,4321692;4,317271;0,3825272;-0,04695139;-0,9839466;-3,790141;-4,18944;3,371976;-2,453179;3,661934;-3,355496;4,648169;1,62829;-1,152553;-4,704917;-1,022106;0,05529813;-1,096015;1,38453;-2,686233;3,877929
Index: 2 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,749307 | BrainData : 1,074216;1,24662;3,775539;0,4993241;3,026748;-0,4132061;4,307051;0,3825272;-0,02827545;-0,9839466;-3,796181;-4,18944;3,371976;-2,453179;3,665066;-3,313965;4,648169;1,578501;-1,184045;-4,672274;-0,9930806;0,06426264;-1,096015;1,38453;-2,651665;3,830417
Index: 3 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,747869 | BrainData : 1,037679;1,24662;3,718613;0,4993241;3,064737;-0,4132061;4,3255;0,3825272;-0,06371874;-0,9839466;-3,753349;-4,18944;3,371976;-2,477155;3,665066;-3,284122;4,601311;1,601525;-1,18235;-4,672274;-0,9738594;0,06426264;-1,10842;1,38453;-2,686233;3,877929
Index: 4 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,747869 | BrainData : 1,062616;1,24662;3,741501;0,4993241;3,060234;-0,4132061;4,3255;0,3825272;-0,06202392;-0,9839466;-3,790141;-4,18944;3,387499;-2,411192;3,622484;-3,294802;4,648169;1,534606;-1,18235;-4,653211;-0,9930806;0,06426264;-1,054915;1,38453;-2,686233;3,877929
Index: 5 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,720387 | BrainData : 1,079863;1,24662;3,715466;0,4993241;3,060234;-0,4132061;4,354084;0,3825272;0,01579649;-0,9839466;-3,746221;-4,140541;3,383892;-2,423568;3,665066;-3,299635;4,648169;1,578501;-1,18235;-4,672274;-0,9930806;0,06426264;-1,096015;1,38453;-2,661749;3,877929
Index: 6 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,669873 | BrainData : 1,062616;1,293666;3,712677;0,5014496;3,016332;-0,3774672;4,3255;0,3967851;-0,02827545;-1,011;-3,790141;-4,18944;3,373988;-2,471263;3,665066;-3,313965;4,681592;1,578501;-1,18235;-4,672274;-0,9930806;0,07174449;-1,096015;1,38453;-2,660377;3,856856
Index: 7 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,666477 | BrainData : 1,02237;1,249688;3,759784;0,4993241;3,107483;-0,4132061;4,3255;0,4107713;-0,06696543;-1,013213;-3,790141;-4,18944;3,371976;-2,453179;3,648659;-3,279067;4,648169;1,578501;-1,202616;-4,672274;-1,038631;0,06426264;-1,096015;1,368377;-2,697878;3,842144
Index: 8 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,645414 | BrainData : 1,062616;1,24662;3,759784;0,518508;3,087491;-0,4311297;4,319947;0,3825272;-0,02827545;-1,030916;-3,801003;-4,239128;3,371976;-2,44408;3,665066;-3,360376;4,630594;1,578501;-1,142509;-4,627044;-0,9612384;0,06426264;-1,120365;1,365576;-2,682463;3,877929
Index: 9 | Name: car 10 | Brain Type: RandomParents | Fitness: 1,589598 | BrainData : 1,066028;1,231344;3,735196;0,4671001;3,136055;-0,3934677;4,286098;0,3825272;0,006922534;-0,9574184;-3,787468;-4,175675;3,371976;-2,473849;3,635151;-3,327271;4,626696;1,617786;-1,202625;-4,672723;-0,9399743;0,0671289;-1,137972;1,388729;-2,633054;3,887397
Index: 10 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,578496 | BrainData : 1,062616;1,24662;3,759784;0,4993241;3,059055;-0,4132061;4,3255;0,3473463;-0,02827545;-1,00821;-3,789739;-4,154012;3,371976;-2,453179;3,665066;-3,268899;4,640223;1,596993;-1,171499;-4,68971;-1,00165;0,03888134;-1,096015;1,38453;-2,704505;3,881918
