Generation: 244 | maxFitness: 3,670536 | maxFitnessGen: 1,79535 | maxFitnessGenBuf: 1,758688
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,758688 | BrainData : 1,151569;1,247327;3,763434;0,4022977;3,008941;-0,4971132;4,356976;0,4915352;-0,08957741;-1,093362;-3,738949;-4,278289;3,209861;-2,625935;3,705909;-3,280016;4,624241;1,497223;-1,030975;-4,654446;-0,9692579;0,1554627;-1,288157;1,335485;-2,62295;3,914024
Index: 1 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,745518 | BrainData : 1,151569;1,330378;3,777764;0,4513188;2,994797;-0,4971132;4,331635;0,4915352;-0,08957741;-1,040912;-3,788467;-4,278289;3,187428;-2,641881;3,705909;-3,268468;4,599647;1,497223;-1,091189;-4,695613;-0,9717525;0,175505;-1,282496;1,323998;-2,611067;3,903349
Index: 2 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,745518 | BrainData : 1,111198;1,288404;3,773787;0,3849594;3,008941;-0,4971132;4,36969;0,5111216;-0,08957741;-1,043953;-3,773878;-4,278289;3,187428;-2,616069;3,719422;-3,280016;4,612311;1,497223;-1,053977;-4,695613;-0,9386224;0,175505;-1,329725;1,323998;-2,611067;3,903349
Index: 3 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,741913 | BrainData : 1,151569;1,249063;3,777764;0,4022977;3,008941;-0,4971132;4,331635;0,4951419;-0,07861087;-1,043953;-3,773878;-4,233306;3,187428;-2,667528;3,705909;-3,232065;4,557664;1,488583;-1,053977;-4,723764;-0,9717525;0,175505;-1,314357;1,323998;-2,611067;3,896855
Index: 4 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,728879 | BrainData : 1,151569;1,265602;3,804065;0,4022977;2,984056;-0,4680825;4,308935;0,4915352;-0,08957741;-1,043953;-3,808366;-4,245558;3,187428;-2,620008;3,708475;-3,280016;4,633197;1,472829;-1,053977;-4,695613;-0,9555792;0,1880183;-1,2787;1,323998;-2,573381;3,903349
Index: 5 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,726268 | BrainData : 1,126123;1,288404;3,79273;0,3772191;3,008941;-0,4971132;4,357723;0,4915352;-0,04085491;-1,043953;-3,773878;-4,284686;3,187428;-2,62933;3,705909;-3,264456;4,585101;1,497223;-1,053977;-4,695613;-0,9717525;0,1620503;-1,326551;1,319534;-2,611067;3,88176
Index: 6 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,715735 | BrainData : 1,061943;1,26132;3,787727;0,4486045;2,943625;-0,5259862;4,290934;0,4377281;-0,08957741;-1,0067;-3,766521;-4,254629;3,246872;-2,641881;3,769691;-3,232013;4,533453;1,504094;-1,005261;-4,650166;-0,909898;0,1516719;-1,247972;1,403049;-2,542149;3,919194
Index: 7 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,690756 | BrainData : 1,151569;1,285882;3,788172;0,3569135;3,008941;-0,4971132;4,331635;0,4915352;-0,1360011;-1,043953;-3,773878;-4,278289;3,187428;-2,596366;3,705909;-3,280016;4,585101;1,491012;-1,096562;-4,697946;-0,9678488;0,1827671;-1,282496;1,323998;-2,575504;3,903349
Index: 8 | Name: car 25 | Brain Type: TOP2 | Fitness: 1,681933 | BrainData : 1,170675;1,279766;3,82628;0,4280852;2,977051;-0,4971132;4,331635;0,4915352;-0,08957741;-1,043953;-3,773878;-4,294118;3,187428;-2,641881;3,705909;-3,328603;4,585101;1,497223;-1,027188;-4,695613;-0,9404231;0,175505;-1,25536;1,323998;-2,608229;3,939265
Index: 9 | Name: car 34 | Brain Type: TOP2 | Fitness: 1,671271 | BrainData : 1,195907;1,288404;3,777764;0,3697954;3,008941;-0,4971132;4,331635;0,4839514;-0,07518277;-1,091767;-3,773878;-4,287235;3,214411;-2,623863;3,657225;-3,324551;4,585101;1,497223;-1,053977;-4,653826;-0,9717525;0,175505;-1,282496;1,323998;-2,581397;3,903349
Index: 10 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,669777 | BrainData : 1,151569;1,288404;3,802559;0,4022977;2,966393;-0,5436605;4,331635;0,4915352;-0,08957741;-1,075121;-3,755345;-4,278289;3,187428;-2,641881;3,705909;-3,280016;4,601196;1,497223;-1,084253;-4,726677;-1,00608;0,175505;-1,258102;1,306729;-2,611067;3,903349
