Generation: 764 | maxFitness: 3,670536 | maxFitnessGen: 2,181866 | maxFitnessGenBuf: 2,278875
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 38 | Brain Type: TOP2 | Fitness: 2,103221 | BrainData : -2,238658;0,1863847;-1,605305;0,545016;-3,518895;4,157246;-0,05346089;3,264905;2,165701;4,473146;1,483163;-4,629725;-4,567539;2,082464;-2,61292;-3,979063;-0,4898125;-5,033711;4,452376;-0,1524109;-3,956817;-3,336867;2,057647;-2,279192;-1,949828;4,043777
Index: 14 | Name: car 2 | Brain Type: RandomParents | Fitness: 2,099831 | BrainData : -2,195697;0,1842688;-1,66242;0,53758;-3,53519;4,169035;-0,003645528;3,25603;2,208742;4,537502;1,535392;-4,662122;-4,57967;2,114543;-2,607508;-3,946798;-0,4429814;-5,049714;4,467164;-0,1330781;-4,037828;-3,348976;2,031343;-2,240378;-2,018448;4,133194
Index: 15 | Name: car 8 | Brain Type: RandomParents | Fitness: 2,068016 | BrainData : -2,307436;0,2114752;-1,6513;0,5096853;-3,544565;4,202111;-0,03248945;3,258165;2,181307;4,535645;1,527904;-4,596314;-4,569232;2,094912;-2,607508;-3,947702;-0,4666927;-5,010044;4,465257;-0,1269962;-3,956817;-3,336867;2,100607;-2,215622;-1,987681;4,144897
Index: 16 | Name: car 14 | Brain Type: RandomParents | Fitness: 2,039445 | BrainData : -2,21953;0,1842688;-1,678684;0,5721681;-3,533705;4,146008;-0,03202644;3,23028;2,182426;4,544117;1,507428;-4,642318;-4,579215;2,07725;-2,617694;-3,948941;-0,4462181;-5,060598;4,447773;-0,1524109;-4,010299;-3,329594;2,057647;-2,207964;-1,983459;4,119777
Index: 17 | Name: car 44 | Brain Type: TOP2 | Fitness: 2,013143 | BrainData : -2,238658;0,1842688;-1,632169;0,6063695;-3,529677;4,207598;-0,0408214;3,196198;2,165701;4,473146;1,491965;-4,601379;-4,575473;2,114256;-2,630175;-3,94682;-0,4310642;-5,033711;4,455408;-0,1462232;-3,956817;-3,336867;2,057647;-2,285059;-1,959013;4,076034
Index: 18 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,996958 | BrainData : -2,285438;0,1842688;-1,64098;0,5611732;-3,551375;4,114718;-0,04942977;3,239594;2,165701;4,473146;1,493363;-4,641555;-4,579215;2,087306;-2,637225;-3,955667;-0,4260879;-5,04496;4,452376;-0,1524109;-3,925909;-3,315393;2,029111;-2,327433;-1,985385;4,080183
Index: 19 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,986916 | BrainData : -2,238658;0,1704039;-1,632169;0,5611732;-3,49488;4,15978;-0,05346089;3,239594;2,165701;4,473146;1,491965;-4,644226;-4,595873;2,133487;-2,640134;-3,995754;-0,5008635;-5,033711;4,496093;-0,1524109;-3,921523;-3,370929;2,025243;-2,279192;-1,985385;4,076034
Index: 20 | Name: car 34 | Brain Type: TOP2 | Fitness: 1,956943 | BrainData : -2,238658;0,2096773;-1,632169;0,5885944;-3,503029;4,15978;-0,05346089;3,256169;2,165701;4,473146;1,468595;-4,60217;-4,579215;2,122642;-2,597721;-3,945547;-0,4668461;-5,005031;4,435447;-0,1234898;-3,944264;-3,316275;2,057647;-2,288625;-1,985385;4,041342
Index: 21 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,924427 | BrainData : -2,201245;0,1395574;-1,632169;0,5879712;-3,544565;4,15978;-0,05346089;3,208505;2,165701;4,51748;1,491965;-4,601379;-4,579215;2,08612;-2,65425;-3,94682;-0,4876741;-5,000868;4,452376;-0,1524109;-3,917691;-3,336867;2,016358;-2,303137;-1,985385;4,076034
Index: 22 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,919729 | BrainData : -2,243624;0,1842688;-1,632169;0,5611732;-3,52665;4,138187;-0,03582578;3,241454;2,165701;4,493471;1,504683;-4,601379;-4,579215;2,152933;-2,669362;-3,94682;-0,4588374;-5,033711;4,441961;-0,1822911;-3,952503;-3,336867;2,037376;-2,279192;-1,969028;4,085748
