Generation: 984 | maxFitness: 3,670536 | maxFitnessGen: 2,277963 | maxFitnessGenBuf: 2,224771
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 31 | Brain Type: TOP2 | Fitness: 2,076438 | BrainData : -2,28145;0,05083168;-2,029526;0,02091233;-3,302987;4,319166;-0,1627317;3,363019;2,071727;4,549043;1,029823;-4,710652;-4,126953;2,144737;-2,426449;-3,482949;-0,4410124;-4,306702;4,40003;-0,3042107;-3,955;-3,164627;2,243119;-2,264379;-1,775152;3,940141
Index: 14 | Name: car 45 | Brain Type: TOP2 | Fitness: 2,075347 | BrainData : -2,262596;0,07558194;-2,04882;-0,006998869;-3,320978;4,322268;-0,1328589;3,336529;2,097526;4,508751;1,011535;-4,662442;-4,087914;2,144737;-2,354431;-3,52484;-0,4055947;-4,29777;4,369395;-0,3326696;-3,906423;-3,148719;2,228335;-2,307636;-1,775152;3,98228
Index: 15 | Name: car 14 | Brain Type: RandomParents | Fitness: 2,074127 | BrainData : -2,233528;0,06105236;-2,029526;-0,0148407;-3,252258;4,228462;-0,1507845;3,460378;1,989811;4,549259;1,05096;-4,662442;-4,186855;2,130823;-2,421815;-3,572167;-0,3494493;-4,267443;4,357138;-0,3841231;-3,876763;-3,236959;2,195318;-2,287414;-1,82889;3,976035
Index: 16 | Name: car 26 | Brain Type: TOP2 | Fitness: 2,059187 | BrainData : -2,286833;0,07960863;-2,029526;0,02118544;-3,29557;4,240348;-0,1701322;3,382778;2,097526;4,508751;1,029823;-4,662442;-4,093271;2,121401;-2,389654;-3,570665;-0,4819253;-4,297116;4,41792;-0,3042107;-3,906423;-3,164627;2,228335;-2,308678;-1,763183;3,96087
Index: 17 | Name: car 46 | Brain Type: TOP2 | Fitness: 2,04538 | BrainData : -2,313216;0,05083168;-2,029526;-0,0470202;-3,302987;4,268248;-0,1328589;3,415992;2,134326;4,493717;1,029823;-4,673842;-4,156001;2,144737;-2,383617;-3,52484;-0,407082;-4,312578;4,40003;-0,3042107;-3,906423;-3,164627;2,228335;-2,252593;-1,758405;3,96087
Index: 18 | Name: car 40 | Brain Type: TOP2 | Fitness: 2,044967 | BrainData : -2,286833;0,05083168;-2,031759;-0,006998869;-3,302987;4,27765;-0,1407548;3,382778;2,097526;4,540129;1,029823;-4,673661;-4,126953;2,144737;-2,389654;-3,483999;-0,4199239;-4,312578;4,40003;-0,3042107;-3,906423;-3,164627;2,228335;-2,264379;-1,770763;3,991201
Index: 19 | Name: car 38 | Brain Type: TOP2 | Fitness: 2,044961 | BrainData : -2,245586;0,09756508;-2,016933;-0,006998869;-3,335972;4,27765;-0,1328589;3,382778;2,097526;4,508751;0,993004;-4,63373;-4,126953;2,18346;-2,348652;-3,52484;-0,4392549;-4,312578;4,383203;-0,3277197;-3,906423;-3,203199;2,192927;-2,231873;-1,765943;3,917552
Index: 20 | Name: car 10 | Brain Type: RandomParents | Fitness: 2,010902 | BrainData : -2,230413;0,1328358;-2,029526;0,03277644;-3,233859;4,255538;-0,1328589;3,473567;2,007123;4,448756;1,065927;-4,636004;-4,174593;2,166976;-2,414285;-3,568107;-0,4094274;-4,240956;4,40003;-0,3884742;-3,906423;-3,189009;2,234939;-2,276701;-1,793543;3,931497
Index: 21 | Name: car 37 | Brain Type: TOP2 | Fitness: 2,009979 | BrainData : -2,317216;0,02254668;-2,003603;-0,006998869;-3,255972;4,27765;-0,1328589;3,382778;2,101679;4,508084;1,029823;-4,662442;-4,126953;2,144964;-2,389654;-3,52484;-0,4687523;-4,357527;4,369092;-0,3122175;-3,906423;-3,164627;2,27489;-2,268896;-1,775152;3,96087
Index: 22 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,983519 | BrainData : -2,25116;0,09958678;-2,03079;-0,05499218;-3,302987;4,306917;-0,180609;3,354807;2,097526;4,539559;1,049453;-4,662442;-4,126953;2,111774;-2,389654;-3,571747;-0,4410124;-4,312578;4,40003;-0,3042107;-3,874439;-3,164627;2,189488;-2,264379;-1,779801;3,96087
