Generation: 2 | maxFitness: 0,3747818 | maxFitnessGen: 0,3747818 | maxFitnessGenBuf: 0,6296127
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,4887921 | BrainData : -3,423859;0,6031106;-3,953264;2,966779;2,083017;0,9519963;0,2880466;-0,9949057;4,230203;0,170682;-0,6490688;-0,948367;2,79974;-1,969509;5,020132;-1,360611;1,651922;-2,712221;0,2892881;-4,901689;0,01316261;4,546589;-0,3199248;-4,383655;-0,5878763;3,60512
Index: 14 | Name: car 44 | Brain Type: TOP2 | Fitness: 0,4887921 | BrainData : -3,467983;0,6381183;-3,996278;2,966779;2,106677;0,9148945;0,3305407;-1,020778;4,301141;0,170682;-0,6754446;-0,9162558;2,813366;-1,969509;5,008781;-1,360611;1,623372;-2,712221;0,2436132;-4,890082;0,01316261;4,546589;-0,3514988;-4,352826;-0,5878763;3,60512
Index: 15 | Name: car 47 | Brain Type: TOP2 | Fitness: 0,4887921 | BrainData : -3,467983;0,6381183;-4,017886;2,966779;2,106677;0,9519963;0,3305407;-1,020778;4,274708;0,170682;-0,6100619;-0,963922;2,784908;-1,952174;4,98138;-1,372816;1,615531;-2,712221;0,2698671;-4,803843;0,01316261;4,546589;-0,3199248;-4,352826;-0,5878763;3,60512
Index: 16 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,4886975 | BrainData : -3,516016;0,6381183;-3,97851;2,966779;2,106677;0,9519963;0,3305407;-1,045792;4,275982;0,170682;-0,6524575;-0,963922;2,803993;-1,969509;5,017393;-1,360611;1,699324;-2,712221;0,2316746;-4,805462;-0,009424551;4,546589;-0,3453935;-4,352826;-0,5878763;3,60512
Index: 17 | Name: car 40 | Brain Type: TOP2 | Fitness: 0,4886975 | BrainData : -3,467983;0,6799548;-3,962066;3,005783;2,106677;0,9519963;0,3305407;-0,9949648;4,274708;0,170682;-0,6760399;-1,006298;2,760571;-1,969509;5,017938;-1,360611;1,651922;-2,712221;0,2335886;-4,810371;-0,008810698;4,546589;-0,3199248;-4,311321;-0,5878763;3,60512
Index: 18 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,4886835 | BrainData : -3,467983;0,6381183;-4,007605;2,936837;2,106677;0,958379;0,3697785;-1,020778;4,274708;0,170682;-0,6490688;-0,963922;2,788484;-1,969509;5,004535;-1,34801;1,651922;-2,712221;0,2436132;-4,807889;0,01316261;4,53104;-0,2782796;-4,352826;-0,5878763;3,60512
Index: 19 | Name: car 30 | Brain Type: TOP2 | Fitness: 0,488622 | BrainData : -3,467983;0,6875054;-3,995793;2,944565;2,106677;0,9519963;0,3305407;-0,9995037;4,240517;0,170682;-0,6490688;-0,9452946;2,853443;-1,969509;4,98138;-1,351968;1,667197;-2,712221;0,2470781;-4,853455;0,01316261;4,520136;-0,3199248;-4,402699;-0,5878763;3,60512
Index: 20 | Name: car 43 | Brain Type: TOP2 | Fitness: 0,4885809 | BrainData : -3,467983;0,6381183;-4,018906;2,966779;2,106677;0,991112;0,3305407;-1,020778;4,25544;0,1901543;-0,6954732;-0,9476187;2,853423;-1,969509;4,967145;-1,313091;1,615239;-2,668517;0,2597379;-4,87155;-0,01258333;4,506675;-0,3199248;-4,352826;-0,590314;3,60512
Index: 21 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,4885479 | BrainData : -3,503309;0,6335745;-3,9516;2,919359;2,106677;0,9519963;0,3305407;-1,020778;4,274708;0,1238509;-0,6490688;-0,9236035;2,844553;-1,969509;4,969477;-1,396174;1,651922;-2,712221;0,2290498;-4,830704;0,00784053;4,510817;-0,331356;-4,352826;-0,5878763;3,60512
Index: 22 | Name: car 26 | Brain Type: TOP2 | Fitness: 0,4885333 | BrainData : -3,486873;0,6629527;-3,99769;2,966779;2,087658;0,9154337;0,2895719;-1,020778;4,263384;0,1963975;-0,6472413;-0,962204;2,797719;-1,969509;4,98138;-1,328203;1,677824;-2,712221;0,2533062;-4,821846;0,01316261;4,500581;-0,3199248;-4,352826;-0,5878763;3,60512
Index: 23 | Name: car 27 | Brain Type: TOP2 | Fitness: 0,4880214 | BrainData : -3,43836;0,6381183;-3,99769;2,966779;2,102944;0,9929026;0,327791;-1,020778;4,262762;0,1597685;-0,6490688;-0,963922;2,7626;-1,969509;4,970808;-1,360611;1,674142;-2,712221;0,2436132;-4,847015;0,006767263;4,543255;-0,3199248;-4,337688;-0,5878763;3,653729
Index: 24 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,4879757 | BrainData : -3,42284;0,6032505;-3,99769;2,966779;2,150973;0,9367486;0,2861971;-0,998749;4,274708;0,2139539;-0,6490688;-0,963922;2,803993;-1,964193;4,95631;-1,409498;1,651922;-2,712221;0,2878856;-4,854284;0,01316261;4,546589;-0,2739868;-4,393546;-0,5710763;3,60512
Index: 25 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,4822693 | BrainData : -3,467983;0,6381183;-4,004456;2,966779;2,083359;0,9519963;0,3305407;-1,020778;4,274708;0,1790536;-0,6490688;-0,9779662;2,835511;-1,921649;4,99105;-1,388593;1,679527;-2,733249;0,2436132;-4,853455;0,01316261;4,507927;-0,3199248;-4,314466;-0,5469118;3,652518
Index: 26 | Name: car 48 | Brain Type: TOP2 | Fitness: 0,4822064 | BrainData : -3,476684;0,6381183;-3,96983;2,966779;2,147577;0,9519963;0,3305407;-1,027788;4,274708;0,1417958;-0,6723487;-0,963922;2,812724;-1,969509;4,98138;-1,386024;1,616438;-2,691609;0,2687877;-4,861629;0,003873338;4,572818;-0,3576901;-4,362856;-0,5408115;3,60512
Index: 27 | Name: car 20 | Brain Type: TotallyRandom | Fitness: 0,4280322 | BrainData : 3,225974;3,000964;3,03941;-1,763812;-2,541579;3,643311;2,007484;-0,1621084;-4,936881;-0,6541734;0,2336545;4,448823;3,852675;1,855536;-4,374596;4,809665;-3,994944;-1,925866;-0,3954105;-1,179638;-3,674082;-1,461331;3,768067;-3,500269;0,05521584;-1,028163
Index: 28 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,4185388 | BrainData : 4,388988;2,544518;-0,5139166;1,166292;0,7663898;0,3668086;-4,987069;3,645527;-1,545573;1,730103;-3,807248;-1,940267;-2,783737;2,159166;4,438941;-1,121757;-3,238413;-0,4140668;0,7836814;3,970644;-3,73958;3,463723;-0,1358962;-3,109146;1,622347;-3,29749
Index: 29 | Name: car 15 | Brain Type: TotallyRandom | Fitness: 0,4184807 | BrainData : 1,174604;0,3014522;-0,2901287;1,418223;-4,438735;3,422621;1,430898;-4,123365;-4,076799;2,380822;-1,764806;2,425227;1,57978;-1,646676;-4,85461;2,404686;-4,486961;2,884696;-0,02185631;2,77202;-2,674649;1,411924;1,513785;-4,677882;-0,1000552;2,992032
