Generation: 315 | maxFitness: 3,670536 | maxFitnessGen: 1,749311 | maxFitnessGenBuf: 1,723777
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,604199 | BrainData : 1,009852;0,946751;3,740009;0,3633045;3,229514;-0,8226922;4,389162;0,5237144;-0,2612618;-1,001456;-3,809403;-4,341793;3,054113;-2,972466;3,743936;-3,263646;4,980124;1,245319;-1,194846;-4,937624;-1,051393;0,2757983;-1,501641;1,176991;-2,68138;3,877891
Index: 14 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,588185 | BrainData : 1,06123;0,9331211;3,744294;0,3591056;3,346482;-0,8382311;4,453094;0,4662041;-0,3446597;-0,951152;-3,85757;-4,316007;3,128152;-3,020857;3,744328;-3,289757;4,948066;1,291041;-1,314083;-4,937747;-1,022131;0,3029171;-1,535376;1,163575;-2,657722;3,853765
Index: 15 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,581446 | BrainData : 1,100838;0,9223629;3,72913;0,319648;3,346482;-0,8382311;4,435156;0,4934929;-0,3858977;-0,9651397;-3,886896;-4,316007;3,0728;-3,013561;3,744328;-3,273029;4,948066;1,253937;-1,314083;-4,899301;-1,023267;0,2873252;-1,526639;1,124898;-2,679834;3,853765
Index: 16 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,551069 | BrainData : 1,067307;0,9345298;3,774641;0,3591056;3,346482;-0,8837658;4,391482;0,5255029;-0,3446597;-0,9826594;-3,85757;-4,361849;3,11965;-3,020857;3,724233;-3,299676;4,948066;1,2859;-1,264856;-4,899301;-1,009148;0,3167524;-1,509645;1,124898;-2,679834;3,813692
Index: 17 | Name: car 11 | Brain Type: RandomParents | Fitness: 1,540616 | BrainData : 1,026493;0,946751;3,690254;0,3649607;3,275598;-0,8617482;4,351428;0,4899701;-0,2741671;-0,9846788;-3,858827;-4,374203;3,050441;-3,005917;3,778496;-3,314894;4,979221;1,209168;-1,223032;-4,886402;-1,004567;0,3057362;-1,457201;1,136683;-2,640119;3,88172
Index: 18 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,523176 | BrainData : 1,06123;0,9345298;3,72913;0,361596;3,366254;-0,8382311;4,433381;0,5017309;-0,3743652;-0,9142736;-3,874015;-4,316007;3,11965;-3,020857;3,73358;-3,299676;4,910238;1,253937;-1,314083;-4,899301;-1,009148;0,3167524;-1,509645;1,124898;-2,641965;3,90327
Index: 19 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,520087 | BrainData : 1,046928;0,946751;3,717181;0,3161867;3,229514;-0,855053;4,378293;0,5234208;-0,2612618;-0,9798541;-3,809664;-4,341793;3,093448;-3,025984;3,738782;-3,263646;5,014098;1,245319;-1,194846;-4,895863;-1,019123;0,2757983;-1,511768;1,176991;-2,728445;3,907566
Index: 20 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,515163 | BrainData : 1,06123;0,8994938;3,72913;0,3591056;3,346482;-0,8635983;4,433381;0,4934929;-0,2955534;-0,9146959;-3,81654;-4,316007;3,11965;-3,020857;3,7522;-3,275312;4,912498;1,250332;-1,27686;-4,899301;-1,009148;0,3592317;-1,474666;1,087736;-2,679834;3,820109
Index: 21 | Name: car 6 | Brain Type: RandomParents | Fitness: 1,411712 | BrainData : 1,041443;0,9134709;3,669786;0,298397;3,293749;-0,8207982;4,402598;0,4985281;-0,2158505;-0,9846788;-3,859355;-4,339421;3,008925;-3,017693;3,727256;-3,266566;4,978925;1,222352;-1,24063;-4,907057;-1,023777;0,3137637;-1,516155;1,136683;-2,728756;3,877891
Index: 22 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,345725 | BrainData : 1,040279;0,9261956;3,753041;0,3591056;3,344193;-0,8382311;4,433381;0,4934929;-0,3596896;-0,951152;-3,85757;-4,316007;3,098773;-3,063954;3,768682;-3,275807;4,899551;1,28111;-1,314083;-4,899301;-1,009148;0,3496534;-1,513752;1,129972;-2,660264;3,844562
Index: 23 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,272051 | BrainData : 1,109528;0,9345298;3,72913;0,3591056;3,319935;-0,8158601;4,433381;0,4934929;-0,3446597;-0,951152;-3,847408;-4,314078;3,108149;-3,020857;3,718643;-3,311133;4,948066;1,25073;-1,322414;-4,929715;-0,998598;0,3167524;-1,509645;1,15769;-2,679834;3,853765
Index: 24 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,146504 | BrainData : 1,042802;0,9668065;3,72913;0,3591056;3,382349;-0,8490185;4,433381;0,4761775;-0,3559391;-0,9510342;-3,883612;-4,324078;3,11965;-3,020857;3,709624;-3,299676;4,958379;1,229261;-1,267221;-4,899301;-0,9843809;0,3167524;-1,509645;1,165336;-2,679834;3,853765
Index: 25 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,128475 | BrainData : 1,03896;0,9791112;3,72913;0,3591056;3,388624;-0,8294319;4,433381;0,4934929;-0,3446597;-0,951152;-3,857294;-4,349124;3,112819;-3,020857;3,760604;-3,299676;4,899376;1,253937;-1,314083;-4,869061;-1,009148;0,3354043;-1,481363;1,150995;-2,643606;3,82136
