Generation: 35 | maxFitness: 1,786175 | maxFitnessGen: 1,752201 | maxFitnessGenBuf: 1,568185
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 14 | Brain Type: RandomParents | Fitness: 1,568185 | BrainData : 1,29842;1,406002;3,859515;0,3357301;3,09065;-0,783922;4,340087;0,6286648;-0,2553298;-1,471332;-3,734591;-4,478936;3,503336;-2,553868;3,729069;-3,204479;4,755035;1,404373;-1,162343;-4,157288;-0,6492191;0,3240776;-1,035663;1,158667;-2,862971;4,235856
Index: 1 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,567149 | BrainData : 1,252625;1,38732;3,833751;0,3136028;3,036522;-0,7496726;4,361052;0,6608161;-0,2189992;-1,51732;-3,703167;-4,478936;3,54788;-2,631549;3,738577;-3,223328;4,743414;1,390519;-1,162343;-4,166305;-0,6390936;0,3217262;-0,9962124;1,172384;-2,842385;4,235856
Index: 2 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,566694 | BrainData : 1,254896;1,38732;3,84818;0,3136028;3,059086;-0,7496726;4,319336;0,6608161;-0,2189992;-1,494234;-3,703167;-4,494807;3,593566;-2,597311;3,753908;-3,241108;4,721308;1,375429;-1,162343;-4,150014;-0,6458947;0,3240776;-1,033881;1,172384;-2,82498;4,215677
Index: 3 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,564906 | BrainData : 1,233632;1,38732;3,837472;0,2964484;3,056793;-0,7496726;4,319336;0,6608161;-0,1706326;-1,494234;-3,654359;-4,453265;3,54788;-2,597311;3,718306;-3,230831;4,762152;1,375429;-1,150118;-4,189758;-0,6390936;0,3240776;-0,9842532;1,172384;-2,840804;4,235856
Index: 4 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,562495 | BrainData : 1,252625;1,363761;3,790989;0,3136028;3,093692;-0,7496726;4,271931;0,6608161;-0,2045843;-1,494234;-3,703167;-4,478936;3,500769;-2,572324;3,753908;-3,230831;4,772568;1,410455;-1,162343;-4,166305;-0,6390936;0,3240776;-1,033881;1,172384;-2,842385;4,229856
Index: 5 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,549325 | BrainData : 1,252625;1,38732;3,842746;0,3136028;3,059086;-0,7010742;4,319336;0,616708;-0,1795417;-1,523349;-3,733912;-4,478936;3,54788;-2,587564;3,724506;-3,230831;4,762152;1,329703;-1,162343;-4,166305;-0,6390936;0,3240776;-1,033881;1,204307;-2,797602;4,247716
Index: 6 | Name: car 3 | Brain Type: RandomParents | Fitness: 1,523093 | BrainData : 1,247963;1,431077;3,842399;0,3128474;3,091995;-0,751614;4,299407;0,6662921;-0,2058532;-1,494118;-3,725122;-4,478936;3,54788;-2,587476;3,772285;-3,279639;4,735137;1,403085;-1,20576;-4,140913;-0,6438227;0,3409503;-1,013351;1,166301;-2,805056;4,235856
Index: 7 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,515766 | BrainData : 1,252625;1,38732;3,837472;0,3136028;3,059086;-0,7496726;4,347777;0,6359464;-0,2189992;-1,459395;-3,703167;-4,478936;3,510597;-2,597311;3,753908;-3,210287;4,762152;1,366511;-1,162343;-4,17502;-0,6223283;0,3249905;-1,073858;1,172384;-2,842385;4,266243
Index: 8 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,481711 | BrainData : 1,252625;1,345726;3,810133;0,3136028;3,022332;-0,7496726;4,310002;0,6608161;-0,2189992;-1,494234;-3,703167;-4,524579;3,542702;-2,568562;3,801918;-3,201693;4,784778;1,387081;-1,172113;-4,166305;-0,6677459;0,3240776;-1,078695;1,148471;-2,866854;4,235856
Index: 9 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,477044 | BrainData : 1,207604;1,38732;3,847916;0,3304774;3,059086;-0,7859014;4,312156;0,6896748;-0,2189992;-1,494234;-3,672486;-4,490062;3,54788;-2,597311;3,753908;-3,202007;4,762152;1,388634;-1,162343;-4,166305;-0,6390936;0,3240776;-1,067603;1,138571;-2,886761;4,186016
Index: 10 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,476277 | BrainData : 1,277534;1,38732;3,837472;0,3332696;3,059086;-0,7079782;4,319336;0,6273754;-0,1906844;-1,478178;-3,737947;-4,489011;3,54788;-2,63811;3,794802;-3,230831;4,762152;1,347216;-1,162343;-4,124068;-0,6390936;0,3399777;-1,010178;1,172384;-2,842385;4,262264
