Generation: 687 | maxFitness: 3,670536 | maxFitnessGen: 2,089555 | maxFitnessGenBuf: 2,091016
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 49 | Brain Type: TOP2 | Fitness: 2,091016 | BrainData : -2,313568;0,3014821;-1,86461;0,4793969;-3,490221;4,04205;-0,1743056;3,363886;1,823407;4,791431;1,440341;-4,675438;-4,556476;1,885908;-2,361938;-3,598047;-0,2166756;-5,154118;4,221624;0,0294283;-3,941583;-3,150098;2,091887;-2,495963;-2,083606;4,360505
Index: 1 | Name: car 13 | Brain Type: RandomParents | Fitness: 2,045259 | BrainData : -2,357308;0,3255155;-1,865594;0,5216215;-3,452597;4,007068;-0,2281745;3,402255;1,706691;4,829478;1,443322;-4,697413;-4,587694;1,896186;-2,406542;-3,556239;-0,2355215;-5,167199;4,240208;-0,04389948;-3,970137;-3,188156;2,073635;-2,618978;-2,099968;4,364352
Index: 2 | Name: car 46 | Brain Type: TOP2 | Fitness: 2,031482 | BrainData : -2,357308;0,262749;-1,894126;0,5110868;-3,494046;4,04205;-0,1726539;3,38625;1,824435;4,784842;1,417599;-4,676312;-4,507905;1,860586;-2,361938;-3,549237;-0,214928;-5,176119;4,239975;-0,0106702;-3,941583;-3,150098;2,1261;-2,495034;-2,043558;4,360505
Index: 3 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,981266 | BrainData : -2,357308;0,2441659;-1,895249;0,5110868;-3,448418;4,061514;-0,197815;3,353938;1,809;4,80971;1,428707;-4,693482;-4,556476;1,885908;-2,394116;-3,549237;-0,1772108;-5,13622;4,286846;-0,0106702;-3,941583;-3,150098;2,106466;-2,53779;-2,083606;4,370073
Index: 4 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,974402 | BrainData : -2,360973;0,2513106;-1,895249;0,5079303;-3,492942;4,04205;-0,2097424;3,337542;1,775229;4,80971;1,440341;-4,74086;-4,556476;1,899346;-2,319223;-3,549237;-0,2562296;-5,138443;4,250351;-0,01415814;-3,941583;-3,150098;2,106466;-2,53779;-2,083606;4,360505
Index: 5 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,974402 | BrainData : -2,357308;0,2294677;-1,895249;0,5110868;-3,494046;4,077576;-0,197815;3,412695;1,775229;4,856133;1,39978;-4,678835;-4,571098;1,885908;-2,312343;-3,591691;-0,233214;-5,176119;4,28993;-0,00360721;-3,950949;-3,150098;2,106466;-2,539848;-2,083606;4,360505
Index: 6 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,974402 | BrainData : -2,38164;0,2981394;-1,895249;0,4971417;-3,522155;4,04205;-0,197815;3,362561;1,775229;4,80971;1,465297;-4,697413;-4,556476;1,885908;-2,340351;-3,581465;-0,1715778;-5,176119;4,250351;0,0114553;-3,941583;-3,162388;2,106466;-2,574901;-2,083606;4,360505
Index: 7 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,974402 | BrainData : -2,400111;0,2707934;-1,895249;0,5110868;-3,523456;4,083429;-0,197815;3,363886;1,779697;4,80971;1,4477;-4,653973;-4,527535;1,852312;-2,361938;-3,549237;-0,2664724;-5,176119;4,250351;0,01260976;-3,941583;-3,150098;2,106466;-2,494191;-2,083606;4,360505
Index: 8 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,950523 | BrainData : -2,325724;0,2707934;-1,883919;0,5530306;-3,494046;4,04205;-0,1951652;3,326602;1,775229;4,80971;1,426574;-4,734972;-4,556476;1,885908;-2,361938;-3,576379;-0,179263;-5,19266;4,270553;-0,05559977;-3,941583;-3,198879;2,07237;-2,53779;-2,083606;4,360505
Index: 9 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,914107 | BrainData : -2,370821;0,3049777;-1,895249;0,5110868;-3,4724;4,072202;-0,2157717;3,363886;1,775229;4,850166;1,408445;-4,697413;-4,571935;1,885908;-2,361938;-3,549237;-0,2166756;-5,176119;4,250351;0,01633521;-3,941583;-3,152275;2,128784;-2,506203;-2,059005;4,351573
Index: 10 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,837321 | BrainData : -2,39086;0,2707934;-1,876563;0,5110868;-3,459377;4,019493;-0,2089899;3,351476;1,775451;4,80971;1,426697;-4,697413;-4,509657;1,885908;-2,366497;-3,528986;-0,2166756;-5,176119;4,250351;-0,0106702;-3,941583;-3,150098;2,068096;-2,53779;-2,071661;4,360505
