Generation: 948 | maxFitness: 3,670536 | maxFitnessGen: 2,11299 | maxFitnessGenBuf: 2,320402
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 30 | Brain Type: TOP2 | Fitness: 2,130141 | BrainData : -2,355116;0,1302621;-2,067675;0,06266589;-3,251273;4,374548;0,07262982;3,531391;2,155518;4,566463;0,9705153;-4,782957;-4,499289;2,220299;-2,326006;-3,599589;-0,2677816;-4,494505;4,555894;-0,434184;-3,968096;-3,253359;2,243144;-2,233732;-1,832133;4,154824
Index: 14 | Name: car 49 | Brain Type: TOP2 | Fitness: 2,091866 | BrainData : -2,344003;0,1549242;-2,066847;0,09304409;-3,324744;4,325288;-0,005576972;3,491832;2,204962;4,566463;0,9574381;-4,819644;-4,499289;2,207854;-2,340886;-3,599589;-0,2235048;-4,532629;4,522935;-0,434184;-3,919062;-3,218919;2,207855;-2,3008;-1,86099;4,165319
Index: 15 | Name: car 31 | Brain Type: TOP2 | Fitness: 2,088483 | BrainData : -2,355116;0,1302621;-2,059687;0,06266589;-3,297882;4,357398;0,05174397;3,490273;2,196187;4,566463;0,9574381;-4,764435;-4,521025;2,17618;-2,340886;-3,599589;-0,2776573;-4,468036;4,555894;-0,4157206;-4,004999;-3,218919;2,243144;-2,269989;-1,876981;4,165319
Index: 16 | Name: car 40 | Brain Type: TOP2 | Fitness: 2,08345 | BrainData : -2,367775;0,1637189;-2,067652;0,06266589;-3,270477;4,374548;0,03748358;3,490273;2,204962;4,566463;0,9574381;-4,76472;-4,499289;2,207854;-2,340886;-3,606668;-0,2677816;-4,46486;4,555894;-0,434184;-3,968096;-3,205927;2,238399;-2,258439;-1,834079;4,165319
Index: 17 | Name: car 9 | Brain Type: RandomParents | Fitness: 2,082671 | BrainData : -2,387258;0,1302621;-2,126278;0,1048054;-3,323274;4,42219;0,03748358;3,490273;2,172993;4,58602;0,9373462;-4,781003;-4,520241;2,177261;-2,334502;-3,599589;-0,3071264;-4,448951;4,52619;-0,4779164;-3,941832;-3,205073;2,245062;-2,245625;-1,88143;4,178179
Index: 18 | Name: car 42 | Brain Type: TOP2 | Fitness: 2,082448 | BrainData : -2,357084;0,1115841;-2,059687;0,06597385;-3,26409;4,366328;0,03748358;3,471147;2,169905;4,520025;0,9574381;-4,782957;-4,451383;2,240723;-2,340886;-3,612559;-0,2529716;-4,483773;4,555894;-0,434184;-3,968096;-3,218919;2,198381;-2,294035;-1,867248;4,165319
Index: 19 | Name: car 43 | Brain Type: TOP2 | Fitness: 2,078717 | BrainData : -2,399413;0,09667988;-2,059687;0,100045;-3,295817;4,363059;0,03748358;3,490273;2,204962;4,60384;0,9574381;-4,77581;-4,499289;2,227649;-2,380228;-3,601046;-0,3105117;-4,494771;4,533123;-0,434184;-3,968096;-3,218919;2,196259;-2,266182;-1,868145;4,165319
Index: 20 | Name: car 10 | Brain Type: RandomParents | Fitness: 2,076465 | BrainData : -2,372885;0,1302621;-2,059687;0,06266589;-3,321108;4,374548;0,03748358;3,524923;2,204962;4,533969;0,978389;-4,767061;-4,499289;2,207854;-2,340886;-3,599589;-0,2431988;-4,523898;4,555894;-0,434184;-4,015769;-3,251447;2,272833;-2,269989;-1,818655;4,197314
Index: 21 | Name: car 48 | Brain Type: TOP2 | Fitness: 2,022677 | BrainData : -2,355116;0,1082279;-2,081139;0,04496982;-3,297882;4,378881;0,05503237;3,494864;2,204962;4,59843;0,9574381;-4,735057;-4,499289;2,207854;-2,320471;-3,599589;-0,2786845;-4,533193;4,555894;-0,4550444;-3,976971;-3,267449;2,243144;-2,292371;-1,834306;4,147278
Index: 22 | Name: car 4 | Brain Type: RandomParents | Fitness: 1,994038 | BrainData : -2,361511;0,1646276;-2,036341;0,0668807;-3,246149;4,408732;0,04278494;3,490273;2,152141;4,583265;0,9928243;-4,794356;-4,481863;2,193618;-2,364455;-3,643189;-0,2677816;-4,43428;4,498254;-0,3848885;-3,950815;-3,247503;2,235883;-2,274091;-1,884992;4,165319
Index: 23 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,963102 | BrainData : -2,307042;0,1107936;-2,059687;0,06318106;-3,297882;4,407916;0,07786562;3,477385;2,197088;4,519328;0,9540827;-4,821507;-4,459004;2,207854;-2,30972;-3,599589;-0,3056423;-4,528516;4,512095;-0,4697835;-3,926046;-3,229469;2,291994;-2,269989;-1,868145;4,209514
Index: 24 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,961261 | BrainData : -2,355116;0,1302621;-2,059687;0,0258431;-3,271414;4,393811;0,03748358;3,451912;2,243641;4,566463;0,9975987;-4,766952;-4,499289;2,211157;-2,340886;-3,599589;-0,2214673;-4,517737;4,526249;-0,434184;-3,968096;-3,240448;2,243144;-2,269989;-1,8855;4,166214
Index: 25 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,952689 | BrainData : -2,337459;0,1534923;-2,076303;0,04854342;-3,248604;4,394657;0,03748358;3,490273;2,172993;4,566463;0,9561421;-4,775159;-4,481863;2,17396;-2,339525;-3,510444;-0,2992841;-4,487142;4,538865;-0,4503925;-3,982595;-3,218919;2,23753;-2,317586;-1,834863;4,153571
Index: 26 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,939972 | BrainData : -2,391524;0,02920695;-2,063966;0,1061711;-3,28052;4,406409;0,004121447;3,509067;2,169341;4,518829;1,042861;-4,755483;-4,434715;2,220908;-2,403879;-3,567014;-0,2709682;-4,485183;4,497178;-0,4619486;-3,999642;-3,225009;2,254792;-2,291365;-1,911717;4,232082
Index: 27 | Name: car 5 | Brain Type: RandomParents | Fitness: 1,939675 | BrainData : -2,343939;0,06328841;-2,106955;0,05960539;-3,225524;4,388979;0,05340259;3,58055;2,185988;4,543432;1,001623;-4,87127;-4,548488;2,190926;-2,291155;-3,631669;-0,1781662;-4,398986;4,551421;-0,4571549;-3,95895;-3,263917;2,181575;-2,303169;-1,951749;4,179285
Index: 28 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,936829 | BrainData : -2,355116;0,132562;-2,059687;0,04994901;-3,347034;4,374548;0,01947746;3,474037;2,204962;4,566463;0,9574381;-4,782957;-4,545663;2,207854;-2,332157;-3,594706;-0,2677816;-4,459925;4,555894;-0,3876542;-3,968096;-3,218919;2,259594;-2,230951;-1,868145;4,165319
Index: 29 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,849361 | BrainData : -2,343612;0,133872;-2,076303;0,1093551;-3,248604;4,374548;0,01443829;3,506416;2,172993;4,512615;0,9256076;-4,744117;-4,481863;2,190926;-2,360287;-3,599589;-0,2637543;-4,507144;4,553749;-0,4271864;-3,992272;-3,212701;2,299675;-2,268227;-1,850655;4,165319
Index: 30 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,847191 | BrainData : -2,388269;0,1302621;-2,032987;0,06266589;-3,347684;4,362845;-0,003018077;3,500021;2,161484;4,566463;0,9574381;-4,822692;-4,474015;2,207854;-2,324259;-3,584402;-0,2677816;-4,494505;4,551639;-0,429002;-3,968096;-3,218919;2,243144;-2,269989;-1,89784;4,165319
Index: 31 | Name: car 2 | Brain Type: RandomParents | Fitness: 1,437103 | BrainData : -2,356864;0,1627212;-2,033546;0,0668807;-3,248604;4,374548;0,07958893;3,513882;2,172993;4,561731;1,002093;-4,772505;-4,56571;2,244373;-2,343899;-3,620624;-0,2677816;-4,514083;4,556475;-0,434184;-3,932819;-3,223795;2,205955;-2,269893;-1,850655;4,20696
Index: 32 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,270039 | BrainData : -2,355116;0,1302621;-2,081679;0,06266589;-3,345883;4,352357;-0,0006621517;3,490273;2,218597;4,583341;0,9369019;-4,782957;-4,474297;2,207854;-2,340886;-3,576052;-0,2677816;-4,494505;4,555894;-0,434184;-3,968096;-3,218919;2,243144;-2,299371;-1,901425;4,130295
Index: 33 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,211755 | BrainData : -2,402176;0,1302621;-2,048001;0,1084661;-3,297882;4,400476;0,03748358;3,490273;2,229531;4,566463;0,9574381;-4,782957;-4,499289;2,207854;-2,384354;-3,638468;-0,2677816;-4,494505;4,535343;-0,434184;-3,919582;-3,25381;2,274647;-2,269989;-1,900583;4,165319
Index: 34 | Name: car 24 | Brain Type: TotallyRandom | Fitness: 1,060383 | BrainData : -4,004687;4,3497;4,60185;1,149981;-2,817793;0,3988056;1,966834;-0,04512596;4,513568;-3,420084;1,115778;-0,299787;0,8024068;-3,158685;2,123867;1,491471;4,645724;1,13659;-3,724212;-0,8809047;1,502552;-4,019116;-2,071867;0,09466362;0,442987;-0,9294634
Index: 35 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,9941015 | BrainData : 1,196781;4,62796;4,873997;3,985098;2,857649;-1,341319;4,821388;-4,790108;3,993991;-3,668511;-1,367398;0,4809637;0,5483516;4,820629;3,591155;-4,783962;4,558623;-0,5026675;-0,8049876;-3,898413;-0,9600884;-2,327642;0,9194052;0,8520846;0,4979073;-1,126986
Index: 36 | Name: car 17 | Brain Type: TotallyRandom | Fitness: 0,809743 | BrainData : 3,770706;-2,36614;-2,133896;-3,876545;4,302162;0,343873;1,966293;2,640585;3,523781;-0,04421186;-0,4741354;2,742064;4,116561;-4,058443;-2,465637;-2,835128;-3,120422;2,26754;-4,359307;3,668297;-4,450642;-0,09858561;3,506268;1,943201;0,7555323;-3,620496
Index: 37 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,6704319 | BrainData : 2,623273;-1,582792;-0,5341525;-1,38097;0,09264898;4,653477;4,128741;-3,406287;-4,909324;4,987074;-0,1850648;-2,436461;1,363972;-1,525064;4,160667;-4,983667;-4,492994;-2,487658;-2,226432;1,616448;1,760463;-4,389901;-3,76351;-4,841804;4,384295;-4,159933
Index: 38 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,6669044 | BrainData : 0,02380491;1,316293;-2,238417;-3,990143;-3,713509;0,1028918;2,518064;0,9264356;-1,389578;1,17255;-1,700603;-0,01901809;-1,437188;1,235901;-2,008815;-1,611875;4,370736;-1,372818;-4,83676;-3,190636;-2,155463;3,335376;-4,778585;-0,6121739;1,985049;-2,817315
Index: 39 | Name: car 14 | Brain Type: RandomParents | Fitness: 0,6420547 | BrainData : -1,034518;1,030993;3,55344;-1,261108;1,469716;4,44147;-4,530972;1,159727;2,152914;-2,037616;3,090618;-4,571674;2,018438;0,6443851;2,400928;2,920856;3,273305;-2,126593;0,2526289;-4,917196;-4,138277;-1,133659;1,545009;-1,120656;1,11482;3,33844
Index: 40 | Name: car 12 | Brain Type: RandomParents | Fitness: 0,6419431 | BrainData : -1,033479;1,052291;3,596543;-1,249966;1,43089;4,491597;-4,509576;1,186951;2,140094;-2,049793;3,031452;-4,620036;1,969556;0,647145;2,388721;2,962568;3,364804;-2,172488;0,2070599;-4,910405;-4,138277;-1,178638;1,567314;-1,090814;1,130714;3,302313
Index: 41 | Name: car 20 | Brain Type: TotallyRandom | Fitness: 0,5963947 | BrainData : -2,544316;2,968502;4,74299;0,2629929;-3,982022;-1,649739;3,881469;2,669454;-1,282771;2,60149;2,59702;1,934361;3,47592;2,086847;1,979577;-4,83876;-2,134535;-3,130324;3,733437;4,886066;2,095181;-2,530069;-0,02356339;2,913295;3,45624;-2,835642
Index: 42 | Name: car 21 | Brain Type: TotallyRandom | Fitness: 0,5955588 | BrainData : -4,828686;4,338502;-3,249247;-4,91258;-4,078705;3,676938;4,824543;-3,325697;-2,689892;2,836401;-4,423971;-2,705988;2,384175;-0,8866091;4,010912;-1,205;3,924944;4,183687;-2,972218;-2,152557;-3,689743;0,6895428;4,185806;2,794721;2,465309;-3,676798
Index: 43 | Name: car 22 | Brain Type: TotallyRandom | Fitness: 0,5867681 | BrainData : -1,749595;1,291623;-3,583449;4,306321;2,857234;2,320476;-2,016961;2,221698;-3,737055;-2,106802;3,881947;-0,225472;-4,365643;-0,7530923;3,431084;-0,4758091;-1,025421;-3,57245;-1,375665;-2,026448;-2,55221;1,102521;-1,918524;4,669136;4,947309;2,429152
Index: 44 | Name: car 16 | Brain Type: TotallyRandom | Fitness: 0,5797795 | BrainData : -3,147354;-2,559451;3,188657;-2,285172;-1,777621;4,139794;0,04566479;-3,880562;0,1863055;3,336192;0,09788084;3,441561;-1,70342;1,745086;-1,821982;-1,871693;0,1561184;0,3741379;0,6769376;1,13251;4,762072;-0,70854;4,633491;-4,778385;4,67729;-4,242903
Index: 45 | Name: car 15 | Brain Type: TotallyRandom | Fitness: 0,4643073 | BrainData : 4,863357;4,522537;0,4729943;-3,61156;-0,8159833;0,1481171;-3,499595;0,03999186;-2,280555;0,1583533;-1,899157;1,846372;-4,532758;3,34373;0,8904629;2,918127;4,518959;-4,832886;4,768638;-3,592633;0,4301291;-2,382718;-4,520416;-1,91364;-2,675365;-3,872609
Index: 46 | Name: car 50 | Brain Type: RandomParents | Fitness: 0,4275913 | BrainData : -0,7956548;-1,30526;1,440449;-0,8288975;-1,136318;-4,615885;2,911303;-1,429952;2,768431;2,235668;-4,795769;0,9993525;-0,090137;0,2333755;-4,704398;-1,110249;1,427998;4,049263;-1,262699;4,227638;3,850572;4,893957;-3,891064;-3,484944;-1,191465;0,6422062
Index: 47 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,4266458 | BrainData : 0,7497948;-2,702341;-4,900381;2,061559;-2,848177;-0,3637979;3,673043;-4,311644;-3,357445;1,568083;3,805557;-2,380013;-4,367105;-0,8936175;1,582997;-1,456946;-2,049434;-4,210912;0,3909376;-0,7896402;-2,995113;-2,38149;4,203156;1,730036;-2,033827;1,721596
Index: 48 | Name: car 18 | Brain Type: TotallyRandom | Fitness: 0,4200613 | BrainData : -3,586317;
