Generation: 980 | maxFitness: 3,670536 | maxFitnessGen: 1,966275 | maxFitnessGenBuf: 2,089785
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 27 | Brain Type: TOP2 | Fitness: 2,060183 | BrainData : -2,320368;0,04762447;-2,029949;-0,03338921;-3,325993;4,281758;-0,09644596;3,416963;2,061515;4,534697;1,05096;-4,748809;-4,23442;2,182396;-2,458101;-3,611605;-0,4119667;-4,217116;4,40003;-0,3261094;-3,914858;-3,141323;2,275467;-2,295797;-1,780656;4,043987
Index: 14 | Name: car 48 | Brain Type: TOP2 | Fitness: 2,054997 | BrainData : -2,270643;0,03959193;-1,976675;-0,03338921;-3,307657;4,281758;-0,08458307;3,375938;2,106613;4,550744;1,047535;-4,706917;-4,17759;2,182396;-2,447103;-3,610843;-0,43677;-4,252093;4,40003;-0,3364241;-3,96223;-3,152238;2,256568;-2,295797;-1,780656;4,004797
Index: 15 | Name: car 3 | Brain Type: RandomParents | Fitness: 2,05401 | BrainData : -2,242776;0,03889498;-2,019509;-0,00660195;-3,320084;4,282581;-0,1117223;3,443926;2,061515;4,478582;1,022433;-4,749509;-4,222699;2,09952;-2,48957;-3,563997;-0,3686807;-4,217116;4,374122;-0,2903018;-3,867505;-3,133259;2,257093;-2,32206;-1,776582;4,028009
Index: 16 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,979471 | BrainData : -2,270643;0,03959193;-1,975889;-0,03007375;-3,373241;4,319861;-0,06301908;3,35222;2,061515;4,5319;1,05096;-4,723823;-4,233358;2,182396;-2,48957;-3,566374;-0,4199859;-4,195133;4,350389;-0,3261094;-3,914858;-3,152238;2,257093;-2,295797;-1,765872;4,028009
Index: 17 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,979239 | BrainData : -2,270643;0,03959193;-1,992571;-0,03011356;-3,341916;4,319047;-0,04889629;3,399425;2,051662;4,534697;1,010546;-4,706917;-4,222699;2,182396;-2,48957;-3,59945;-0,43677;-4,185896;4,445944;-0,3261094;-3,931688;-3,152238;2,257093;-2,270634;-1,780656;4,049916
Index: 18 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,978926 | BrainData : -2,264605;0,00161428;-1,987456;0,01118234;-3,320084;4,281758;-0,06760977;3,377834;2,091897;4,484001;1,098;-4,73596;-4,222699;2,147004;-2,48957;-3,578397;-0,4164297;-4,191031;4,345942;-0,2524724;-3,890825;-3,152396;2,230913;-2,307776;-1,780656;4,003778
Index: 19 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,978143 | BrainData : -2,270643;0,01342828;-1,987456;-0,02565489;-3,325993;4,281758;-0,049194;3,399425;2,053765;4,534697;1,05096;-4,740563;-4,247389;2,152598;-2,48957;-3,59945;-0,43677;-4,250357;4,409278;-0,3016223;-3,914858;-3,123334;2,245006;-2,305236;-1,780656;4,037399
Index: 20 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,977631 | BrainData : -2,306292;0,07512806;-2,008141;-0,03626619;-3,299715;4,300892;-0,08458307;3,446206;2,061515;4,557071;1,094891;-4,706917;-4,262957;2,182396;-2,48957;-3,603443;-0,43677;-4,225705;4,358101;-0,3261094;-3,914858;-3,190256;2,23253;-2,318199;-1,789917;4,034374
Index: 21 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,963869 | BrainData : -2,270643;0,03959193;-1,987456;-0,03338921;-3,325993;4,271592;-0,08458307;3,399425;2,101017;4,534697;1,05096;-4,662986;-4,222699;2,182278;-2,444223;-3,59945;-0,4503532;-4,255718;4,431923;-0,3261094;-3,938714;-3,152238;2,257093;-2,332704;-1,780656;4,06951
Index: 22 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,962651 | BrainData : -2,288679;0,00161428;-2,032527;-0,01858136;-3,303837;4,281758;-0,03731332;3,377834;2,091897;4,502612;1,098;-4,726233;-4,258788;2,157699;-2,48957;-3,638925;-0,4164297;-4,212223;4,392741;-0,2816061;-3,890825;-3,189276;2,219853;-2,333543;-1,780656;4,003778
Index: 23 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,903449 | BrainData : -2,289352;0,04435419;-2,002447;-0,03338921;-3,319476;4,27121;-0,06420308;3,399425;2,084624;4,534697;1,063266;-4,749966;-4,205421;2,182396;-2,440662;-3,59945;-0,43677;-4,190115;4,391027;-0,3261094;-3,914858;-3,182315;2,24527;-2,312437;-1,780656;4,050996
Index: 24 | Name: car 4 | Brain Type: RandomParents | Fitness: 1,9011 | BrainData : -2,265294;-0,005361876;-1,969562;0,00581238;-3,320084;4,309023;-0,1234423;3,377834;2,054158;4,504007;1,05096;-4,753918;-4,222699;2,193824;-2,505889;-3,575952;-0,3730012;-4,266881;4,410499;-0,3261094;-3,915411;-3,135675;2,257093;-2,321062;-1,773799;4,057775
Index: 25 | Name: car 25 | Brain Type: TOP2 | Fitness: 1,889304 | BrainData : -2,304847;0,08276554;-1,965214;-0,01669748;-3,325993;4,281758;-0,08365136;3,383628;2,055781;4,557839;1,05096;-4,732887;-4,24945;2,182396;-2,469601;-3,59945;-0,4159874;-4,197545;4,40003;-0,3261094;-3,890497;-3,152238;2,266495;-2,295797;-1,749311;4,029931
Index: 26 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,882171 | BrainData : -2,270643;0,03853391;-2,00368;-0,03354823;-3,293657;4,297941;-0,1051106;3,404953;2,061515;4,491721;1,05096;-4,73447;-4,218257;2,146155;-2,565117;-3,59945;-0,400289;-4,178249;4,425189;-0,3674495;-3,854177;-3,114009;2,246473;-2,315485;-1,762689;4,028009
Index: 27 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,856916 | BrainData : -2,260247;0,03959193;-1,992814;0,01121935;-3,325993;4,279616;-0,08647984;3,43172;2,061515;4,530512;1,05096;-4,706917;-4,257764;2,182396;-2,48957;-3,648497;-0,43677;-4,205116;4,434019;-0,3232951;-3,93293;-3,152238;2,21782;-2,295797;-1,780656;4,028009
Index: 28 | Name: car 6 | Brain Type: RandomParents | Fitness: 1,84677 | BrainData : -2,226799;0,04066515;-1,959796;-0,02510181;-3,347607;4,281758;-0,1068676;3,382297;2,041066;4,514984;1,078487;-4,712843;-4,139119;2,119051;-2,518874;-3,61088;-0,4561726;-4,246074;4,424239;-0,343484;-3,850217;-3,176165;2,282966;-2,33005;-1,780656;4,028009
Index: 29 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,820089 | BrainData : -2,270643;0,03959193;-1,987456;-0,03338921;-3,285558;4,264134;-0,08458307;3,349437;2,060549;4,50414;1,07743;-4,706917;-4,222699;2,182396;-2,48957;-3,560969;-0,4846512;-4,175315;4,40003;-0,3261094;-3,951179;-3,152238;2,257093;-2,295797;-1,821038;4,042559
Index: 30 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,774151 | BrainData : -2,279993;0,07771274;-1,987456;0,009441495;-3,306455;4,234224;-0,1083858;3,399425;2,087865;4,534697;1,064521;-4,677175;-4,222699;2,206248;-2,48957;-3,63957;-0,4724018;-4,217116;4,40003;-0,2929734;-3,914858;-3,162026;2,257093;-2,295797;-1,733222;4,025842
Index: 31 | Name: car 41 | Brain Type: TOP2 | Fitness: 1,704956 | BrainData : -2,270643;0,03959193;-2,016856;-0,03634513;-3,346497;4,281758;-0,1049754;3,361061;2,098201;4,534697;1,05096;-4,706917;-4,253933;2,182396;-2,445443;-3,574584;-0,43677;-4,255894;4,409015;-0,3261094;-3,908285;-3,140961;2,257093;-2,295797;-1,794284;3,994283
Index: 32 | Name: car 2 | Brain Type: RandomParents | Fitness: 1,411042 | BrainData : -2,270643;0,0203564;-2,047878;-0,02510181;-3,316548;4,324823;-0,1119095;3,377834;2,053858;4,470974;1,092871;-4,753918;-4,222699;2,071957;-2,551742;-3,59945;-0,430292;-4,249587;4,397024;-0,3405667;-3,890825;-3,156916;2,192517;-2,253064;-1,764161;4,010638
Index: 33 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,365619 | BrainData : -2,251556;0,02533592;-1,989281;-0,04115506;-3,295857;4,275745;-0,07599144;3,377834;2,037257;4,544982;1,054005;-4,753918;-4,219711;2,08597;-2,48957;-3,59945;-0,4378675;-4,253675;4,425436;-0,3307772;-3,907757;-3,138599;2,210846;-2,295797;-1,780656;4,09486
Index: 34 | Name: car 20 | Brain Type: TotallyRandom | Fitness: 0,7370573 | BrainData : -0,3692193;-1,874392;-0,4024391;-2,867132;-0,4944067;4,614984;0,578279;2,409428;-4,346186;-2,525636;-0,4643221;-0,2375226;0,1562161;2,260127;-1,200052;0,8189421;-1,841599;-3,383446;0,326529;0,02872276;0,4765363;3,511852;-1,009137;0,753489;0,2594285;-1,853272
Index: 35 | Name: car 13 | Brain Type: RandomParents | Fitness: 0,7259088 | BrainData : 2,60277;-4,014316;-2,661197;-0,9727139;0,3619938;0,797029;-2,809513;-1,655836;-4,506506;0,9320605;-2,519183;4,588829;-2,334141;-3,994436;4,303812;2,60018;0,1101298;4,917225;1,739695;1,154334;-3,837456;2,005866;-0,9725852;0,4557271;-0,9557958;4,53454
Index: 36 | Name: car 21 | Brain Type: TotallyRandom | Fitness: 0,6098783 | BrainData : 0,2822499;-4,750141;0,4847317;2,149304;-4,44091;0,1774888;-4,521118;1,715196;3,779651;-3,233342;2,88492;3,175011;1,496112;-4,627516;2,020895;1,954947;-3,356879;3,428684;0,5771251;4,281919;1,529176;-2,897389;-0,3327327;3,430397;1,322287;3,229507
Index: 37 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,6090103 | BrainData : 3,610636;4,352037;-4,327208;-4,629575;1,678815;-0,03396642;-0,809582;-0,6216047;0,9493904;-4,881287;-3,538116;0,1771836;-4,719066;4,776278;4,167077;3,441339;2,752495;2,288351;-4,13926;-1,700818;0,7706852;3,021139;-2,83058;-3,157163;2,194514;1,824285
Index: 38 | Name: car 22 | Brain Type: TotallyRandom | Fitness: 0,5880581 | BrainData : 2,961792;2,020187;-1,581412;-2,414071;-0,4802198;0,9156985;2,130445;-0,101368;2,743547;-0,1746063;1,099692;-3,63932;2,018846;1,27836;1,270442;2,030141;3,278895;4,702783;-0,4180951;-1,247685;-2,202918;-2,969429;2,909383;4,225571;3,233799;3,870802
Index: 39 | Name: car 50 | Brain Type: RandomParents | Fitness: 0,5880522 | BrainData : 3,104249;-3,135418;2,874844;2,025921;-3,491658;-0,2282624;0,1583962;3,741733;-1,678612;2,361069;0,7769151;-0,3151126;-1,858197;2,167554;-3,766293;-4,259584;3,200934;0,9431319;-1,392074;-1,713646;-2,140244;1,215959;3,052612;0,6413798;4,588675;4,431231
Index: 40 | Name: car 24 | Brain Type: TotallyRandom | Fitness: 0,5873152 | BrainData : 0,8086829;2,97523;-1,109448;-4,496373;-0,1077991;4,60259;-2,667284;2,228882;-1,197505;3,781415;1,290945;-0,3602214;-0,8383484;2,056278;4,250988;4,555592;0,02608585;-1,949656;-3,027253;-3,081717;0,9648876;1,839473;-3,930843;4,504863;3,780744;1,502871
Index: 41 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,5792902 | BrainData : 4,834581;3,984587;-3,901167;2,441743;-0,0227232;-3,423283;-4,276724;2,481875;-4,237388;0,4365296;4,604506;4,914786;-3,317532;-4,102553;2,603035;-2,562363;0,06524277;-3,804801;2,079263;-3,075907;2,25926;-0,5663271;1,762155;4,532684;4,484386;4,261485
Index: 42 | Name: car 17 | Brain Type: TotallyRandom | Fitness: 0,5515001 | BrainData : -4,193759;3,082365;-3,130136;0,6752605;4,557051;-3,480589;2,356347;-4,922557;-4,896498;-3,802448;-4,735623;1,871972;1,138479;-4,055695;-0,2322788;4,708936;-0,2715034;2,613829;-3,517973;4,966689;4,148235;0,7933574;2,053465;-3,549686;-0,4980664;1,454037
Index: 43 | Name: car 15 | Brain Type: TotallyRandom | Fitness: 0,4514805 | BrainData : 4,341594;-2,510862;-2,491601;-2,834267;-0,154758;0,5974393;3,452495;3,369322;2,095361;-2,926128;-0,7638998;2,167724;-3,500939;-1,006999;-3,783722;4,206466;1,525842;-3,823819;1,478016;2,229822;2,497764;-1,059008;4,715822;-1,679407;-0,9649701;0,8246989
Index: 44 | Name: car 16 | Brain Type: TotallyRandom | Fitness: 0,4373426 | BrainData : 0,2854795;-1,998067;-0,4025583;-4,592922;-3,105308;-1,782778;4,565102;-3,624731;0,5792375;3,444276;-4,138189;3,924261;3,236276;3,596383;-3,991511;-0,7252808;4,142628;-3,371201;-4,944437;3,332125;1,941346;4,861217;3,830905;1,862898;-0,9841652;4,130943
Index: 45 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,4261517 | BrainData : -2,731397;1,248571;-2,610568;1,539264;4,484155;-0,3021069;0,745657;-4,157085;-3,516492;2,546636;-2,11616;1,696353;-0,9347935;0,5603428;0,3609128;-2,727584;1,094246;4,857726;3,852711;2,031014;3,358645;-3,359366;-0,5564518;0,9417648;-1,407153;-4,509295
Index: 46 | Name: car 19 | Brain Type: TotallyRandom | Fitness: 0,423658 | BrainData : -1,034095;0,3822308;-0,7054811;2,260023;-0,4401951;4,259147;-1,020357;3,434386;2,871685;-4,458029;-0,8023114;0,7399507;-4,95235;-0,2335043;-1,04319;-2,439216;2,315587;-4,609829;-1,898678;-3,398428;2,189844;-1,509595;1,862326;-2,301228;-3,584776;2,737968
Index: 47 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,4234049 | BrainData : 1,492457;-3,072183;-2,673076;1,276269;-0,01010942;-4,098521;-0,6454999;-2,234805;1,721457;-4,973015;2,634676;3,211343;0,6079451;2,530576;-0,5719624;-0,2952976;-1,457584;-1,228693;-1,982033;0,6317995;0,9237259;0,364735;1,16054;-4,05001;-4,149299;-1,764912
Index: 48 | Name: car 18 | Brain Type: TotallyRandom | Fitness: 0,4233707 | BrainData
