Generation: 983 | maxFitness: 3,670536 | maxFitnessGen: 2,103701 | maxFitnessGenBuf: 2,277963
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 31 | Brain Type: TOP2 | Fitness: 2,08659 | BrainData : -2,251516;0,09381798;-2,015033;0,008084416;-3,273333;4,239113;-0,1749961;3,395872;2,06887;4,554625;1,05096;-4,711381;-4,206366;2,166976;-2,414285;-3,568107;-0,3664657;-4,240956;4,436507;-0,3412741;-3,906423;-3,16931;2,234939;-2,295797;-1,793543;3,976035
Index: 14 | Name: car 32 | Brain Type: TOP2 | Fitness: 2,079166 | BrainData : -2,293642;0,04581744;-2,003732;0,008084416;-3,273333;4,256996;-0,1328589;3,428264;2,00974;4,554547;1,05096;-4,662442;-4,170919;2,166976;-2,395843;-3,573325;-0,3664657;-4,259572;4,366585;-0,3092885;-3,906423;-3,24542;2,234939;-2,294882;-1,809702;4,01164
Index: 15 | Name: car 5 | Brain Type: RandomParents | Fitness: 2,074659 | BrainData : -2,276547;0,08527829;-2,001436;0,008084416;-3,276817;4,3227;-0,1077758;3,402869;2,036798;4,567138;1,015511;-4,662442;-4,106082;2,177414;-2,36564;-3,509022;-0,3768231;-4,236468;4,40003;-0,289297;-3,931996;-3,236696;2,219836;-2,295797;-1,814169;3,993905
Index: 16 | Name: car 25 | Brain Type: TOP2 | Fitness: 2,061162 | BrainData : -2,257841;0,09381798;-2,029526;0,008084416;-3,273333;4,275805;-0,1390648;3,447605;2,027775;4,550906;1,010982;-4,71101;-4,201471;2,209702;-2,406772;-3,602416;-0,3664657;-4,195748;4,350718;-0,3412741;-3,862767;-3,206276;2,188156;-2,295797;-1,793543;3,976035
Index: 17 | Name: car 47 | Brain Type: TOP2 | Fitness: 2,032235 | BrainData : -2,255065;0,06565535;-1,987894;0,008084416;-3,288921;4,304926;-0,1328589;3,428264;2,027775;4,521321;1,05096;-4,708566;-4,170919;2,166976;-2,457534;-3,568107;-0,3664657;-4,240956;4,40003;-0,3412741;-3,906423;-3,208566;2,234939;-2,295797;-1,750812;3,976035
Index: 18 | Name: car 7 | Brain Type: RandomParents | Fitness: 2,030256 | BrainData : -2,255065;0,0438554;-2,037714;-0,03441726;-3,238335;4,257076;-0,09016114;3,359904;2,112756;4,521321;1,05096;-4,707625;-4,188209;2,184999;-2,374794;-3,586157;-0,4441897;-4,270907;4,379299;-0,34486;-3,906423;-3,152834;2,270254;-2,295797;-1,740435;4,015738
Index: 19 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,981443 | BrainData : -2,249848;0,1053262;-2,029526;0,008084416;-3,253488;4,21968;-0,08353031;3,419433;2,058124;4,521321;1,05096;-4,662442;-4,13148;2,166976;-2,426262;-3,568107;-0,3664657;-4,236019;4,412305;-0,3594111;-3,85829;-3,247687;2,252871;-2,311741;-1,7846;3,976035
Index: 20 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,979231 | BrainData : -2,255065;0,09381798;-2,029526;0,008084416;-3,233859;4,255538;-0,1328589;3,443832;2,031467;4,481328;1,05096;-4,628038;-4,202568;2,166976;-2,414285;-3,568107;-0,4094274;-4,240956;4,40003;-0,3884742;-3,906423;-3,182269;2,234939;-2,317507;-1,793543;3,931497
Index: 21 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,978131 | BrainData : -2,255065;0,09381798;-2,062322;0,008084416;-3,263086;4,230015;-0,1462602;3,456385;2,032409;4,564515;1,061512;-4,662442;-4,136473;2,166976;-2,414285;-3,553698;-0,3773225;-4,290167;4,40003;-0,3635694;-3,944088;-3,212479;2,260179;-2,308952;-1,793543;3,976035
Index: 22 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,975349 | BrainData : -2,255065;0,09381798;-2,035553;0,01615778;-3,273333;4,293208;-0,1328589;3,428264;2,027775;4,472761;1,051242;-4,662442;-4,170919;2,192797;-2,414285;-3,568107;-0,3664657;-4,240956;4,39907;-0,3166158;-3,906423;-3,239818;2,281016;-2,295797;-1,776488;3,976035
