Generation: 594 | maxFitness: 3,670536 | maxFitnessGen: 1,97107 | maxFitnessGenBuf: 2,055755
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 14 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,848072 | BrainData : 1,021203;1,342897;4,184188;0,7212955;3,416893;-1,30541;4,283945;0,8429526;0,1493317;-1,055687;-3,655842;-4,277638;3,139382;-2,274023;3,879593;-3,154907;5,041479;0,6583427;-1,380139;-4,47916;-1,157956;0,130207;-1,138405;1,196474;-2,87079;3,861687
Index: 15 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,834124 | BrainData : 1,038664;1,355983;4,148519;0,7212955;3,449801;-1,25662;4,248141;0,8272488;0,1099461;-1,055687;-3,643988;-4,228094;3,174998;-2,274023;3,909152;-3,116803;5,022856;0,5924329;-1,381493;-4,510266;-1,164959;0,130207;-1,138405;1,204907;-2,894798;3,929619
Index: 16 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,823477 | BrainData : 1,038664;1,354099;4,184188;0,7212955;3,378531;-1,278083;4,283945;0,798427;0,1493317;-1,100117;-3,655842;-4,309076;3,192003;-2,302907;3,843627;-3,123023;5,041479;0,6262732;-1,404582;-4,510266;-1,164959;0,130207;-1,138405;1,204907;-2,908541;3,906084
Index: 17 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,813099 | BrainData : 1,014103;1,348616;4,184188;0,7342976;3,416893;-1,278083;4,283945;0,8272488;0,1493317;-1,055687;-3,655842;-4,312106;3,174998;-2,274023;3,879142;-3,166686;5,060599;0,592401;-1,404632;-4,510266;-1,167215;0,096424;-1,138405;1,240001;-2,882256;3,926584
Index: 18 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,749852 | BrainData : 1,079934;1,348616;4,136089;0,7212955;3,416893;-1,278083;4,283945;0,8272488;0,1786784;-1,044734;-3,644397;-4,277638;3,153214;-2,274023;3,879593;-3,159121;5,041479;0,6179827;-1,380139;-4,482931;-1,16413;0,09405226;-1,138405;1,204907;-2,91067;3,880737
Index: 19 | Name: car 41 | Brain Type: TOP2 | Fitness: 1,733013 | BrainData : 1,038664;1,389141;4,184188;0,6784691;3,466187;-1,278083;4,283945;0,8272488;0,1493317;-1,02047;-3,655842;-4,277638;3,174998;-2,274023;3,885124;-3,154907;5,028042;0,5890656;-1,380139;-4,510266;-1,127648;0,1536111;-1,138405;1,196694;-2,91067;3,838663
Index: 20 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,713651 | BrainData : 1,038664;1,309929;4,184188;0,7212955;3,416893;-1,326707;4,319185;0,8272488;0,1493317;-1,063301;-3,655842;-4,277638;3,174998;-2,255226;3,91864;-3,154907;5,055965;0,6262732;-1,380139;-4,510266;-1,17184;0,130207;-1,138405;1,204907;-2,943923;3,869107
Index: 21 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,712692 | BrainData : 1,038664;1,348616;4,184188;0,7212955;3,426607;-1,278083;4,283945;0,8272488;0,1511023;-1,085793;-3,655842;-4,277638;3,174998;-2,25203;3,879593;-3,154907;5,030214;0,5851104;-1,363423;-4,510266;-1,164959;0,130207;-1,131913;1,230684;-2,896807;3,880737
Index: 22 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,687506 | BrainData : 1,038664;1,36482;4,201191;0,7187599;3,416893;-1,233804;4,283945;0,8272488;0,1493317;-1,055687;-3,651396;-4,277638;3,148269;-2,274023;3,879593;-3,154907;5,041479;0,6169939;-1,380139;-4,510266;-1,164959;0,130207;-1,138405;1,233045;-2,91067;3,90065
Index: 23 | Name: car 25 | Brain Type: TOP2 | Fitness: 1,684485 | BrainData : 1,055839;1,348616;4,184188;0,7185174;3,447451;-1,278083;4,283945;0,8272488;0,1493317;-1,055687;-3,627756;-4,277638;3,174998;-2,322528;3,879593;-3,154907;5,041479;0,6664028;-1,347512;-4,510266;-1,171877;0,130207;-1,138405;1,204907;-2,928123;3,844258
