Generation: 549 | maxFitness: 3,670536 | maxFitnessGen: 1,964819 | maxFitnessGenBuf: 1,990826
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 6 | Brain Type: RandomParents | Fitness: 1,990826 | BrainData : 0,6307521;1,331353;3,985149;0,7399001;3,599908;-1,156583;4,126962;0,8555126;0,1182442;-0,9208786;-3,643453;-4,101584;3,093512;-2,119738;3,878251;-2,985526;4,922589;0,9302159;-1,266239;-4,384575;-1,474797;0,1970221;-1,234907;1,113168;-2,89625;3,789092
Index: 1 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,990363 | BrainData : 0,5904209;1,333161;3,985149;0,7741813;3,620024;-1,080341;4,071461;0,9233731;0,1182442;-0,9371811;-3,707221;-4,139491;3,094906;-2,119738;3,863493;-3,019546;4,909093;0,8564979;-1,264816;-4,358068;-1,477586;0,1967596;-1,233796;1,111895;-2,911148;3,803664
Index: 2 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,985813 | BrainData : 0,5945565;1,355723;3,993434;0,7741813;3,595405;-1,121861;4,071461;0,8392023;0,1182442;-0,9371811;-3,659934;-4,111278;3,064617;-2,119738;3,7805;-2,989531;4,878386;0,8371173;-1,259039;-4,358068;-1,434858;0,1967596;-1,193326;1,111895;-2,905774;3,792205
Index: 3 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,985813 | BrainData : 0,5964984;1,359052;4,00713;0,7869799;3,624154;-1,121861;4,071461;0,8271973;0,1182442;-0,9371811;-3,659934;-4,131256;3,072202;-2,119738;3,804329;-2,97707;4,940193;0,8564979;-1,298597;-4,384824;-1,474797;0,1967596;-1,189581;1,111895;-2,905774;3,792205
Index: 4 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,985813 | BrainData : 0,6054925;1,335427;3,96406;0,7741813;3,620024;-1,081054;4,071461;0,8762738;0,1241802;-0,9371811;-3,659934;-4,131256;3,064617;-2,119738;3,831529;-2,930092;4,898695;0,8564979;-1,259039;-4,359097;-1,474797;0,1967596;-1,193326;1,111895;-2,905774;3,792205
Index: 5 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,930668 | BrainData : 0,6328622;1,374483;3,985149;0,7873213;3,620024;-1,121861;4,101896;0,8762738;0,1556812;-0,9113785;-3,611664;-4,119881;3,022696;-2,087242;3,806569;-2,973108;4,898695;0,892112;-1,259039;-4,312431;-1,496982;0,2313571;-1,193326;1,098951;-2,905774;3,835526
Index: 6 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,926469 | BrainData : 0,6054925;1,361274;3,985149;0,7741813;3,620024;-1,121861;4,071461;0,8762738;0,1182442;-0,9371811;-3,646214;-4,176568;3,091895;-2,119738;3,777551;-2,938371;4,886464;0,8571882;-1,259039;-4,311404;-1,474797;0,1967596;-1,168669;1,111895;-2,921279;3,792205
Index: 7 | Name: car 11 | Brain Type: RandomParents | Fitness: 1,923922 | BrainData : 0,6542087;1,309304;3,993081;0,7741813;3,543679;-1,204122;4,071461;0,8979373;0,1577556;-0,9426589;-3,59083;-4,131256;3,079364;-2,119738;3,815569;-2,973108;4,898695;0,8405246;-1,259039;-4,406679;-1,462706;0,1743737;-1,234907;1,111895;-2,941394;3,789092
Index: 8 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,914353 | BrainData : 0,6813213;1,298965;3,985149;0,7469291;3,582521;-1,161106;4,089188;0,8505147;0,1582236;-0,9426589;-3,641194;-4,046414;3,056018;-2,097549;3,924163;-2,985526;4,906971;0,8674844;-1,257917;-4,384575;-1,467062;0,2215082;-1,234907;1,097156;-2,867961;3,789092
Index: 9 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,899095 | BrainData : 0,6054925;1,273172;4,01195;0,7741813;3,573629;-1,189738;4,037726;0,9278232;0,09744045;-0,9347174;-3,618095;-4,108287;3,119816;-2,155234;3,859624;-2,964057;4,933451;0,9276486;-1,259039;-4,358068;-1,474797;0,2120494;-1,262152;1,094102;-2,905774;3,812114
Index: 10 | Name: car 34 | Brain Type: TOP2 | Fitness: 1,896748 | BrainData : 0,6054925;1,361274;3,969768;0,7645378;3,65554;-1,121861;4,071461;0,8762738;0,1562887;-0,9371811;-3,635634;-4,094424;3,064617;-2,119738;3,819437;-2,99486;4,91288;0,8564979;-1,259039;-4,358068;-1,474797;0,2012063;-1,176166;1,111895;-2,905774;3,835542
