Generation: 153 | maxFitness: 3,670536 | maxFitnessGen: 1,575245 | maxFitnessGenBuf: 1,695572
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,695572 | BrainData : 1,08538;1,3405;3,530929;0,4228286;3,085735;-0,4374521;4,322629;0,4714581;-0,2993366;-1,258221;-3,812948;-4,001763;3,334441;-2,656762;3,619889;-3,216096;4,731351;1,576682;-1,094693;-4,473344;-0,8558869;0,1059327;-1,22377;1,343135;-2,738764;3,950654
Index: 1 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,695572 | BrainData : 1,124546;1,295016;3,530929;0,4114013;3,083949;-0,450859;4,331139;0,5053965;-0,2626647;-1,27459;-3,79006;-4,050519;3,361615;-2,607697;3,640768;-3,216096;4,799542;1,547441;-1,067873;-4,509001;-0,8790979;0,1059327;-1,277228;1,343135;-2,738764;3,950654
Index: 2 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,694551 | BrainData : 1,103144;1,3405;3,530929;0,4595166;3,123697;-0,4011516;4,282812;0,5112272;-0,3216177;-1,227551;-3,812948;-4,023988;3,321514;-2,624017;3,634407;-3,179398;4,731858;1,576682;-1,067873;-4,485425;-0,8608304;0,08240613;-1,256319;1,343135;-2,736375;3,903906
Index: 3 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,689809 | BrainData : 1,059177;1,3405;3,491431;0,4114013;3,123697;-0,4149618;4,322629;0,5053965;-0,2515991;-1,27459;-3,812948;-4,014933;3,321514;-2,702832;3,634407;-3,184996;4,803643;1,576682;-1,028073;-4,485425;-0,8608304;0,1059327;-1,219918;1,343135;-2,728103;3,950654
Index: 4 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,684372 | BrainData : 1,103144;1,314205;3,505361;0,4114013;3,112335;-0,398315;4,322629;0,5053965;-0,2747329;-1,27459;-3,812948;-4,022697;3,288284;-2,656762;3,668493;-3,197505;4,772598;1,551955;-1,083401;-4,485425;-0,8424047;0,1059327;-1,215274;1,343135;-2,733489;3,951864
Index: 5 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,667416 | BrainData : 1,117988;1,3405;3,530929;0,3689627;3,123697;-0,4149618;4,322629;0,5053965;-0,2575192;-1,27459;-3,824247;-4,064995;3,350906;-2,699598;3,634407;-3,216096;4,723504;1,612947;-1,067873;-4,485425;-0,8608304;0,1059327;-1,220684;1,343135;-2,717052;3,949405
Index: 6 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,654594 | BrainData : 1,119123;1,3405;3,552661;0,4114013;3,123697;-0,4149618;4,322629;0,5472424;-0,2993366;-1,27459;-3,857385;-4,022697;3,295789;-2,681334;3,634407;-3,225621;4,772598;1,594678;-1,067873;-4,485425;-0,8392732;0,1059327;-1,256319;1,343135;-2,744289;3,950654
Index: 7 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,647706 | BrainData : 1,089536;1,346644;3,530929;0,4114013;3,123697;-0,4235077;4,280337;0,5324494;-0,2993366;-1,27459;-3,812948;-4,022697;3,321514;-2,65873;3,634407;-3,216096;4,772598;1,576682;-1,067873;-4,491316;-0,8623638;0,1366604;-1,256319;1,318475;-2,738764;3,957154
Index: 8 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,647556 | BrainData : 1,115494;1,301564;3,530929;0,4114013;3,123697;-0,4471087;4,324676;0,5204012;-0,2993366;-1,271552;-3,812948;-4,065597;3,305444;-2,689299;3,634407;-3,216096;4,772598;1,576682;-1,067873;-4,445625;-0,8131776;0,1059327;-1,269109;1,343135;-2,771215;3,987512
Index: 9 | Name: car 3 | Brain Type: RandomParents | Fitness: 1,640147 | BrainData : 1,103144;1,349342;3,530929;0,3856242;3,139278;-0,4130197;4,368396;0,5302501;-0,2939076;-1,27459;-3,778481;-4,011316;3,325127;-2,705222;3,716574;-3,216096;4,772598;1,619033;-1,027648;-4,472694;-0,9329811;0,1350023;-1,256319;1,306538;-2,726399;3,952171
Index: 10 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,636073 | BrainData : 1,103144;1,365683;3,505519;0,4568657;3,123697;-0,4149618;4,27669;0,4645462;-0,2993366;-1,27459;-3,818991;-3,985653;3,273857;-2,702274;3,634407;-3,183152;4,723334;1,552506;-1,067873;-4,453421;-0,8608304;0,08873895;-1,256319;1,343135;-2,738764;3,945163
