Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,3747818
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 22 | Brain Type: TotallyRandom | Fitness: 0,2624731 | BrainData : 3,647135;-2,485378;-3,312958;-1,242456;2,405342;-0,942965;4,130601;1,800734;-3,164282;3,28056;4,655527;1,31377;2,169259;-3,743233;2,740352;-3,022592;4,891593;3,621888;-0,6514449;-0,6223054;-0,8938498;-3,642006;1,454906;-2,994724;4,454531;3,692039
Index: 14 | Name: car 11 | Brain Type: RandomParents | Fitness: 0,2623132 | BrainData : -4,483377;-4,00745;-0,8835177;-3,302639;-0,02363491;-1,278127;-2,021555;0,3844838;3,391193;-2,510006;-4,77914;2,313342;-1,477949;-4,291725;-0,7458072;-2,623667;1,907465;2,189468;0,02091455;0,7663541;1,434743;2,40229;-2,759465;-2,06446;2,163252;2,242751
Index: 15 | Name: car 47 | Brain Type: TOP2 | Fitness: 0,2619555 | BrainData : -4,425596;-1,31288;-3,923273;3,557573;0,244381;-2,823993;4,556273;4,20907;-0,6305618;0,6089811;3,920311;-0,06143522;-4,343022;-4,645109;-1,039443;2,576319;3,354757;-4,068359;-3,098789;3,802597;4,449149;-2,689262;0,00656414;3,797842;1,959992;-4,721567
Index: 16 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,2618295 | BrainData : 2,269467;0,1165004;-3,460249;-1,015938;3,040069;4,563669;4,65553;2,017745;3,89079;-0,0514226;-2,297233;-1,647294;-1,496592;2,499578;0,7716136;-3,583384;4,813088;-0,8697481;-2,469208;1,489216;-2,488024;-0,874248;1,556775;-3,332495;0,3140454;-2,526103
Index: 17 | Name: car 45 | Brain Type: TOP2 | Fitness: 0,2617882 | BrainData : -2,137676;2,457302;-0,3267212;-3,871212;-1,999552;0,7508545;2,924932;-2,539206;-3,427069;-4,746856;-0,9195738;-2,859726;2,158853;4,969642;-0,3396196;3,204706;-4,359333;4,067638;2,327477;2,493764;-0,9231849;-3,259845;-4,065843;4,960775;1,573792;4,131687
Index: 18 | Name: car 43 | Brain Type: TOP2 | Fitness: 0,2616852 | BrainData : 2,015344;-3,357486;4,494558;1,077549;-1,279835;-0,09700489;0,4496498;-3,987365;-3,830536;1,100498;2,788179;-4,54967;-0,3236084;0,4850631;1,606063;-2,847771;-3,320723;-1,115954;-0,8145885;-4,998349;-3,913648;-0,1800709;1,748031;-2,111277;4,492233;4,404374
Index: 19 | Name: car 46 | Brain Type: TOP2 | Fitness: 0,2616187 | BrainData : -1,907804;0,5967121;1,332708;2,936461;-3,632766;-1,482386;2,3298;-0,08278561;-2,230505;2,911918;4,610666;1,319339;2,917558;-0,6336446;-4,107243;-0,740612;2,669249;4,860491;2,143501;-4,67717;-3,62682;-0,270596;1,802537;3,42895;2,939583;-2,905842
Index: 20 | Name: car 27 | Brain Type: TOP2 | Fitness: 0,2613479 | BrainData : -4,570457;-1,361223;-2,065194;-1,264994;0,5775218;3,092105;-2,230303;-3,862299;2,672124;2,177374;1,07847;1,931209;-3,529468;-1,609653;4,445854;1,471319;1,973394;-4,460447;0,9451432;-0,8930974;2,846824;2,977128;-2,466793;3,490577;1,906089;-4,322118
Index: 21 | Name: car 12 | Brain Type: RandomParents | Fitness: 0,2605709 | BrainData : -0,8705468;2,375929;1,609469;-4,39578;-4,125995;1,724123;4,310338;4,840988;-0,08424473;-2,470024;1,688195;-3,193831;-0,8158655;1,633401;0,8177443;3,200297;3,446125;3,143162;-4,881573;-0,1578875;4,309739;1,940775;-4,747349;-3,930224;2,365891;0,6911535
Index: 22 | Name: car 24 | Brain Type: TotallyRandom | Fitness: 0,2603152 | BrainData : -1,97598;-1,983459;4,183949;3,318993;-4,405193;-0,9649796;-0,5427713;3,08012;-1,805983;0,6605964;1,893683;-2,707986;4,13841;-4,589937;3,823415;-1,995948;-1,858249;0,05815697;-0,654531;3,573261;3,831152;0,8283825;-3,888048;1,038549;2,340723;3,596543
Index: 23 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,2603112 | BrainData : 0,6345553;-2,783575;4,925828;-4,704575;-3,710268;-3,361851;3,867698;3,516754;3,719364;-4,003094;4,500846;-2,509879;-4,856819;-2,422781;3,713998;1,458906;2,198818;-4,200396;1,037651;-4,05973;3,152208;-3,599299;-0,7898159;-0,1398344;4,25089;3,558459
Index: 24 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,2600137 | BrainData : -4,150167;-2,560861;4,826838;-1,18326;-0,4008718;1,717081;-1,462677;-1,545094;3,030963;2,113502;3,251636;-3,808661;-0,8800297;1,779655;-3,441339;2,842333;-2,987882;4,127527;3,699092;-4,037366;2,801793;1,261777;-1,673108;1,446202;2,709253;4,087405
Index: 25 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,2587259 | BrainData : 0,3512936;-3,281986;3,142496;-1,519298;-3,193089;-1,93674;-0,8998699;-1,41767;0,4923935;-1,373725;4,807511;2,909418;-4,243319;-1,622172;1,374718;1,886657;2,028577;-2,768644;1,075314;0,8287005;0,666626;-0,2654486;3,401934;2,934276;4,691946;-1,969056
Index: 26 | Name: car 38 | Brain Type: TOP2 | Fitness: 0,2410579 | BrainData : 0,6813688;-1,372756;2,014701;-3,70165;2,893524;-0,4857392;0,8865519;-2,494967;3,011683;-0,857399;-4,186281;-1,046713;-0,3628831;-0,7355361;-4,683517;0,8547468;-0,4920988;0,1274939;-4,613179;3,313832;-4,591914;3,804142;-2,87334;3,819039;0,2172809;-4,015581
Index: 27 | Name: car 35 | Brain Type: TOP2 | Fitness: 0,2395475 | BrainData : -0,2364283;0,5727725;-2,701266;2,888456;-0,1299148;2,220335;1,373205;-4,216538;2,850835;2,431968;-1,634206;-0,1557131;-3,321227;-0,2592177;3,235786;-4,736681;3,785946;-4,834873;-2,570632;2,453018;-0,8007069;-3,974758;3,266052;-0,4480405;-0,3086691;-1,45158
Index: 28 | Name: car 49 | Brain Type: TOP2 | Fitness: 0,233535 | BrainData : -0,1367254;3,101224;2,709137;-2,120479;-0,0396781;0,6540136;-3,352487;3,12175;3,755397;1,518244;-4,169287;-0,9977574;2,161877;1,253841;4,811525;-1,76158;-4,145961;-4,335409;-1,996904;3,837839;3,34114;2,112999;-1,339412;-2,092369;-0,08903456;-3,083584
Index: 29 | Name: car 17 | Brain Type: TotallyRandom | Fitness: 0,2321225 | BrainData : 4,255055;2,118413;-1,571593;1,212552;0,5934386;0,1357298;1,181319;-1,349315;2,437554;-2,481439;-3,92491;1,769942;-1,260951;1,426449;4,278798;-2,022589;-3,87353;-1,375715;-4,870549;0,5046625;-2,363717;-4,777466;2,345407;3,005662;-0,9298282;1,193385
Index: 30 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,2268909 | BrainData : 4,479477;0,2743335;-3,977646;0,05192089;-0,3593321;-3,631163;-3,888563;2,624073;1,608587;-2,934489;-3,468102;2,247868;2,86025;-2,548506;-2,193641;-0,8927221;-2,455534;0,7482486;-1,47279;0,02923536;3,310089;-2,82961;2,199198;4,550097;-0,916894;4,477565
Index: 31 | Name: car 41 | Brain Type: TOP2 | Fitness: 0,2247388 | BrainData : 3,894151;2,593663;-4,60663;1,507454;4,683953;1,35475;-2,344018;1,93616;0,7159905;0,8944888;2,59672;0,4517455;1,450573;4,791211;-4,564271;-1,927917;-0,329556;3,063188;-0,4814653;-2,076171;4,319942;-2,231679;-4,792813;3,120438;-1,244421;4,015219
Index: 32 | Name: car 18 | Brain Type: TotallyRandom | Fitness: 0,2237752 | BrainData : -2,437877;2,429953;2,862675;-0,08748245;1,471059;-2,319409;-0,6453056;-3,133976;-2,904334;-1,774924;-2,120526;-4,122676;0,2754087;3,032345;4,480267;1,249879;4,439019;-4,30704;2,595001;-1,082932;0,3283696;-1,798604;-3,394771;-3,262;-4,693441;-4,00569
Index: 33 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,2114559 | BrainData : -3,199792;-0,249887;-0,1577063;-3,933849;-3,312244;2,431355;4,37827;-2,400183;0,1496892;1,734228;-0,6803555;-1,318026;3,749228;1,589737;3,327337;0,9822769;-4,086255;-1,855225;-2,764975;-4,914155;2,871015;-3,21633;4,193086;2,399045;-0,5491896;-1,788547
Index: 34 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,2097057 | BrainData : -0,3551192;3,52387;0,6273313;1,268818;3,518134;1,131627;3,839207;-3,535034;1,772858;1,214343;2,298697;4,017906;3,218525;-4,040012;4,413248;0,1259942;-2,890266;4,440995;-3,516535;1,647301;-1,917916;2,312906;1,485031;-1,4907;-2,447338;1,340326
Index: 35 | Name: car 30 | Brain Type: TOP2 | Fitness: 0,2080103 | BrainData : 1,317172;2,339309;-3,985043;-1,839405;1,546916;-0,3162031;1,839794;-3,396458;0,4088478;-4,210568;3,823521;4,725587;-1,884775;4,784111;-0,7831054;-1,432744;0,9797711;-0,681067;3,00931;-2,84044;0,4420729;-0,5130763;1,30557;2,571683;-1,525903;-2,56246
Index: 36 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,2070932 | BrainData : 3,778708;0,08210611;2,445492;4,953439;2,8624;2,159716;-0,7877989;-2,328498;-0,003747463;4,223777;3,406643;-1,285167;0,5231018;-2,721871;-4,993738;0,813375;3,229909;4,708501;0,7543211;4,875433;3,523733;2,328672;4,596788;-1,379426;-0,7272964;-2,100406
Index: 37 | Name: car 40 | Brain Type: TOP2 | Fitness: 0,206596 | BrainData : -3,316363;-4,424863;-4,610897;-2,259609;-0,1591105;1,490414;-1,710642;4,880512;-0,8579702;-4,802922;-0,1529522;4,519311;0,4066043;4,69779;-2,55982;-1,102867;-1,983185;-3,465037;-4,200294;2,37934;3,093446;3,996545;-4,267181;0,2161498;-1,685184;2,119936
Index: 38 | Name: car 21 | Brain Type: TotallyRandom | Fitness: 0,2052613 | BrainData : -0,5439334;-3,011861;2,504092;1,15077;-4,856821;-3,078093;3,05102;3,181813;-0,6292253;-3,625276;4,489838;1,298687;0,9210186;3,750421;-2,995972;-2,118526;-0,6236629;3,746818;0,683351;4,647527;4,140104;-1,77057;3,964537;-1,888667;-1,122534;-2,541993
Index: 39 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,205232 | BrainData : 1,765503;3,355064;-2,27562;-3,429345;-4,764205;-4,843559;2,665154;1,683784;4,223032;1,727408;1,145439;-3,19891;2,136908;1,065066;1,984218;-1,21301;1,837526;-1,478769;1,261739;4,336338;-3,738965;0,7764511;2,142032;-2,343364;-4,141085;0,4096465
Index: 40 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,2049367 | BrainData : 4,258752;-1,923321;-3,880033;-2,579412;4,735342;-4,317841;3,734218;1,089681;-1,41416;-3,01425;2,938989;-0,253387;4,08003;-4,202393;1,59484;-2,883592;-3,842441;-2,778225;-1,731015;-0,5374069;-2,488629;-3,628907;3,631164;-2,256966;-3,154207;-0,5990796
Index: 41 | Name: car 44 | Brain Type: TOP2 | Fitness: 0,2048037 | BrainData : 4,733442;-4,100822;0,207303;-1,945379;-4,329245;1,207023;1,056064;-2,553226;-3,80463;-0,9366364;-1,443134;-1,894006;1,276643;4,426388;-3,268215;-0,04968452;0,8416696;0,7464714;-3,980663;-0,5015845;-0,7820492;1,208915;0,7352872;4,22584;-1,846957;-0,8342605
Index: 42 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,2027805 | BrainData : 0,7326703;-1,766126;-1,749622;-1,445928;1,744339;1,99065;-0,5841546;-0,08954334;4,218017;-0,9964867;-1,015256;-0,1818829;-3,554906;1,662954;4,638515;1,98468;-4,890144;-2,349508;3,762691;-0,9288902;1,250789;2,670864;0,08401585;1,260232;-3,790264;4,736489
Index: 43 | Name: car 19 | Brain Type: TotallyRandom | Fitness: 0,2026084 | BrainData : 3,997352;3,691359;3,134007;-4,14749;0,9973187;-2,830466;-4,182684;2,641745;-0,2972989;4,0066;3,826628;1,607238;3,859662;-1,790998;1,792154;2,725383;-2,666215;-1,618344;1,004715;0,08625555;-0,03020477;3,307646;3,748993;4,096738;-1,435276;0,4953976
Index: 44 | Name: car 2 | Brain Type: RandomParents | Fitness: 0,2018327 | BrainData : -2,51533;4,23005;-0,43297;-1,746447;-2,567057;-0,2362747;2,125509;3,95053;-4,147157;-2,784901;0,2171521;1,618467;-4,82679;-2,829069;1,402196;-1,483596;4,034629;2,046727;4,873253;2,556958;1,487669;0,03750134;2,220466;3,837291;-2,846869;4,211025
Index: 45 | Name: car 31 | Brain Type: TOP2 | Fitness: 0,2009803 | BrainData : -3,153783;2,73878;3,811152;-0,783308;-0,8865471;2,58966;-3,190289;-4,047941;-1,47162;-2,494717;1,725369;1,058797;-0,9096723;-3,441498;0,8624916;-2,707658;3,872238;3,099434;1,669812;1,861675;1,598654;1,271753;-2,739689;3,32395;-3,221101;-0,129189
Index: 46 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,2009214 | BrainData : 4,332728;-3,096394;-3,650187;-1,512664;-4,502248;-1,837976;1,804759;0,1528625;-0,7555728;-0,0528307;-2,513547;1,331491;-4,728554;0,8422012;3,194819;0,01432371;-0,01570892;0,7608538;2,929549;0,4356499;2,165174;4,339684;4,951962;3,694161;-4,234121;-0,2240543
Index: 47 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,2004672 | BrainData : -2,728067;-3,764508;2,000259;-2,389124;-1,047872;1,402248;-1,373771;-2,635303;3,865419;4,515588;-3,834597;3,837056;-0,5310588;4,272806;3,925898;2,17217;-4,367286;-1,394071;2,218374;3,054849;-0,4723697;4,411263;-1,042296;-3,330519;-4,566169;-1,922352
Index: 48 | Name: car 13 | Brain Type: RandomParents | Fitness: 0,1985586 | BrainData : -1,236556;-2,90166;-0,1072426;3,175076;-4,829535;0,7547064;3,977711;-3,004318;1,108267;-0,3400092;-2,739697;0,7394953;2,739227;
