Generation: 624 | maxFitness: 3,670536 | maxFitnessGen: 1,991917 | maxFitnessGenBuf: 2,009287
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 14 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,870256 | BrainData : -2,354241;0,3231027;-1,955902;0,6967881;-3,325024;3,947905;-0,1643327;3,631172;1,795715;4,973318;1,472493;-4,991098;-4,257722;1,824513;-2,403457;-3,237649;-0,2984366;-5,016137;4,004665;0,09497762;-4,07581;-2,882709;1,995864;-2,487649;-2,054383;4,138568
Index: 15 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,86383 | BrainData : -2,354241;0,3231027;-1,955902;0,6967881;-3,301383;3,947905;-0,1376317;3,631172;1,795715;4,898228;1,558422;-4,991098;-4,337561;1,796428;-2,366596;-3,237649;-0,2946405;-5,034553;3,964755;0,09497762;-4,100334;-2,907819;1,996633;-2,493541;-2,067819;4,169778
Index: 16 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,847551 | BrainData : -2,353688;0,3231027;-1,955902;0,6694322;-3,314839;3,947905;-0,1948723;3,620196;1,795715;4,965707;1,481651;-4,991098;-4,302374;1,790877;-2,366596;-3,237649;-0,2542305;-5,015862;3,983822;0,1128378;-4,07581;-2,886815;1,959016;-2,5076;-2,086041;4,138568
Index: 17 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,82885 | BrainData : -2,354241;0,3092205;-1,964554;0,7413016;-3,326094;3,947905;-0,145487;3,633824;1,790943;4,923983;1,519913;-4,991098;-4,295349;1,796428;-2,366596;-3,227882;-0,2946405;-5,016137;4,004665;0,09497762;-4,07581;-2,858613;2,003591;-2,502817;-2,070898;4,110376
Index: 18 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,792942 | BrainData : -2,295773;0,3973267;-1,980324;0,6803602;-3,302155;3,970657;-0,186119;3,631172;1,754235;4,9194;1,489455;-4,992928;-4,277246;1,82727;-2,403096;-3,227334;-0,2477832;-5,016137;4,080173;0,0782159;-4,104348;-2,86385;1,96221;-2,582035;-2,077155;4,138568
Index: 19 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,764825 | BrainData : -2,339795;0,3053097;-1,972302;0,6967881;-3,325024;3,993188;-0,1065819;3,631172;1,795715;4,895558;1,484797;-5,032303;-4,295349;1,796428;-2,41532;-3,207666;-0,2946405;-5,041783;4,004665;0,09497762;-4,060351;-2,83338;1,982438;-2,529465;-2,070898;4,183773
Index: 20 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,764046 | BrainData : -2,354241;0,3231027;-1,99492;0,7221971;-3,325024;3,947905;-0,145487;3,599544;1,795715;4,923983;1,510889;-4,991098;-4,295349;1,833616;-2,388521;-3,237649;-0,297007;-4,967062;4,004665;0,09497762;-4,112595;-2,86385;2,003591;-2,5076;-2,02613;4,138568
Index: 21 | Name: car 4 | Brain Type: RandomParents | Fitness: 1,761683 | BrainData : -2,280419;0,3651183;-1,938755;0,6857436;-3,267759;3,934906;-0,09430365;3,64335;1,833551;4,927741;1,533859;-5,029109;-4,249221;1,817889;-2,307296;-3,306355;-0,2946405;-5,016137;4,048631;0,06997606;-4,089734;-2,888331;2,003591;-2,533914;-2,043896;4,188179
Index: 22 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,761595 | BrainData : -2,322778;0,3231027;-1,955902;0,6741142;-3,288959;3,967095;-0,125405;3,665421;1,813215;4,967082;1,566668;-4,991098;-4,295349;1,796428;-2,400378;-3,237649;-0,2609402;-5,062883;4,004665;0,1371299;-4,07581;-2,86385;1,994137;-2,5076;-2,0245;4,131145
Index: 23 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,716836 | BrainData : -2,362631;0,3439003;-1,955902;0,7178563;-3,372418;3,957034;-0,145487;3,631172;1,795715;4,892704;1,519913;-4,991098;-4,341343;1,828937;-2,366596;-3,245279;-0,2946405;-5,016137;4,004665;0,09497762;-4,07581;-2,854955;1,967863;-2,469139;-2,044469;4,138568
