Generation: 659 | maxFitness: 3,670536 | maxFitnessGen: 2,047563 | maxFitnessGenBuf: 2,074105
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,902641 | BrainData : -2,39744;0,2399676;-1,953033;0,592442;-3,428858;3,911985;-0,2007959;3,558968;1,8411;4,913516;1,625588;-4,862769;-4,549501;1,896198;-2,334685;-3,352261;-0,1014041;-5,153187;4,087084;0,000421159;-3,916274;-3,033876;1,992569;-2,634966;-2,156439;4,25831
Index: 14 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,901904 | BrainData : -2,380509;0,2399676;-1,964351;0,6148492;-3,428858;3,911985;-0,1623083;3,52776;1,88374;4,991699;1,6107;-4,862769;-4,549501;1,895589;-2,345666;-3,372049;-0,1121309;-5,153187;4,10521;-0,01153313;-3,897333;-3,054874;2,032359;-2,603676;-2,11399;4,257758
Index: 15 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,900883 | BrainData : -2,419262;0,2256899;-1,964351;0,6025544;-3,428858;3,866344;-0,1623083;3,562361;1,8411;4,9577;1,632234;-4,862769;-4,594782;1,884515;-2,334685;-3,419038;-0,1260404;-5,117586;4,069664;-0,01153313;-3,871288;-3,028358;2,043805;-2,603676;-2,11399;4,342971
Index: 16 | Name: car 34 | Brain Type: TOP2 | Fitness: 1,899722 | BrainData : -2,423742;0,2399676;-1,964351;0,5773494;-3,428858;3,911985;-0,1623083;3,52776;1,8411;4,966772;1,59546;-4,862769;-4,58584;1,884515;-2,321398;-3,372049;-0,1014041;-5,153187;4,090581;-0,01153313;-3,916274;-3,060853;2,019036;-2,631926;-2,11399;4,293745
Index: 17 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,896349 | BrainData : -2,443457;0,241528;-1,964351;0,5983357;-3,428858;3,911985;-0,152462;3,52776;1,8411;4,9577;1,621857;-4,862769;-4,549501;1,897019;-2,334685;-3,372049;-0,1006446;-5,153187;4,087084;-0,01805778;-3,892049;-3,078127;2,038351;-2,561296;-2,11399;4,263439
Index: 18 | Name: car 6 | Brain Type: RandomParents | Fitness: 1,888763 | BrainData : -2,351886;0,2399097;-1,997486;0,52503;-3,458008;3,828067;-0,1341663;3,558342;1,877053;4,89414;1,547615;-4,889556;-4,457591;1,892155;-2,336914;-3,325529;-0,08152283;-5,153187;4,123293;-0,006094895;-3,882321;-3,048422;1,985843;-2,641053;-2,134202;4,266594
Index: 19 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,857962 | BrainData : -2,349543;0,2778987;-1,96484;0,5819616;-3,459232;3,911985;-0,1623083;3,52776;1,8411;4,92316;1,59546;-4,890136;-4,549501;1,838785;-2,334685;-3,372049;-0,1014041;-5,153187;4,108224;-0,01153313;-3,886788;-3,078127;2,032359;-2,603676;-2,089984;4,293745
Index: 20 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,84015 | BrainData : -2,398186;0,2771106;-1,940101;0,6325799;-3,428858;3,911985;-0,1623083;3,52776;1,813084;4,9577;1,59546;-4,862769;-4,506572;1,884515;-2,334685;-3,372049;-0,08302778;-5,153187;4,087084;-0,01396257;-3,896315;-3,078127;2,017752;-2,59511;-2,155465;4,293745
Index: 21 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,794929 | BrainData : -2,39744;0,1944939;-1,964351;0,5998031;-3,428858;3,912901;-0,142845;3,557846;1,835615;4,945682;1,59546;-4,838422;-4,539584;1,884515;-2,334685;-3,372049;-0,1014041;-5,191499;4,059096;-0,04756267;-3,892074;-3,078127;2,032359;-2,603676;-2,08863;4,314098
Index: 22 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,793391 | BrainData : -2,39744;0,2399676;-1,964351;0,6025544;-3,428858;3,910405;-0,1623083;3,506986;1,8411;4,963395;1,547199;-4,826229;-4,581669;1,884515;-2,374604;-3,383849;-0,1014041;-5,153187;4,119774;-0,0451705;-3,916274;-3,042371;2,032359;-2,579527;-2,078218;4,293745
