Generation: 932 | maxFitness: 3,670536 | maxFitnessGen: 2,2959 | maxFitnessGenBuf: 2,077025
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 25 | Brain Type: TOP2 | Fitness: 2,077025 | BrainData : -2,24454;0,2499881;-2,131278;0,02249496;-3,218693;4,37723;-0,004956137;3,491909;2,127891;4,533119;1,049599;-4,860182;-4,626256;2,177098;-2,49262;-3,4547;-0,179843;-4,588115;4,440649;-0,4130335;-3,984206;-3,334263;2,224729;-2,201101;-1,865734;4,141809
Index: 1 | Name: car 36 | Brain Type: TOP2 | Fitness: 2,076284 | BrainData : -2,22333;0,2182554;-2,148318;0,004202969;-3,234035;4,383465;-0,05459716;3,527345;2,110767;4,574419;0,9960073;-4,865644;-4,626256;2,137543;-2,518707;-3,460482;-0,1983176;-4,588115;4,408279;-0,4396648;-4,033306;-3,301311;2,224729;-2,201101;-1,866119;4,141809
Index: 2 | Name: car 3 | Brain Type: RandomParents | Fitness: 2,073843 | BrainData : -2,302629;0,2023464;-2,117477;0,04713764;-3,255543;4,433982;-0,04259828;3,439161;2,137193;4,576086;1,032151;-4,894549;-4,676048;2,094647;-2,578021;-3,420949;-0,1915873;-4,581959;4,409758;-0,3578767;-4,020102;-3,254378;2,226805;-2,229607;-1,865734;4,141809
Index: 3 | Name: car 4 | Brain Type: RandomParents | Fitness: 2,073831 | BrainData : -2,2577;0,2088585;-2,158376;0,0210171;-3,234035;4,450605;-0,01805035;3,521845;2,156959;4,569829;1,040819;-4,940181;-4,643401;2,173138;-2,529835;-3,434359;-0,2151857;-4,588115;4,425776;-0,4396648;-4,015545;-3,301311;2,206152;-2,226991;-1,899296;4,177303
Index: 4 | Name: car 32 | Brain Type: TOP2 | Fitness: 2,072737 | BrainData : -2,219439;0,2288224;-2,118226;0,02249496;-3,19337;4,406862;-0,05459716;3,513009;2,127891;4,540107;0,9700822;-4,829944;-4,626256;2,180869;-2,518707;-3,478164;-0,1983176;-4,602351;4,498462;-0,4396648;-4,033306;-3,301311;2,231718;-2,201101;-1,875404;4,17107
Index: 5 | Name: car 46 | Brain Type: TOP2 | Fitness: 2,072022 | BrainData : -2,22094;0,2471048;-2,148318;-0,002883494;-3,282995;4,37723;-0,03884794;3,491909;2,127891;4,589975;0,983952;-4,856021;-4,626256;2,137543;-2,518707;-3,460482;-0,1983176;-4,588115;4,410543;-0,4396648;-4,047049;-3,301311;2,228135;-2,201101;-1,865734;4,141809
Index: 6 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,96618 | BrainData : -2,257855;0,2331081;-2,196562;0,04900214;-3,262552;4,43051;-0,09025355;3,519886;2,172457;4,581586;1,04131;-4,823842;-4,660612;2,090376;-2,531824;-3,395539;-0,20845;-4,588115;4,441021;-0,4095495;-4,02789;-3,227058;2,318107;-2,203646;-1,78576;4,16727
Index: 7 | Name: car 10 | Brain Type: RandomParents | Fitness: 1,965158 | BrainData : -2,224572;0,1969362;-2,148318;0,06721058;-3,213486;4,410966;-0,08028699;3,463099;2,169886;4,540107;1,104612;-4,860182;-4,673208;2,137543;-2,516074;-3,426247;-0,2348182;-4,588115;4,398095;-0,4841468;-4,020102;-3,315656;2,224729;-2,184861;-1,88883;4,235625
Index: 8 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,959588 | BrainData : -2,219439;0,2189777;-2,148318;0,02249496;-3,232856;4,37723;-0,05783663;3,491909;2,127891;4,540107;1,015823;-4,857909;-4,621384;2,137543;-2,521731;-3,484086;-0,1835653;-4,588115;4,456701;-0,4396648;-4,041329;-3,301311;2,224729;-2,201101;-1,863593;4,141809
Index: 9 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,959291 | BrainData : -2,219439;0,2088585;-2,118207;0,004029103;-3,267048;4,411116;-0,03305719;3,491909;2,127891;4,515461;1,015823;-4,860182;-4,626256;2,133398;-2,534357;-3,460482;-0,1983176;-4,634059;4,425633;-0,4657651;-4,033306;-3,277011;2,224729;-2,201101;-1,845453;4,141809
Index: 10 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,959256 | BrainData : -2,170322;0,2088585;-2,148318;0,02249496;-3,234035;4,37723;-0,08313179;3,491909;2,127891;4,566433;1,015823;-4,835193;-4,60903;2,159059;-2,518707;-3,457982;-0,1983176;-4,588115;4,466809;-0,4127988;-4,033306;-3,329748;2,224729;-2,153645;-1,854623;4,121603
